,premise,hypothesis,rationales
0,"A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.",A man is hanging off of a clothesline.,"1. The most likely answer is ""contradiction."" The premise describes a man standing on a platform in front of a large black cylinder device and fabric on a clothesline, while the hypothesis states that a man is hanging off of a clothesline. These two statements contradict each other because the premise does not provide any indication that the man is hanging from the clothesline."
1,Two girls wearing skirts like the flag of Great Britain.,a couple want to eat a flag.,"2. The most likely answer is ""neutral."" The premise describes two girls wearing skirts like the flag of Great Britain, while the hypothesis states that a couple wants to eat a flag. These two statements are unrelated and do not support or contradict each other."
2,Dog leaps from water while woman kneels on the dock playing with him,A woman and dog sit on a dock together.,"3. The most likely answer is ""entailment."" The premise describes a dog leaping from water while a woman kneels on the dock playing with him, and the hypothesis states that a woman and dog sit on a dock together. The actions described in the premise support the idea that a woman and dog are on the dock together."
3,A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.,The clothed man is cleaning the carpet,"4. The most likely answer is ""entailment."" The premise describes a bald man in an orange shirt and jeans vacuuming an office carpet with a carry-along canister vacuum, and the hypothesis states that the clothed man is cleaning the carpet. The actions described in the premise directly support the idea that the man is cleaning the carpet."
4,A boy stands beside a railing at a go kart track.,The boy is going to ride a go kart.,"5. The most likely answer is ""neutral."" The premise describes a boy standing beside a railing at a go-kart track, while the hypothesis states that the boy is going to ride a go-kart. These two statements are unrelated and do not support or contradict each other."
5,A street performer playing banjo on a city street.,a person playing an instrument in the street,"6. The most likely answer is ""entailment."" The premise describes a street performer playing the banjo on a city street, and the hypothesis states that a person is playing an instrument in the street. The action of playing an instrument in the street directly supports the idea that a person is playing an instrument in the street."
6,Group of blue shirted people.,A group of people.,"7. The most likely answer is ""entailment."" The premise describes a group of blue-shirted people, while the hypothesis states that a group of people exists. The premise directly supports the idea that a group of people exists, and the additional detail of them wearing blue shirts does not contradict it."
7,A woman dressed in all white in a crosswalk.,A woman in a all white in a crosswalk.,"8. The most likely answer is ""entailment."" The premise describes a woman dressed in all white in a crosswalk, and the hypothesis states that a woman is in all white in a crosswalk. The premise directly supports the idea that a woman is in all white in a crosswalk."
8,Behind the fence spectators are looking at the golfer with the club in his hand.,The people are watching the golfer.,"9. The most likely answer is ""entailment."" The premise describes spectators behind a fence looking at a golfer with a club in his hand, and the hypothesis states that the people are watching the golfer. The action of looking at the golfer with the club in his hand directly supports the idea that the people are watching the golfer."
9,The man and one of the women have their hands raised.,The man and one of the women have their hands raised to answer a question.,"10. The most likely answer is ""entailment."" The premise describes a man and one of the women having their hands raised, and the hypothesis states that the man and one of the women have their hands raised to answer a question. The action of having their hands raised directly supports the idea that they have their hands raised to answer a question."
10,A line of people are standing on the edge of a snow covered path overlooking the clouds in the mountains.,girl in hammoch alone,"1. The most likely answer is ""contradiction."" The premise describes a line of people standing on a snow-covered path overlooking the mountains, while the hypothesis states that there is a girl alone in a hammock. These two statements are contradictory, as the presence of a girl alone in a hammock does not align with the description of a line of people. This choice is better than ""entailment"" and ""neutral"" because it clearly shows that the hypothesis contradicts the premise."
11,Two cyclists racing to the finish line.,The cyclists race each other outdoors.,"2. The most likely answer is ""entailment."" The premise states that two cyclists are racing to the finish line, which implies that they are racing each other. The hypothesis supports this by stating that the cyclists race each other outdoors. This choice is better than ""neutral"" and ""contradiction"" because it accurately shows that the hypothesis is supported by the premise."
12,A woman on a bicycle stops for a moment to converse.,A female bicyclist chats briefly with a chum.,"3. The most likely answer is ""entailment."" The premise describes a woman on a bicycle stopping to converse, which implies that she is chatting with someone. The hypothesis supports this by stating that a female bicyclist chats briefly with a chum. This choice is better than ""neutral"" and ""contradiction"" because it accurately shows that the hypothesis is supported by the premise."
13,Two people walk down the street.,People walking down a street.,"4. The most likely answer is ""entailment."" The premise states that two people are walking down the street, which implies that people are walking down a street. The hypothesis supports this by stating that people are walking down a street. This choice is better than ""neutral"" and ""contradiction"" because it accurately shows that the hypothesis is supported by the premise."
14,"A Teenage boy does tricks on his skateboard along the edge of a three-foot, graffiti covered wall's edge",The young boy is sleeping on the wall.,"5. The most likely answer is ""contradiction."" The premise describes a teenage boy doing tricks on his skateboard along a graffiti-covered wall's edge, while the hypothesis states that the young boy is sleeping on the wall. These two statements are contradictory, as doing tricks on a skateboard does not align with sleeping on a wall. This choice is better than ""entailment"" and ""neutral"" because it clearly shows that the hypothesis contradicts the premise."
15,A black dog jumps into a pool that has many yellow balls in it.,The dog is a purebred Golden Retriever.,"6. The most likely answer is ""neutral."" The premise describes a black dog jumping into a pool with yellow balls, while the hypothesis states that the dog is a purebred Golden Retriever. The color of the dog does not necessarily determine its breed, so the premise and hypothesis do not directly support or contradict each other. This choice is better than ""entailment"" and ""contradiction"" because it accurately shows that there is no strong relationship between the premise and hypothesis."
16,A little boy with rain boots takes a walk in the park.,The little boy is walking in the park as it's about to rain.,"7. The most likely answer is ""entailment."" The premise describes a little boy with rain boots taking a walk in the park, which implies that he is walking in the park as it's about to rain. The hypothesis supports this by stating that the little boy is walking in the park as it's about to rain. This choice is better than ""neutral"" and ""contradiction"" because it accurately shows that the hypothesis is supported by the premise."
