premise,hypothesis,prompt,rationale
Where are you likely to find an artisan market?,"['town', 'village', 'rural area', 'buy fresh vegetables', 'by a lake']","Questions: Where are you likely to find an artisan market?, Choices: (A) town, (B) village, (C) rural area, (D) buy fresh vegetables, (E) by a lake. What is the commonly agreed-upon answer to the question 'Where are you likely to find an artisan market?' with options town, village, rural area, buy fresh vegetables by a lake? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'Where are you likely to find an artisan market?' is **(B) village**. An artisan market is a place where local craftsmen and artists sell their handmade products, such as pottery, jewelry, paintings, etc. These markets are usually found in small villages or towns, where there is a sense of community and tradition. Rural areas, lakes, and vegetable stalls are not typical locations for artisan markets.

"
Where are you likely to find an injured soldier?,"['helicopter', 'war zone', 'armored car', 'white house', 'battlefield']","Questions: Where are you likely to find an injured soldier?, Choices: (A) helicopter, (B) war zone, (C) armored car, (D) white house, (E) battlefield. What is the commonly agreed-upon answer to the question 'Where are you likely to find an injured soldier?' with options helicopter, war zone, armored car, white house battlefield? Justify your answer based on general knowledge. 
","2. The commonly agreed-upon answer to the question 'Where are you likely to find an injured soldier?' is **(E) battlefield**. A battlefield is a place where armed conflicts take place, such as wars, skirmishes, or battles. Soldiers who fight in these situations are at a high risk of getting injured by weapons, explosions, or other hazards. Helicopters, armored cars, and the White House are not places where soldiers are likely to get injured, unless they are attacked or involved in accidents. A war zone is a broader term that can include many places, not just battlefields.

"
Where are you likely to find endless shelves?,"['kitchen', 'corner', 'bookstore', 'refrigerator', 'cupboard']","Questions: Where are you likely to find endless shelves?, Choices: (A) kitchen, (B) corner, (C) bookstore, (D) refrigerator, (E) cupboard. What is the commonly agreed-upon answer to the question 'Where are you likely to find endless shelves?' with options kitchen, corner, bookstore, refrigerator cupboard? Justify your answer based on general knowledge. 
","3. The commonly agreed-upon answer to the question 'Where are you likely to find endless shelves?' is **(C) bookstore**. A bookstore is a place where books are sold, displayed, or borrowed. Books are usually arranged on shelves that cover the walls and floors of the store, creating a sense of endlessness. Kitchens, corners, refrigerators, and cupboards are not places where shelves are likely to be endless, as they have limited space and capacity.

"
Where are you likely to find just a few words?,"['books', 'sentence', 'newspaper', 'mouth', 'ring true']","Questions: Where are you likely to find just a few words?, Choices: (A) books, (B) sentence, (C) newspaper, (D) mouth, (E) ring true. What is the commonly agreed-upon answer to the question 'Where are you likely to find just a few words?' with options books, sentence, newspaper, mouth ring true? Justify your answer based on general knowledge. 
","4. The commonly agreed-upon answer to the question 'Where are you likely to find just a few words?' is **(B) sentence**. A sentence is a grammatical unit that consists of one or more words that express a complete thought, idea, or statement. Sentences can vary in length and complexity, but they usually have just a few words, such as ""I love you"" or ""She ran away"". Books, newspapers, mouths, and ring true are not places where words are likely to be few, as they can contain many words or phrases.

"
Where can a human find body coverings?,"['phone booth', 'clothing store', 'workplace', 'swimming pool', 'closets']","Questions: Where can a human find body coverings?, Choices: (A) phone booth, (B) clothing store, (C) workplace, (D) swimming pool, (E) closets. What is the commonly agreed-upon answer to the question 'Where can a human find body coverings?' with options phone booth, clothing store, workplace, swimming pool closets? Justify your answer based on general knowledge. 
","5. The commonly agreed-upon answer to the question 'Where can a human find body coverings?' is **(B) clothing store**. A clothing store is a place where clothes are sold, displayed, or tried on. Clothes are items that humans wear to cover their bodies, protect them from the weather, or express their style and identity. Phone booths, workplaces, swimming pools, and closets are not places where humans can find body coverings, as they are either not meant for that purpose or not accessible to everyone.

"
The address label was attached to the 3 pound what?,"['envelope', 'parcel', 'shelf', 'desk drawer', 'junk mail']","Questions: The address label was attached to the 3 pound what?, Choices: (A) envelope, (B) parcel, (C) shelf, (D) desk drawer, (E) junk mail. What is the commonly agreed-upon answer to the question 'The address label was attached to the 3 pound what?' with options envelope, parcel, shelf, desk drawer junk mail? Justify your answer based on general knowledge. 
","6. The commonly agreed-upon answer to the question 'The address label was attached to the 3 pound what?' is **(B) parcel**. A parcel is a package that contains goods or documents that are sent or delivered by mail or courier. Parcels usually have address labels that indicate the sender and the recipient of the item, as well as the weight and the postage. Envelopes, shelves, desk drawers, and junk mail are not things that are likely to weigh 3 pounds or have address labels, as they are either too light, too heavy, or not meant for mailing.

"
"When the woman was thinking about her failures in life, what did she feel?","['depression', 'knowledge', 'confused', 'fatigue', 'figure out']","Questions: When the woman was thinking about her failures in life, what did she feel?, Choices: (A) depression, (B) knowledge, (C) confused, (D) fatigue, (E) figure out. What is the commonly agreed-upon answer to the question 'When the woman was thinking about her failures in life, what did she feel?' with options depression, knowledge, confused, fatigue figure out? Justify your answer based on general knowledge. 
","7. The commonly agreed-upon answer to the question 'When the woman was thinking about her failures in life, what did she feel?' is **(A) depression**. Depression is a mental health condition that causes persistent feelings of sadness, hopelessness, and loss of interest in life. Depression can be triggered by various factors, such as stress, trauma, or failure. When the woman was thinking about her failures in life, she probably felt depressed and unhappy. Knowledge, confusion, fatigue, and figure out are not feelings that are likely to be caused by thinking about failures, as they are either cognitive, physical, or motivational states.

"
Most lizards achieve locomotion using what?,"['four legs', 'bones', 'tail', 'change color of skin', 'backbone']","Questions: Most lizards achieve locomotion using what?, Choices: (A) four legs, (B) bones, (C) tail, (D) change color of skin, (E) backbone. What is the commonly agreed-upon answer to the question 'Most lizards achieve locomotion using what?' with options four legs, bones, tail, change color of skin backbone? Justify your answer based on general knowledge. 
","8. The commonly agreed-upon answer to the question 'Most lizards achieve locomotion using what?' is **(A) four legs**. Lizards are reptiles that have scaly skin, long tails, and usually four legs. Most lizards use their legs to walk, run, or climb on various surfaces, such as rocks, trees, or walls. Some lizards can also use their tails to balance, swing, or whip. Bones, skin color, and backbone are not things that lizards use to achieve locomotion, as they are either structural, adaptive, or supportive features.

"
Most of the country can be described as something.  What can it be described as?,"['continent', 'region', 'america', 'great outdoors', 'forests']","Questions: Most of the country can be described as something.  What can it be described as?, Choices: (A) continent, (B) region, (C) america, (D) great outdoors, (E) forests. What is the commonly agreed-upon answer to the question 'Most of the country can be described as something.  What can it be described as?' with options continent, region, america, great outdoors forests? Justify your answer based on general knowledge. 
","9. The commonly agreed-upon answer to the question 'Most of the country can be described as something.  What can it be described as?' is **(B) region**. A region is a large area of land that has common features, such as geography, climate, culture, or history. A country is a political entity that consists of one or more regions that share a government, a flag, and a national identity. Most of the country can be described as a region, such as the Midwest, the South, or the West Coast. Continent, America, great outdoors, and forests are not things that most of the country can be described as, as they are either too broad, too specific, or too natural.

"
Where do people keep money that is not in their wallet?,"['bank account', 'outside', 'art show', 'casino', 'race track']","Questions: Where do people keep money that is not in their wallet?, Choices: (A) bank account, (B) outside, (C) art show, (D) casino, (E) race track. What is the commonly agreed-upon answer to the question 'Where do people keep money that is not in their wallet?' with options bank account, outside, art show, casino race track? Justify your answer based on general knowledge. 
","10. The commonly agreed-upon answer to the question 'Where do people keep money that is not in their wallet?' is **(A) bank account**. A bank account is a financial service that allows people to deposit, withdraw, or transfer money using a bank or a financial institution. A bank account is a safe and convenient way to store money that is not in one's wallet, as it can be accessed online, by phone, or by card. Outside, art show, casino, and race track are not places where people keep money that is not in their wallet, as they are either risky, expensive, or irrelevant."
