premise,hypothesis,prompt,rationale
Cuddling in bed after sex is what kind of way to spend time with a loved one?,"['painful', 'adorable', 'dirty', 'effect of insemination', 'pleasant']","Questions: Cuddling in bed after sex is what kind of way to spend time with a loved one?, Choices: (A) painful, (B) adorable, (C) dirty, (D) effect of insemination, (E) pleasant. Based on what is historically known, what is the most likely answer to the question 'Cuddling in bed after sex is what kind of way to spend time with a loved one?' with options painful, adorable, dirty, effect of insemination pleasant? Provide historical context in your rationale. 
","1. Questions: Cuddling in bed after sex is what kind of way to spend time with a loved one?, Choices: (A) painful, (B) adorable, (C) dirty, (D) effect of insemination, (E) pleasan"
Curiosity lead James to put extra effort into doing what at the fair?,"['see exhibits', 'design software', 'read book', 'use television', 'eating dinner']","Questions: Curiosity lead James to put extra effort into doing what at the fair?, Choices: (A) see exhibits, (B) design software, (C) read book, (D) use television, (E) eating dinner. Based on what is historically known, what is the most likely answer to the question 'Curiosity lead James to put extra effort into doing what at the fair?' with options see exhibits, design software, read book, use television eating dinner? Provide historical context in your rationale. 
",
Dan's job was talking phone calls.  That was his only job.  He didn't get to do what?,"['car accident', 'decisions', 'draw pictures', 'irritation', 'regret']","Questions: Dan's job was talking phone calls.  That was his only job.  He didn't get to do what?, Choices: (A) car accident, (B) decisions, (C) draw pictures, (D) irritation, (E) regret. Based on what is historically known, what is the most likely answer to the question 'Dan's job was talking phone calls.  That was his only job.  He didn't get to do what?' with options car accident, decisions, draw pictures, irritation regret? Provide historical context in your rationale. 
",
Dan's mother always told him that bathing was necessary because it led to what?,"['dry skin', 'nudity', 'cleanliness', 'use soap', 'having a strong scent']","Questions: Dan's mother always told him that bathing was necessary because it led to what?, Choices: (A) dry skin, (B) nudity, (C) cleanliness, (D) use soap, (E) having a strong scent. Based on what is historically known, what is the most likely answer to the question 'Dan's mother always told him that bathing was necessary because it led to what?' with options dry skin, nudity, cleanliness, use soap having a strong scent? Provide historical context in your rationale. 
",
James kept a clipboard where he could easily find  it.  Where might he keep it?,"['shelf', 'place of work', 'desk', 'office supply store', 'school']","Questions: James kept a clipboard where he could easily find  it.  Where might he keep it?, Choices: (A) shelf, (B) place of work, (C) desk, (D) office supply store, (E) school. Based on what is historically known, what is the most likely answer to the question 'James kept a clipboard where he could easily find  it.  Where might he keep it?' with options shelf, place of work, desk, office supply store school? Provide historical context in your rationale. 
",
James was delayed for a couple of hours because he had a connection.  Where might his connection be?,"['company', 'airport', 'wall', 'computer network', 'love']","Questions: James was delayed for a couple of hours because he had a connection.  Where might his connection be?, Choices: (A) company, (B) airport, (C) wall, (D) computer network, (E) love. Based on what is historically known, what is the most likely answer to the question 'James was delayed for a couple of hours because he had a connection.  Where might his connection be?' with options company, airport, wall, computer network love? Provide historical context in your rationale. 
",
"Sometimes people are wronged, and sometimes getting revenge brings them what?","['being happy', 'satisfaction', 'ownership', 'joy', 'disappointment']","Questions: Sometimes people are wronged, and sometimes getting revenge brings them what?, Choices: (A) being happy, (B) satisfaction, (C) ownership, (D) joy, (E) disappointment. Based on what is historically known, what is the most likely answer to the question 'Sometimes people are wronged, and sometimes getting revenge brings them what?' with options being happy, satisfaction, ownership, joy disappointment? Provide historical context in your rationale. 
",
"Stood below the balloons and studied them closely.  As he looked to the sky, he didn't see anything holding them up.  He wondered what the balloons where?","['aloft', 'overhead', 'upwards', 'upstairs', 'above']","Questions: Stood below the balloons and studied them closely.  As he looked to the sky, he didn't see anything holding them up.  He wondered what the balloons where?, Choices: (A) aloft, (B) overhead, (C) upwards, (D) upstairs, (E) above. Based on what is historically known, what is the most likely answer to the question 'Stood below the balloons and studied them closely.  As he looked to the sky, he didn't see anything holding them up.  He wondered what the balloons where?' with options aloft, overhead, upwards, upstairs above? Provide historical context in your rationale. 
",
"Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?","['turn on', 'play music', 'eat cake', 'space shuttle', 'blaring']","Questions: Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?, Choices: (A) turn on, (B) play music, (C) eat cake, (D) space shuttle, (E) blaring. Based on what is historically known, what is the most likely answer to the question 'Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?' with options turn on, play music, eat cake, space shuttle blaring? Provide historical context in your rationale. 
",
"Susan was a mean person. But even so, she could show what?","['mean cruel', 'friendly', 'kindness', 'nice', 'generous']","Questions: Susan was a mean person. But even so, she could show what?, Choices: (A) mean cruel, (B) friendly, (C) kindness, (D) nice, (E) generous. Based on what is historically known, what is the most likely answer to the question 'Susan was a mean person. But even so, she could show what?' with options mean cruel, friendly, kindness, nice generous? Provide historical context in your rationale. 
",t
