question,premise,hypothesis,label,llm_label,rationale,input
"A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.</s>A man is hanging off of a clothesline.","A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.",A man is hanging off of a clothesline.,contradiction,contradiction,"The man is standing on a platform, not hanging off of a clothesline.","A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.</s>A man is hanging off of a clothesline."
Two girls wearing skirts like the flag of Great Britain.</s>a couple want to eat a flag.,Two girls wearing skirts like the flag of Great Britain.,a couple want to eat a flag.,contradiction,contradiction,The girls are not a couple.,Two girls wearing skirts like the flag of Great Britain.</s>a couple want to eat a flag.
Dog leaps from water while woman kneels on the dock playing with him</s>A woman and dog sit on a dock together.,Dog leaps from water while woman kneels on the dock playing with him,A woman and dog sit on a dock together.,contradiction,contradiction,The dog is not sitting on the dock.,Dog leaps from water while woman kneels on the dock playing with him</s>A woman and dog sit on a dock together.
A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.</s>The clothed man is cleaning the carpet,A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.,The clothed man is cleaning the carpet,entailment,entailment,"The man is vacuuming the carpet, which is a way of cleaning the carpet.",A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.</s>The clothed man is cleaning the carpet
A boy stands beside a railing at a go kart track.</s>The boy is going to ride a go kart.,A boy stands beside a railing at a go kart track.,The boy is going to ride a go kart.,neutral,entailment,The boy is standing beside a railing at a go kart track.,A boy stands beside a railing at a go kart track.</s>The boy is going to ride a go kart.
A street performer playing banjo on a city street.</s>a person playing an instrument in the street,A street performer playing banjo on a city street.,a person playing an instrument in the street,entailment,entailment,A banjo is an instrument.,A street performer playing banjo on a city street.</s>a person playing an instrument in the street
Group of blue shirted people.</s>A group of people.,Group of blue shirted people.,A group of people.,neutral,entailment,A group of people is a group of people.,Group of blue shirted people.</s>A group of people.
A woman dressed in all white in a crosswalk.</s>A woman in a all white in a crosswalk.,A woman dressed in all white in a crosswalk.,A woman in a all white in a crosswalk.,entailment,entailment,The woman is dressed in all white.,A woman dressed in all white in a crosswalk.</s>A woman in a all white in a crosswalk.
Behind the fence spectators are looking at the golfer with the club in his hand.</s>The people are watching the golfer.,Behind the fence spectators are looking at the golfer with the club in his hand.,The people are watching the golfer.,entailment,entailment,"The people are looking at the golfer, so they are watching him.",Behind the fence spectators are looking at the golfer with the club in his hand.</s>The people are watching the golfer.
The man and one of the women have their hands raised.</s>The man and one of the women have their hands raised to answer a question.,The man and one of the women have their hands raised.,The man and one of the women have their hands raised to answer a question.,neutral,neutral,The man and one of the women could have their hands raised for other reasons.,The man and one of the women have their hands raised.</s>The man and one of the women have their hands raised to answer a question.
A line of people are standing on the edge of a snow covered path overlooking the clouds in the mountains.</s>girl in hammoch alone,A line of people are standing on the edge of a snow covered path overlooking the clouds in the mountains.,girl in hammoch alone,contradiction,neutral,The people are not necessarily overlooking the clouds in the mountains.,A line of people are standing on the edge of a snow covered path overlooking the clouds in the mountains.</s>girl in hammoch alone
Two cyclists racing to the finish line.</s>The cyclists race each other outdoors.,Two cyclists racing to the finish line.,The cyclists race each other outdoors.,entailment,entailment,"The cyclists are racing each other, and they are outdoors.",Two cyclists racing to the finish line.</s>The cyclists race each other outdoors.
A woman on a bicycle stops for a moment to converse.</s>A female bicyclist chats briefly with a chum.,A woman on a bicycle stops for a moment to converse.,A female bicyclist chats briefly with a chum.,entailment,entailment,A woman is a female. A bicycle is a bike. A chum is a friend.,A woman on a bicycle stops for a moment to converse.</s>A female bicyclist chats briefly with a chum.
Two people walk down the street.</s>People walking down a street.,Two people walk down the street.,People walking down a street.,entailment,entailment,The two people are people.,Two people walk down the street.</s>People walking down a street.
"A Teenage boy does tricks on his skateboard along the edge of a three-foot, graffiti covered wall's edge</s>The young boy is sleeping on the wall.","A Teenage boy does tricks on his skateboard along the edge of a three-foot, graffiti covered wall's edge",The young boy is sleeping on the wall.,contradiction,contradiction,"The boy is not sleeping, he is doing tricks on his skateboard.","A Teenage boy does tricks on his skateboard along the edge of a three-foot, graffiti covered wall's edge</s>The young boy is sleeping on the wall."
