premise,hypothesis,prompt,rationale
Where could you find an artificial light source?,"['store', 'house', 'candle', 'books', 'sky']","Questions: Where could you find an artificial light source?, Choices: (A) store, (B) house, (C) candle, (D) books, (E) sky. What is the commonly agreed-upon answer to the question 'Where could you find an artificial light source?' with options store, house, candle, books sky? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'Where could you find an artificial light source?' is **(C) candle**. A candle is an object that produces light by burning a wick and wax. It is considered an artificial light source because it is not natural, unlike the sun or the stars. The other options are not light sources, but places or objects that may have artificial light sources inside or around them.

"
"If people are competing in dangerous events, what could happen?","['boredom', 'winning or losing', 'rivalry', 'accomplishment', 'death']","Questions: If people are competing in dangerous events, what could happen?, Choices: (A) boredom, (B) winning or losing, (C) rivalry, (D) accomplishment, (E) death. What is the commonly agreed-upon answer to the question 'If people are competing in dangerous events, what could happen?' with options boredom, winning or losing, rivalry, accomplishment death? Justify your answer based on general knowledge. 
","2. The commonly agreed-upon answer to the question 'If people are competing in dangerous events, what could happen?' is **(E) death**. Death is the permanent cessation of all biological functions that sustain a living organism. It is a possible outcome of competing in dangerous events, such as extreme sports, combat, or risky stunts. The other options are not specific to dangerous events, but could happen in any kind of competition or activity.

"
"If someone had been smoking, an easy way to tell would be if they were what?","['inhale', 'unhealthy', 'a chimney', 'go outside', 'coughing']","Questions: If someone had been smoking, an easy way to tell would be if they were what?, Choices: (A) inhale, (B) unhealthy, (C) a chimney, (D) go outside, (E) coughing. What is the commonly agreed-upon answer to the question 'If someone had been smoking, an easy way to tell would be if they were what?' with options inhale, unhealthy, a chimney, go outside coughing? Justify your answer based on general knowledge. 
","3. The commonly agreed-upon answer to the question 'If someone had been smoking, an easy way to tell would be if they were what?' is **(E) coughing**. Coughing is a sudden and often repetitively occurring reflex that helps to clear the airways of mucus, irritants, or foreign particles. It is a common symptom of smoking, as the smoke damages the lungs and causes inflammation and irritation. The other options are not necessarily related to smoking, but could have other causes or meanings.

"
"If someone is a drunkard, what kind of person is he or she not?","['teetotaller', 'pioneer', 'abstain', 'pioneer', 'temperance']","Questions: If someone is a drunkard, what kind of person is he or she not?, Choices: (A) teetotaller, (B) pioneer, (C) abstain, (D) pioneer, (E) temperance. What is the commonly agreed-upon answer to the question 'If someone is a drunkard, what kind of person is he or she not?' with options teetotaller, pioneer, abstain, pioneer temperance? Justify your answer based on general knowledge. 
","4. The commonly agreed-upon answer to the question 'If someone is a drunkard, what kind of person is he or she not?' is **(A) teetotaller**. A teetotaller is a person who abstains from drinking alcohol. It is the opposite of a drunkard, who is a person who habitually drinks excessive amounts of alcohol. The other options are not mutually exclusive with being a drunkard, but could describe different aspects of a person's character or behavior.

"
"If someone is a mechanic, what are likely issues they will be asked to fix?","['machine tool', 'oil squeaky joints', 'oil engine', 'machine parts', 'servicing airplane']","Questions: If someone is a mechanic, what are likely issues they will be asked to fix?, Choices: (A) machine tool, (B) oil squeaky joints, (C) oil engine, (D) machine parts, (E) servicing airplane. What is the commonly agreed-upon answer to the question 'If someone is a mechanic, what are likely issues they will be asked to fix?' with options machine tool, oil squeaky joints, oil engine, machine parts servicing airplane? Justify your answer based on general knowledge. 
","5. The commonly agreed-upon answer to the question 'If someone is a mechanic, what are likely issues they will be asked to fix?' is **(C) oil engine**. An oil engine is a type of internal combustion engine that uses oil as fuel. It is a common component of many vehicles and machines, and it may require regular maintenance or repair by a mechanic. The other options are not specific to mechanics, but could be related to other professions or tasks.

"
"If someone is agreeing with everybody they're bound to get caught in the middle, this can create more of a what?","['like', 'problem', 'harmony', 'peace', 'joyful']","Questions: If someone is agreeing with everybody they're bound to get caught in the middle, this can create more of a what?, Choices: (A) like, (B) problem, (C) harmony, (D) peace, (E) joyful. What is the commonly agreed-upon answer to the question 'If someone is agreeing with everybody they're bound to get caught in the middle, this can create more of a what?' with options like, problem, harmony, peace joyful? Justify your answer based on general knowledge. 
","6. The commonly agreed-upon answer to the question 'If someone is agreeing with everybody they're bound to get caught in the middle, this can create more of a what?' is **(B) problem**. A problem is a situation that presents difficulty or uncertainty. It can be created by agreeing with everybody, as this may lead to conflicting or contradictory opinions, expectations, or demands. The other options are not necessarily caused by agreeing with everybody, but could be the result of other factors or circumstances.

"
"If someone is aloof and self-important, what is their experience when meeting people?","['stress', 'nervousness', 'smile', 'being bored', 'making new friends']","Questions: If someone is aloof and self-important, what is their experience when meeting people?, Choices: (A) stress, (B) nervousness, (C) smile, (D) being bored, (E) making new friends. What is the commonly agreed-upon answer to the question 'If someone is aloof and self-important, what is their experience when meeting people?' with options stress, nervousness, smile, being bored making new friends? Justify your answer based on general knowledge. 
","7. The commonly agreed-upon answer to the question 'If someone is aloof and self-important, what is their experience when meeting people?' is **(D) being bored**. Being bored is a state of feeling weary or restless due to lack of interest or stimulation. It can be experienced by someone who is aloof and self-important, as they may not find other people interesting, worthy, or relevant to their own concerns. The other options are not typical of someone who is aloof and self-important, but could vary depending on the person or the situation.

"
"If someone was determined to curb their inability to save for retirement, they might want to look into the what?","['sidewalk', 'under the bed', 'street corner', 'city', 'stockmarket']","Questions: If someone was determined to curb their inability to save for retirement, they might want to look into the what?, Choices: (A) sidewalk, (B) under the bed, (C) street corner, (D) city, (E) stockmarket. What is the commonly agreed-upon answer to the question 'If someone was determined to curb their inability to save for retirement, they might want to look into the what?' with options sidewalk, under the bed, street corner, city stockmarket? Justify your answer based on general knowledge. 
","8. The commonly agreed-upon answer to the question 'If someone was determined to curb their inability to save for retirement, they might want to look into the what?' is **(E) stockmarket**. The stockmarket is a place where shares of publicly traded companies are bought and sold. It can be a source of income or investment for someone who wants to save for retirement, as they may earn dividends or capital gains from their stocks. The other options are not relevant to saving for retirement, but could be related to other topics or activities.

"
"If you are in your house, where is the sunshine likely to come through?","['windowsill', 'sea', 'disneyland', 'curtain', 'street']","Questions: If you are in your house, where is the sunshine likely to come through?, Choices: (A) windowsill, (B) sea, (C) disneyland, (D) curtain, (E) street. What is the commonly agreed-upon answer to the question 'If you are in your house, where is the sunshine likely to come through?' with options windowsill, sea, disneyland, curtain street? Justify your answer based on general knowledge. 
","9. The commonly agreed-upon answer to the question 'If you are in your house, where is the sunshine likely to come through?' is **(A) windowsill**. A windowsill is a ledge or shelf below a window. It is a likely place where the sunshine can come through, as the window allows the sunlight to enter the house. The other options are not places where the sunshine can come through, but are outside or unrelated to the house.

"
"I was in a kitchen that I didn't know, so I informally asked where the spoons were, where was I?","[""friend's house"", 'fraternity house', ""neighbor's house"", 'grandmas house', 'restaurant']","Questions: I was in a kitchen that I didn't know, so I informally asked where the spoons were, where was I?, Choices: (A) friend's house, (B) fraternity house, (C) neighbor's house, (D) grandmas house, (E) restaurant. What is the commonly agreed-upon answer to the question 'I was in a kitchen that I didn't know, so I informally asked where the spoons were, where was I?' with options friend's house, fraternity house, neighbor's house, grandmas house restaurant? Justify your answer based on general knowledge. 
","10. The commonly agreed-upon answer to the question 'I was in a kitchen that I didn't know, so I informally asked where the spoons were, where was I?' is **(A) friend's house**. A friend's house is a place where one has a personal or social relationship with the owner or occupant. It is a possible place where one could be in a kitchen that they didn't know, and ask informally where the spoons were, as they may feel comfortable or familiar with their friend. The other options are not likely places where one would be in such a situation, but could have different levels of formality or familiarity."
