Unnamed: 0,Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio,judge_view_rank,source_pack,example_key,row_key,quality_score,source_bucket
0,0,A woman playing the violin with sunglasses on her head.,someone is playing an instrument,"Premise: A woman playing the violin with sunglasses on her head., Hypothesis: someone is playing an instrument. Based on what is historically known, what is the most likely answer to the premise 'A woman playing the violin with sunglasses on her head.' and hypothesis someone is playing an instrument with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
","6. Premise: A woman playing the violin with sunglasses on her head., Hypothesis: someone is playing an instrument. Answer: **Entailment** Rationale: The premise and the hypothesis are consistent. The premise implies that someone is playing an instrument, namely the violin. The hypothesis states the same fact, but in a more general way. Therefore, the hypothesis is true given the premise.","6. premise: a woman playing the violin with sunglasses on her head., hypothesis: someone is playing an instrument.

answer: **entailment**

rationale: the premise and the hypothesis are consistent. the premise implies that someone is playing an instrument, namely the violin. the hypothesis states the same fact, but in a more general way. therefore, the hypothesis is true given the premise.

",{'entailment': 126},entailment,historical,23.129444,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,60,0.388889,7,1.0,1,singleview_superclean,a woman playing the violin with sunglasses on her head.</s>someone is playing an instrument,"a woman playing the violin with sunglasses on her head.</s>someone is playing an instrument||6. premise: a woman playing the violin with sunglasses on her head., hypothesis: someone is playing an instrument. answer: **entailment** rationale: the premise and the hypothesis are consistent. the premise implies that someone is playing an instrument, namely the violin. the hypothesis states the same fact, but in a more general way. therefore, the hypothesis is true given the premise.||entailment",25.564444,singleview_superclean::historical
1,1,A soldier is helping two young children cut a large cake.,The soldier is helping the kids.,"Premise: A soldier is helping two young children cut a large cake., Hypothesis: The soldier is helping the kids.. What is the commonly agreed-upon answer to the premise 'A soldier is helping two young children cut a large cake.' and hypothesis The soldier is helping the kids. with options ""entailment"", ""neutral"", ""contradiction""? Justify your answer based on general knowledge. 
","3. The answer is **entailment**. The premise states that the soldier is helping two young children cut a large cake, which clearly implies that the soldier is helping the kids. The hypothesis states the same thing, but in a more general way. Therefore, the hypothesis is true if the premise is true.","3. the answer is **entailment**. the premise states that the soldier is helping two young children cut a large cake, which clearly implies that the soldier is helping the kids. the hypothesis states the same thing, but in a more general way. therefore, the hypothesis is true if the premise is true.

",{'entailment': 19},entailment,consensus,22.917581,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,52,0.387097,7,1.0,1,singleview_superclean,a soldier is helping two young children cut a large cake.</s>the soldier is helping the kids.,"a soldier is helping two young children cut a large cake.</s>the soldier is helping the kids.||3. the answer is **entailment**. the premise states that the soldier is helping two young children cut a large cake, which clearly implies that the soldier is helping the kids. the hypothesis states the same thing, but in a more general way. therefore, the hypothesis is true if the premise is true.||entailment",25.352581,singleview_superclean::consensus
2,2,"One black man and one caucasian man are at the front of the pack of otherwise predominantly Asian track runners; all wearing shorts, running shoes and numbered paper race-bibs.",There are asian track runners by the black and caucasian man.,"Premise: One black man and one caucasian man are at the front of the pack of otherwise predominantly Asian track runners; all wearing shorts, running shoes and numbered paper race-bibs., Hypothesis: There are asian track runners by the black and caucasian man.. For the premise 'One black man and one caucasian man are at the front of the pack of otherwise predominantly Asian track runners; all wearing shorts, running shoes and numbered paper race-bibs.' and hypothesis There are asian track runners by the black and caucasian man., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is **entailment**. The premise and the hypothesis are logically consistent. One black man and one caucasian man being at the front of the pack of otherwise predominantly Asian track runners implies that there are Asian track runners by the black and caucasian man. Therefore, the hypothesis is supported by the premise."," is **entailment**. the premise and the hypothesis are logically consistent. one black man and one caucasian man being at the front of the pack of otherwise predominantly asian track runners implies that there are asian track runners by the black and caucasian man. therefore, the hypothesis is supported by the premise.

",{'entailment': 6},entailment,contrastive,23.34,entailment,entailment,neutral,entailment,6.25,6.250000000000001,True,56,0.5625,7,1.0,1,singleview_superclean,"one black man and one caucasian man are at the front of the pack of otherwise predominantly asian track runners; all wearing shorts, running shoes and numbered paper race-bibs.</s>there are asian track runners by the black and caucasian man.","one black man and one caucasian man are at the front of the pack of otherwise predominantly asian track runners; all wearing shorts, running shoes and numbered paper race-bibs.</s>there are asian track runners by the black and caucasian man.||8. the most likely answer is **entailment**. the premise and the hypothesis are logically consistent. one black man and one caucasian man being at the front of the pack of otherwise predominantly asian track runners implies that there are asian track runners by the black and caucasian man. therefore, the hypothesis is supported by the premise.||entailment",25.775000000000002,singleview_superclean::contrastive
3,3,A woman with a tennis racket about to swing at a ball.,The woman is playing a sport,,"9. The correct answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise states that the woman has a tennis racket and is about to swing at a ball, which implies that she is playing a sport. The hypothesis states the same thing, but in more general terms. Therefore, the hypothesis is entailed by the premise.","9. the correct answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that the woman has a tennis racket and is about to swing at a ball, which implies that she is playing a sport. the hypothesis states the same thing, but in more general terms. therefore, the hypothesis is entailed by the premise.

","{'entailment': 27, 'entailed': 335}",entailment,causal,23.263,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,62,0.325,7,1.0,1,singleview_superclean,a woman with a tennis racket about to swing at a ball.</s>the woman is playing a sport,"a woman with a tennis racket about to swing at a ball.</s>the woman is playing a sport||9. the correct answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that the woman has a tennis racket and is about to swing at a ball, which implies that she is playing a sport. the hypothesis states the same thing, but in more general terms. therefore, the hypothesis is entailed by the premise.||entailment",25.698000000000004,singleview_superclean::causal
4,4,A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,A soccer game is happening.,"Premise: A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts., Hypothesis: A soccer game is happening.. What is the correct answer to the premise 'A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.' and hypothesis A soccer game is happening. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","3. The correct answer is **entailment**. This means that the hypothesis is true given the premise. The premise describes a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie. The hypothesis is a more general statement that a soccer game is happening. Therefore, the hypothesis is logically entailed by the premise.","3. the correct answer is **entailment**. this means that the hypothesis is true given the premise. the premise describes a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie. the hypothesis is a more general statement that a soccer game is happening. therefore, the hypothesis is logically entailed by the premise.

","{'entailment': 27, 'entailed': 343}",entailment,neutral,23.140143,entailment,entailment,,entailment,6.25,6.250000000000001,True,61,0.485714,7,1.0,1,singleview_superclean,a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.</s>a soccer game is happening.,"a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.</s>a soccer game is happening.||3. the correct answer is **entailment**. this means that the hypothesis is true given the premise. the premise describes a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie. the hypothesis is a more general statement that a soccer game is happening. therefore, the hypothesis is logically entailed by the premise.||entailment",25.575143,singleview_superclean::neutral
5,5,Ethnic woman from behind with blue flower shirt and red fabric in her braided hair.,The woman is facing away from the camera.,,"7. The correct answer is **entailment**. This means that the hypothesis is true given the premise. My reasoning is as follows: If the woman is from behind, then she is facing away from the camera. Therefore, if the woman is ethnic and from behind with a blue flower shirt and red fabric in her braided hair, then she is facing away from the camera.","7. the correct answer is **entailment**. this means that the hypothesis is true given the premise. my reasoning is as follows: if the woman is from behind, then she is facing away from the camera. therefore, if the woman is ethnic and from behind with a blue flower shirt and red fabric in her braided hair, then she is facing away from the camera.

",{'entailment': 27},entailment,if_else,23.028333,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,64,0.512821,7,1.0,1,singleview_superclean,ethnic woman from behind with blue flower shirt and red fabric in her braided hair.</s>the woman is facing away from the camera.,"ethnic woman from behind with blue flower shirt and red fabric in her braided hair.</s>the woman is facing away from the camera.||7. the correct answer is **entailment**. this means that the hypothesis is true given the premise. my reasoning is as follows: if the woman is from behind, then she is facing away from the camera. therefore, if the woman is ethnic and from behind with a blue flower shirt and red fabric in her braided hair, then she is facing away from the camera.||entailment",25.463333000000002,singleview_superclean::if_else
6,6,A blond woman practices belly dancing in outfit.,A woman is wearing clothes and moving around.,"Premise: A blond woman practices belly dancing in outfit., Hypothesis: A woman is wearing clothes and moving around.. Compare the options ""entailment"", ""neutral"", ""contradiction"" and identify the most likely answer to the premise 'A blond woman practices belly dancing in outfit.' and hypothesis A woman is wearing clothes and moving around.. Explain why your choice is better than the others.
","7. The most likely answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise states that a blond woman is practicing belly dancing in an outfit, which implies that she is wearing clothes and moving around. The hypothesis states the same thing, but in a more general way. Therefore, the hypothesis is entailed by the premise."," is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that a blond woman is practicing belly dancing in an outfit, which implies that she is wearing clothes and moving around. the hypothesis states the same thing, but in a more general way. therefore, the hypothesis is entailed by the premise.

","{'entailment': 6, 'entailed': 325}",entailment,comparative,22.934756,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,62,0.317073,7,1.0,1,singleview_superclean,a blond woman practices belly dancing in outfit.</s>a woman is wearing clothes and moving around.,"a blond woman practices belly dancing in outfit.</s>a woman is wearing clothes and moving around.||7. the most likely answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that a blond woman is practicing belly dancing in an outfit, which implies that she is wearing clothes and moving around. the hypothesis states the same thing, but in a more general way. therefore, the hypothesis is entailed by the premise.||entailment",25.369756000000002,singleview_superclean::comparative
7,7,A motorcyclist drives up the side of a green mountain while another bike remains stationary.,A motorcycle is going up the side of a mountain.,"Premise: A motorcyclist drives up the side of a green mountain while another bike remains stationary., Hypothesis: A motorcycle is going up the side of a mountain.. Based on what is historically known, what is the most likely answer to the premise 'A motorcyclist drives up the side of a green mountain while another bike remains stationary.' and hypothesis A motorcycle is going up the side of a mountain. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
","6. The answer is **entailment**. A motorcycle is going up the side of a mountain is a more general statement than a motorcyclist drives up the side of a green mountain while another bike remains stationary. Therefore, the hypothesis is entailed by the premise.","6. the answer is **entailment**. a motorcycle is going up the side of a mountain is a more general statement than a motorcyclist drives up the side of a green mountain while another bike remains stationary. therefore, the hypothesis is entailed by the premise.

","{'entailment': 19, 'entailed': 236}",entailment,historical,23.116429,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,44,0.607143,7,1.0,1,singleview_superclean,a motorcyclist drives up the side of a green mountain while another bike remains stationary.</s>a motorcycle is going up the side of a mountain.,"a motorcyclist drives up the side of a green mountain while another bike remains stationary.</s>a motorcycle is going up the side of a mountain.||6. the answer is **entailment**. a motorcycle is going up the side of a mountain is a more general statement than a motorcyclist drives up the side of a green mountain while another bike remains stationary. therefore, the hypothesis is entailed by the premise.||entailment",25.551429000000002,singleview_superclean::historical
8,8,A lady in a gray sweater has a conversation with three other people at the same table.,Four people have a conversation at a table together.,"Premise: A lady in a gray sweater has a conversation with three other people at the same table., Hypothesis: Four people have a conversation at a table together.. What is the commonly agreed-upon answer to the premise 'A lady in a gray sweater has a conversation with three other people at the same table.' and hypothesis Four people have a conversation at a table together. with options ""entailment"", ""neutral"", ""contradiction""? Justify your answer based on general knowledge. 
","5. The answer is **entailment**. An entailment means that the hypothesis is true given the premise. In this case, the premise states that a lady in a gray sweater has a conversation with three other people at the same table, which implies that four people have a conversation at a table together. Therefore, the hypothesis follows from the premise.","5. the answer is **entailment**. an entailment means that the hypothesis is true given the premise. in this case, the premise states that a lady in a gray sweater has a conversation with three other people at the same table, which implies that four people have a conversation at a table together. therefore, the hypothesis follows from the premise.
",{'entailment': 19},entailment,consensus,22.915,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,59,0.5,7,1.0,1,singleview_superclean,a lady in a gray sweater has a conversation with three other people at the same table.</s>four people have a conversation at a table together.,"a lady in a gray sweater has a conversation with three other people at the same table.</s>four people have a conversation at a table together.||5. the answer is **entailment**. an entailment means that the hypothesis is true given the premise. in this case, the premise states that a lady in a gray sweater has a conversation with three other people at the same table, which implies that four people have a conversation at a table together. therefore, the hypothesis follows from the premise.||entailment",25.35,singleview_superclean::consensus
9,9,A young man looking at the sky through a personal telescope in the evening.,There is a young man using a telescope.,"Premise: A young man looking at the sky through a personal telescope in the evening., Hypothesis: There is a young man using a telescope.. For the premise 'A young man looking at the sky through a personal telescope in the evening.' and hypothesis There is a young man using a telescope., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **entailment**. The premise and the hypothesis are logically consistent. The young man looking at the sky through a personal telescope in the evening implies that there is a young man using a telescope. Therefore, the hypothesis is supported by the premise."," is **entailment**. the premise and the hypothesis are logically consistent. the young man looking at the sky through a personal telescope in the evening implies that there is a young man using a telescope. therefore, the hypothesis is supported by the premise.

",{'entailment': 6},entailment,contrastive,23.275,entailment,entailment,entailment,entailment,6.25,6.250000000000001,True,47,0.5,7,1.0,1,singleview_superclean,a young man looking at the sky through a personal telescope in the evening.</s>there is a young man using a telescope.,"a young man looking at the sky through a personal telescope in the evening.</s>there is a young man using a telescope.||4. the most likely answer is **entailment**. the premise and the hypothesis are logically consistent. the young man looking at the sky through a personal telescope in the evening implies that there is a young man using a telescope. therefore, the hypothesis is supported by the premise.||entailment",25.71,singleview_superclean::contrastive
