question,premise,hypothesis,label,llm_label,rationale,input
Two topless men and a woman wearing a dress are splashing around waist deep in ice cold water; the trees in the background have no leaves and the ground is covered with snow.</s>People are in water.,Two topless men and a woman wearing a dress are splashing around waist deep in ice cold water; the trees in the background have no leaves and the ground is covered with snow.,People are in water.,entailment,entailment,The people are in water.,Two topless men and a woman wearing a dress are splashing around waist deep in ice cold water; the trees in the background have no leaves and the ground is covered with snow.</s>People are in water.
Three women walk down a city street; one looks inside her handbag as she walks.</s>Three women chat at home.,Three women walk down a city street; one looks inside her handbag as she walks.,Three women chat at home.,contradiction,contradiction,The women are not at home.,Three women walk down a city street; one looks inside her handbag as she walks.</s>Three women chat at home.
Two male dancers dressed in blue shirts and black pants perform a routine in front of six women sitting beside them.</s>Nobody has a shirt.,Two male dancers dressed in blue shirts and black pants perform a routine in front of six women sitting beside them.,Nobody has a shirt.,contradiction,contradiction,The two male dancers are wearing blue shirts.,Two male dancers dressed in blue shirts and black pants perform a routine in front of six women sitting beside them.</s>Nobody has a shirt.
Two women in sunglasses are crossing a street in a city.</s>Nobody has sunglasses.,Two women in sunglasses are crossing a street in a city.,Nobody has sunglasses.,contradiction,contradiction,"If nobody has sunglasses, then the two women cannot be wearing sunglasses.",Two women in sunglasses are crossing a street in a city.</s>Nobody has sunglasses.
"A young female softball outfielder has just thrown a ball, while players run to their bases.</s>Nobody is throwing","A young female softball outfielder has just thrown a ball, while players run to their bases.",Nobody is throwing,contradiction,contradiction,The young female softball outfielder is throwing the ball.,"A young female softball outfielder has just thrown a ball, while players run to their bases.</s>Nobody is throwing"
The sun is setting behind a group of people.</s>The run is rising in front of the people.,The sun is setting behind a group of people.,The run is rising in front of the people.,contradiction,contradiction,The sun cannot be setting and rising at the same time.,The sun is setting behind a group of people.</s>The run is rising in front of the people.
"Man in a long-sleeved black shirt, appears to be engaged in dance, in front of a blue sign that entails information about specific locations.</s>A man is playing video games inside.","Man in a long-sleeved black shirt, appears to be engaged in dance, in front of a blue sign that entails information about specific locations.",A man is playing video games inside.,contradiction,contradiction,The man is not inside.,"Man in a long-sleeved black shirt, appears to be engaged in dance, in front of a blue sign that entails information about specific locations.</s>A man is playing video games inside."
A basketball player slam dunks the ball as his body goes sideways; as several people look on.</s>The ball player is competing in a slam dunk competition.,A basketball player slam dunks the ball as his body goes sideways; as several people look on.,The ball player is competing in a slam dunk competition.,neutral,neutral,"The basketball player is slam dunking the ball, but it is not necessarily in a slam dunk competition.",A basketball player slam dunks the ball as his body goes sideways; as several people look on.</s>The ball player is competing in a slam dunk competition.
"A blond, blue-eyed toddler girl is dressed in pink and wearing a plaid pink bucket hat, and is eating an ice cream cone in the park on a cloudy day.</s>A blond, blue-eyed toddler girl is dressed in green and wearing a plaid pink bucket hat, and is eating an ice cream cone in the park on a cloudy day.","A blond, blue-eyed toddler girl is dressed in pink and wearing a plaid pink bucket hat, and is eating an ice cream cone in the park on a cloudy day.","A blond, blue-eyed toddler girl is dressed in green and wearing a plaid pink bucket hat, and is eating an ice cream cone in the park on a cloudy day.",contradiction,entailment,The color of the clothes is not relevant to the rest of the sentence.,"A blond, blue-eyed toddler girl is dressed in pink and wearing a plaid pink bucket hat, and is eating an ice cream cone in the park on a cloudy day.</s>A blond, blue-eyed toddler girl is dressed in green and wearing a plaid pink bucket hat, and is eating an ice cream cone in the park on a cloudy day."
A red shirted boy and a black dog with a Frisbee run in the green grass.</s>The boy is wearing a green shirt and has a white dog.,A red shirted boy and a black dog with a Frisbee run in the green grass.,The boy is wearing a green shirt and has a white dog.,contradiction,contradiction,"The boy is wearing a red shirt, not a green shirt. The dog is black, not white.",A red shirted boy and a black dog with a Frisbee run in the green grass.</s>The boy is wearing a green shirt and has a white dog.
A young woman sitting on a large tool chest paints her face silver.</s>The woman is removing her makeup.,A young woman sitting on a large tool chest paints her face silver.,The woman is removing her makeup.,contradiction,contradiction,"The woman is painting her face silver, not removing her makeup.",A young woman sitting on a large tool chest paints her face silver.</s>The woman is removing her makeup.
A young boy raking leaves.</s>The boy is watching TV.,A young boy raking leaves.,The boy is watching TV.,contradiction,contradiction,"The boy is raking leaves, not watching TV.",A young boy raking leaves.</s>The boy is watching TV.
A person is performing a rollerblading trick as other people skate and run nearby.</s>The person is asleep.,A person is performing a rollerblading trick as other people skate and run nearby.,The person is asleep.,contradiction,contradiction,"The person is performing a trick, so he/she cannot be asleep.",A person is performing a rollerblading trick as other people skate and run nearby.</s>The person is asleep.
A pageant girl posing in a black dress and black heels in front of a run downtown.</s>A male is posing for a senior photo.,A pageant girl posing in a black dress and black heels in front of a run downtown.,A male is posing for a senior photo.,contradiction,contradiction,"The person in the picture is a girl, not a male.",A pageant girl posing in a black dress and black heels in front of a run downtown.</s>A male is posing for a senior photo.
A man in a patriotic t-shirt and baseball cap holding up a protest sign.</s>The man is not holding anything.,A man in a patriotic t-shirt and baseball cap holding up a protest sign.,The man is not holding anything.,contradiction,contradiction,The man is holding a protest sign.,A man in a patriotic t-shirt and baseball cap holding up a protest sign.</s>The man is not holding anything.
The kid is in front of a car with a put and a ball.</s>The kid is standing behind the car.,The kid is in front of a car with a put and a ball.,The kid is standing behind the car.,contradiction,contradiction,"The kid is in front of the car, not behind it.",The kid is in front of a car with a put and a ball.</s>The kid is standing behind the car.
A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.</s>Nobdoy is feeding.,A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.,Nobdoy is feeding.,contradiction,contradiction,The man is feeding the birds.,A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.</s>Nobdoy is feeding.
A man in a bright green flux shirt walks along a crowded sidewalk under metal scaffolding at night.</s>A man has no shirt on.,A man in a bright green flux shirt walks along a crowded sidewalk under metal scaffolding at night.,A man has no shirt on.,contradiction,contradiction,A man in a bright green flux shirt is not a man with no shirt on.,A man in a bright green flux shirt walks along a crowded sidewalk under metal scaffolding at night.</s>A man has no shirt on.
Two construction workers are digging up pavement on a road.</s>Two construction workers are sitting.,Two construction workers are digging up pavement on a road.,Two construction workers are sitting.,contradiction,contradiction,The construction workers are not sitting.,Two construction workers are digging up pavement on a road.</s>Two construction workers are sitting.
"A boy, wearing a gray shirt and black pants, is bowling with a black bowling ball with only two pins left to knock down.</s>The boy is sleeping.","A boy, wearing a gray shirt and black pants, is bowling with a black bowling ball with only two pins left to knock down.",The boy is sleeping.,contradiction,contradiction,The boy is not sleeping.,"A boy, wearing a gray shirt and black pants, is bowling with a black bowling ball with only two pins left to knock down.</s>The boy is sleeping."
Three men in suits are posing for a photo with their hands together.</s>The men are inside a pool.,Three men in suits are posing for a photo with their hands together.,The men are inside a pool.,contradiction,contradiction,The men are not in a pool.,Three men in suits are posing for a photo with their hands together.</s>The men are inside a pool.
A man is fishing at dusk off of a rocky pier.</s>A man is swimming.,A man is fishing at dusk off of a rocky pier.,A man is swimming.,contradiction,contradiction,"The man is fishing, not swimming.",A man is fishing at dusk off of a rocky pier.</s>A man is swimming.
