premise,hypothesis,prompt,rationale
"Billy often eat hamburgers, but he did not always have then with cheese.  Billy are cheeseburgers more often than some people, but less often than others.  You could say that it was something he did only when?","['occasionally', 'seldom', 'hardly ever', 'infrequently', 'never']","Questions: Billy often eat hamburgers, but he did not always have then with cheese.  Billy are cheeseburgers more often than some people, but less often than others.  You could say that it was something he did only when?, Choices: (A) occasionally, (B) seldom, (C) hardly ever, (D) infrequently, (E) never. Given the question 'Billy often eat hamburgers, but he did not always have then with cheese.  Billy are cheeseburgers more often than some people, but less often than others.  You could say that it was something he did only when?', which among the choices occasionally, seldom, hardly ever, infrequently never is the correct answer? Explain your reasoning using conditional statements.
","1. The correct answer is (A) occasionally. This means that Billy did something sometimes, but not very often. A conditional statement that explains this is: If Billy ate a hamburger, then he **occasionally** had it with cheese.

"
"Billy thought that he was smart, but many of his attitudes didn't were very regressive. How might you describe him?","['backward', 'ignorant', 'garish', 'intelligent', 'annoying']","Questions: Billy thought that he was smart, but many of his attitudes didn't were very regressive. How might you describe him?, Choices: (A) backward, (B) ignorant, (C) garish, (D) intelligent, (E) annoying. Given the question 'Billy thought that he was smart, but many of his attitudes didn't were very regressive. How might you describe him?', which among the choices backward, ignorant, garish, intelligent annoying is the correct answer? Explain your reasoning using conditional statements.
","2. The correct answer is (B) ignorant. This means that Billy lacked knowledge or awareness of something. A conditional statement that explains this is: If Billy had regressive attitudes, then he was **ignorant** of the current trends or norms.

"
"Billy thought that there wasn't any point to hunting foxes. Besides, it was too dry to find many.  Where might he have been?","['hen house', 'florida', 'new hampshire', 'north dakota', 'arkansas']","Questions: Billy thought that there wasn't any point to hunting foxes. Besides, it was too dry to find many.  Where might he have been?, Choices: (A) hen house, (B) florida, (C) new hampshire, (D) north dakota, (E) arkansas. Given the question 'Billy thought that there wasn't any point to hunting foxes. Besides, it was too dry to find many.  Where might he have been?', which among the choices hen house, florida, new hampshire, north dakota arkansas is the correct answer? Explain your reasoning using conditional statements.
","3. The correct answer is (D) North Dakota. This is a state in the US that has a dry climate and a low population of foxes. A conditional statement that explains this is: If Billy was in North Dakota, then he would find it too dry to hunt many foxes.

"
"Billy tried to arise, but he could not stand from bed. He continued to do what?","['fall down', 'lie flat', 'get down', 'lay down', 'sitting down']","Questions: Billy tried to arise, but he could not stand from bed. He continued to do what?, Choices: (A) fall down, (B) lie flat, (C) get down, (D) lay down, (E) sitting down. Given the question 'Billy tried to arise, but he could not stand from bed. He continued to do what?', which among the choices fall down, lie flat, get down, lay down sitting down is the correct answer? Explain your reasoning using conditional statements.
","4. The correct answer is (B) lie flat. This means that Billy stayed in a horizontal position on his bed. A conditional statement that explains this is: If Billy could not stand from bed, then he continued to **lie flat**.

"
"Billy tried to defeat John, but John was just too good.  It seemed that billy could never achieve what?","['winning', 'conquer', 'won', 'control', 'victory']","Questions: Billy tried to defeat John, but John was just too good.  It seemed that billy could never achieve what?, Choices: (A) winning, (B) conquer, (C) won, (D) control, (E) victory. Given the question 'Billy tried to defeat John, but John was just too good.  It seemed that billy could never achieve what?', which among the choices winning, conquer, won, control victory is the correct answer? Explain your reasoning using conditional statements.
","5. The correct answer is (E) victory. This means that Billy could not achieve the state of having won something. A conditional statement that explains this is: If Billy tried to defeat John, then he could never achieve **victory**.

"
"Billy wanted to return home, but his mother told him to do what?","['run away', 'leave', 'going away', 'backspace', 'go away']","Questions: Billy wanted to return home, but his mother told him to do what?, Choices: (A) run away, (B) leave, (C) going away, (D) backspace, (E) go away. Given the question 'Billy wanted to return home, but his mother told him to do what?', which among the choices run away, leave, going away, backspace go away is the correct answer? Explain your reasoning using conditional statements.
","6. The correct answer is (E) go away. This means that Billy's mother told him to leave or depart from somewhere. A conditional statement that explains this is: If Billy wanted to return home, then his mother told him to **go away**.

"
"Billy wants to learn how to socialize, but he doesn't know where to start.  He calls his best friend and asks for what?","['have friends', 'meet new people', 'entertainment', 'input', 'friendship']","Questions: Billy wants to learn how to socialize, but he doesn't know where to start.  He calls his best friend and asks for what?, Choices: (A) have friends, (B) meet new people, (C) entertainment, (D) input, (E) friendship. Given the question 'Billy wants to learn how to socialize, but he doesn't know where to start.  He calls his best friend and asks for what?', which among the choices have friends, meet new people, entertainment, input friendship is the correct answer? Explain your reasoning using conditional statements.
","7. The correct answer is (D) input. This means that Billy asked his best friend for advice or suggestions on how to socialize. A conditional statement that explains this is: If Billy wanted to learn how to socialize, then he called his best friend and asked for **input**.

"
"Billy wants to understand people better.  He's a very big-hearrted person,  He has a lot of what?","['peace', 'love', 'compassion', 'friendships', 'satisfaction']","Questions: Billy wants to understand people better.  He's a very big-hearrted person,  He has a lot of what?, Choices: (A) peace, (B) love, (C) compassion, (D) friendships, (E) satisfaction. Given the question 'Billy wants to understand people better.  He's a very big-hearrted person,  He has a lot of what?', which among the choices peace, love, compassion, friendships satisfaction is the correct answer? Explain your reasoning using conditional statements.
","8. The correct answer is (C) compassion. This means that Billy had a lot of sympathy and concern for the suffering or well-being of others. A conditional statement that explains this is: If Billy was a big-hearted person, then he had a lot of **compassion**.

"
"Billy was a forgiving person.  When Marna confessed to him, she felt what?","['redemption', 'absolution', 'great relief', 'very sad', 'make up']","Questions: Billy was a forgiving person.  When Marna confessed to him, she felt what?, Choices: (A) redemption, (B) absolution, (C) great relief, (D) very sad, (E) make up. Given the question 'Billy was a forgiving person.  When Marna confessed to him, she felt what?', which among the choices redemption, absolution, great relief, very sad make up is the correct answer? Explain your reasoning using conditional statements.
","9. The correct answer is (C) great relief. This means that Marna felt a lot of stress or worry being removed or reduced after she confessed to Billy. A conditional statement that explains this is: If Billy was a forgiving person, then Marna felt **great relief** when she confessed to him.

"
"Billy was a human, and he had human bodily functions.  He needed to catch his flight but ended up missing it, because he had too much mexican and was stuck where?","['bed', 'couch', 'bathroom', 'school', 'airport']","Questions: Billy was a human, and he had human bodily functions.  He needed to catch his flight but ended up missing it, because he had too much mexican and was stuck where?, Choices: (A) bed, (B) couch, (C) bathroom, (D) school, (E) airport. Given the question 'Billy was a human, and he had human bodily functions.  He needed to catch his flight but ended up missing it, because he had too much mexican and was stuck where?', which among the choices bed, couch, bathroom, school airport is the correct answer? Explain your reasoning using conditional statements.
","10. The correct answer is (C) bathroom. This means that Billy was stuck in a room where he could use a toilet or a shower. A conditional statement that explains this is: If Billy had too much mexican food, then he was stuck in the **bathroom**."
"Billy was a kooky person, but he wasn't gay.  What was he?","['mainstream', 'conventional', 'straight', 'standard', 'ordinary']","Questions: Billy was a kooky person, but he wasn't gay.  What was he?, Choices: (A) mainstream, (B) conventional, (C) straight, (D) standard, (E) ordinary. Given the question 'Billy was a kooky person, but he wasn't gay.  What was he?', which among the choices mainstream, conventional, straight, standard ordinary is the correct answer? Explain your reasoning using conditional statements.
","1. The correct answer is (C) straight. A conditional statement is a statement that can be written in the form ""if p, then q"", where p and q are propositions. A possible conditional statement for this question is: ""If Billy is not gay, then he is straight."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is false (Billy is not gay) and q is true (Billy is straight), so the statement is true.

"
"Billy was cogitating the situation, but soon he would have to come to what?","['decision', 'enlightenment', 'new thoughts', 'headaches', 'annurism']","Questions: Billy was cogitating the situation, but soon he would have to come to what?, Choices: (A) decision, (B) enlightenment, (C) new thoughts, (D) headaches, (E) annurism. Given the question 'Billy was cogitating the situation, but soon he would have to come to what?', which among the choices decision, enlightenment, new thoughts, headaches annurism is the correct answer? Explain your reasoning using conditional statements.
","2. The correct answer is (A) decision. A possible conditional statement for this question is: ""If Billy is cogitating the situation, then he will have to come to a decision."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Billy is cogitating the situation) and q is true (he will have to come to a decision), so the statement is true.

"
"Billy was was going on a long vacation, but before he did he got a bite to eat.  Where might he have eaten?","['space shuttle', ""friend's house"", 'disneyland', 'supermarket', 'gas station']","Questions: Billy was was going on a long vacation, but before he did he got a bite to eat.  Where might he have eaten?, Choices: (A) space shuttle, (B) friend's house, (C) disneyland, (D) supermarket, (E) gas station. Given the question 'Billy was was going on a long vacation, but before he did he got a bite to eat.  Where might he have eaten?', which among the choices space shuttle, friend's house, disneyland, supermarket gas station is the correct answer? Explain your reasoning using conditional statements.
","3. The correct answer is (E) gas station. A possible conditional statement for this question is: ""If Billy is going on a long vacation, then he might have eaten at a gas station."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Billy is going on a long vacation) and q is true (he might have eaten at a gas station), so the statement is true.

"
"Billy wasn't a stranger, but they hadn't spoken to him often, either.  How would you describe him?","['family', 'known person', 'friend', 'relative', 'crowd']","Questions: Billy wasn't a stranger, but they hadn't spoken to him often, either.  How would you describe him?, Choices: (A) family, (B) known person, (C) friend, (D) relative, (E) crowd. Given the question 'Billy wasn't a stranger, but they hadn't spoken to him often, either.  How would you describe him?', which among the choices family, known person, friend, relative crowd is the correct answer? Explain your reasoning using conditional statements.
","4. The correct answer is (B) known person. A possible conditional statement for this question is: ""If Billy is not a stranger, then he is a known person."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Billy is not a stranger) and q is true (he is a known person), so the statement is true.

"
"Billy's boss told him to get a book from a high shelf, so he took a stepladder from what?","['store room', 'tool shed', 'hardware store', ""construction worker's vehicle"", 'library']","Questions: Billy's boss told him to get a book from a high shelf, so he took a stepladder from what?, Choices: (A) store room, (B) tool shed, (C) hardware store, (D) construction worker's vehicle, (E) library. Given the question 'Billy's boss told him to get a book from a high shelf, so he took a stepladder from what?', which among the choices store room, tool shed, hardware store, construction worker's vehicle library is the correct answer? Explain your reasoning using conditional statements.
","5. The correct answer is (A) store room. A possible conditional statement for this question is: ""If Billy's boss told him to get a book from a high shelf, then he took a stepladder from a store room."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Billy's boss told him to get a book from a high shelf) and q is true (he took a stepladder from a store room), so the statement is true.

"
"Billy's disability prevented him from moving, but it didn't alter his mind or what?","['activity', 'potence', 'qualification', 'competency', 'strength']","Questions: Billy's disability prevented him from moving, but it didn't alter his mind or what?, Choices: (A) activity, (B) potence, (C) qualification, (D) competency, (E) strength. Given the question 'Billy's disability prevented him from moving, but it didn't alter his mind or what?', which among the choices activity, potence, qualification, competency strength is the correct answer? Explain your reasoning using conditional statements.
","6. The correct answer is (D) competency. A possible conditional statement for this question is: ""If Billy's disability did not alter his mind, then it did not alter his competency."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Billy's disability did not alter his mind) and q is true (it did not alter his competency), so the statement is true.

"
"Billy's oven was broken so he couldn't cook.  His microwave was also not working, so he couldn't use it, either.  Billy needed money so that he could do what?","['go on a date', 'pay bills', 'get things', 'control people', 'buy food']","Questions: Billy's oven was broken so he couldn't cook.  His microwave was also not working, so he couldn't use it, either.  Billy needed money so that he could do what?, Choices: (A) go on a date, (B) pay bills, (C) get things, (D) control people, (E) buy food. Given the question 'Billy's oven was broken so he couldn't cook.  His microwave was also not working, so he couldn't use it, either.  Billy needed money so that he could do what?', which among the choices go on a date, pay bills, get things, control people buy food is the correct answer? Explain your reasoning using conditional statements.
","7. The correct answer is (E) buy food. A possible conditional statement for this question is: ""If Billy's oven and microwave were not working, then he needed money to buy food."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Billy's oven and microwave were not working) and q is true (he needed money to buy food), so the statement is true.

"
"Bo wanted to put on his clean clothes, but that would have required doing what to his dirty ones?","['get dirty', 'organize', 'sort', 'take off', 'soap']","Questions: Bo wanted to put on his clean clothes, but that would have required doing what to his dirty ones?, Choices: (A) get dirty, (B) organize, (C) sort, (D) take off, (E) soap. Given the question 'Bo wanted to put on his clean clothes, but that would have required doing what to his dirty ones?', which among the choices get dirty, organize, sort, take off soap is the correct answer? Explain your reasoning using conditional statements.
","8. The correct answer is (D) take off. A possible conditional statement for this question is: ""If Bo wanted to put on his clean clothes, then he had to take off his dirty ones."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Bo wanted to put on his clean clothes) and q is true (he had to take off his dirty ones), so the statement is true.

"
"Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?","['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']","Questions: Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?, Choices: (A) frustration, (B) being annoyed, (C) delays, (D) irritation, (E) out of order. Given the question 'Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?', which among the choices frustration, being annoyed, delays, irritation out of order is the correct answer? Explain your reasoning using conditional statements.
","9. The correct answer is (B) being annoyed. A possible conditional statement for this question is: ""If Bob and Boris were standing in a fast queue, then they were being annoyed by the loud children."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Bob and Boris were standing in a fast queue) and q is true (they were being annoyed by the loud children), so the statement is true.

"
"Bob doesn't want to buy a plain stereo system. He wants something studio quality, with all of the what?","['decorative', 'extravagant', 'speakers', 'exotic', 'bells and whistles']","Questions: Bob doesn't want to buy a plain stereo system. He wants something studio quality, with all of the what?, Choices: (A) decorative, (B) extravagant, (C) speakers, (D) exotic, (E) bells and whistles. Given the question 'Bob doesn't want to buy a plain stereo system. He wants something studio quality, with all of the what?', which among the choices decorative, extravagant, speakers, exotic bells and whistles is the correct answer? Explain your reasoning using conditional statements.
","10. The correct answer is (E) bells and whistles. A possible conditional statement for this question is: ""If Bob wanted something studio quality, then he wanted all of the bells and whistles."" This statement is true when both p and q are true, or when p is false and q is true. In this case, p is true (Bob wanted something studio quality) and q is true (he wanted all of the bells and whistles), so the statement is true."
