Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio,judge_view_rank
0,"One black man and one caucasian man are at the front of the pack of otherwise predominantly Asian track runners; all wearing shorts, running shoes and numbered paper race-bibs.",There are asian track runners by the black and caucasian man.,"Premise: One black man and one caucasian man are at the front of the pack of otherwise predominantly Asian track runners; all wearing shorts, running shoes and numbered paper race-bibs., Hypothesis: There are asian track runners by the black and caucasian man.. For the premise 'One black man and one caucasian man are at the front of the pack of otherwise predominantly Asian track runners; all wearing shorts, running shoes and numbered paper race-bibs.' and hypothesis There are asian track runners by the black and caucasian man., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is **entailment**. The premise and the hypothesis are logically consistent. One black man and one caucasian man being at the front of the pack of otherwise predominantly Asian track runners implies that there are Asian track runners by the black and caucasian man. Therefore, the hypothesis is supported by the premise."," is **entailment**. the premise and the hypothesis are logically consistent. one black man and one caucasian man being at the front of the pack of otherwise predominantly asian track runners implies that there are asian track runners by the black and caucasian man. therefore, the hypothesis is supported by the premise.

",{'entailment': 6},entailment,contrastive,23.001875,entailment,entailment,neutral,entailment,6.35,6.35,True,56,0.5625,7,1.0,1
1,A young man looking at the sky through a personal telescope in the evening.,There is a young man using a telescope.,"Premise: A young man looking at the sky through a personal telescope in the evening., Hypothesis: There is a young man using a telescope.. For the premise 'A young man looking at the sky through a personal telescope in the evening.' and hypothesis There is a young man using a telescope., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **entailment**. The premise and the hypothesis are logically consistent. The young man looking at the sky through a personal telescope in the evening implies that there is a young man using a telescope. Therefore, the hypothesis is supported by the premise."," is **entailment**. the premise and the hypothesis are logically consistent. the young man looking at the sky through a personal telescope in the evening implies that there is a young man using a telescope. therefore, the hypothesis is supported by the premise.

",{'entailment': 6},entailment,contrastive,22.9375,entailment,entailment,entailment,entailment,6.35,6.35,True,47,0.5,7,1.0,1
2,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",One adult is hurt because of the ride they took.,"Premise: Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride., Hypothesis: One adult is hurt because of the ride they took.. For the premise 'Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.' and hypothesis One adult is hurt because of the ride they took., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **entailment**. This means that the hypothesis is true given the premise. The premise states that one adult is helping the other to fix an injury to his arm after a brief ride, which implies that one adult is hurt because of the ride they took. Therefore, the hypothesis is entailed by the premise."," is **entailment**. this means that the hypothesis is true given the premise. the premise states that one adult is helping the other to fix an injury to his arm after a brief ride, which implies that one adult is hurt because of the ride they took. therefore, the hypothesis is entailed by the premise.

","{'entailment': 6, 'entailed': 278}",entailment,contrastive,22.931711,entailment,entailment,neutral,entailment,6.35,6.35,True,59,0.552632,7,1.0,1
3,A woman with a tennis racket about to swing at a ball.,The woman is playing a sport,,"9. The correct answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise states that the woman has a tennis racket and is about to swing at a ball, which implies that she is playing a sport. The hypothesis states the same thing, but in more general terms. Therefore, the hypothesis is entailed by the premise.","9. the correct answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that the woman has a tennis racket and is about to swing at a ball, which implies that she is playing a sport. the hypothesis states the same thing, but in more general terms. therefore, the hypothesis is entailed by the premise.

","{'entailment': 27, 'entailed': 335}",entailment,causal,22.90725,entailment,entailment,entailment,entailment,6.35,6.35,True,62,0.325,7,1.0,1
4,Only the hands and arms of a person painting another person's arm.,A person is painting another individual.,"Premise: Only the hands and arms of a person painting another person's arm., Hypothesis: A person is painting another individual.. For the premise 'Only the hands and arms of a person painting another person's arm.' and hypothesis A person is painting another individual., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","10. The most likely answer is **entailment**. This means that the hypothesis is true given the premise. The premise states that only the hands and arms of a person painting another person's arm are visible, which implies that a person is painting another individual. Therefore, the hypothesis is a more general statement that follows from the premise."," is **entailment**. this means that the hypothesis is true given the premise. the premise states that only the hands and arms of a person painting another person's arm are visible, which implies that a person is painting another individual. therefore, the hypothesis is a more general statement that follows from the premise.",{'entailment': 6},entailment,contrastive,22.823056,entailment,entailment,neutral,entailment,6.35,6.35,True,58,0.388889,7,1.0,1
5,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,"Premise: A biker pops a wheelie along side the colorful wall., Hypothesis: A person is riding a bike near a wall.. For the premise 'A biker pops a wheelie along side the colorful wall.' and hypothesis A person is riding a bike near a wall., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is **entailment**. This means that the hypothesis is true given the premise. The premise states that a biker pops a wheelie along side the colorful wall, which implies that he is riding a bike near a wall. Therefore, the hypothesis is a more general statement that follows from the premise."," is **entailment**. this means that the hypothesis is true given the premise. the premise states that a biker pops a wheelie along side the colorful wall, which implies that he is riding a bike near a wall. therefore, the hypothesis is a more general statement that follows from the premise.

",{'entailment': 6},entailment,contrastive,22.816324,entailment,entailment,entailment,entailment,6.35,6.35,True,55,0.382353,7,1.0,1
6,A man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch.,There are three men in this picture,"Premise: A man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch., Hypothesis: There are three men in this picture. For the premise 'A man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch.' and hypothesis There are three men in this picture, among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is **entailment**. This means that the hypothesis is true given the premise. The premise states that a man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch, which implies that there are three men in this picture. Therefore, the hypothesis is entailed by the premise."," is **entailment**. this means that the hypothesis is true given the premise. the premise states that a man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch, which implies that there are three men in this picture. therefore, the hypothesis is entailed by the premise.

","{'entailment': 6, 'entailed': 310}",entailment,contrastive,22.809,entailment,entailment,entailment,entailment,6.35,6.35,True,64,0.55,7,1.0,1
7,Black dog climbs over fallen logs or boards.,The black dog is climbing over something in its path.,"Premise: Black dog climbs over fallen logs or boards., Hypothesis: The black dog is climbing over something in its path.. For the premise 'Black dog climbs over fallen logs or boards.' and hypothesis The black dog is climbing over something in its path., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","9. The most likely answer is **entailment**. This means that the hypothesis is logically implied by the premise. The premise states that the dog is climbing over fallen logs or boards, which implies that the dog is climbing over something in its path. The hypothesis, therefore, is a more general statement that follows from the premise."," is **entailment**. this means that the hypothesis is logically implied by the premise. the premise states that the dog is climbing over fallen logs or boards, which implies that the dog is climbing over something in its path. the hypothesis, therefore, is a more general statement that follows from the premise.

",{'entailment': 6},entailment,contrastive,22.805071,entailment,entailment,entailment,entailment,6.35,6.35,True,56,0.371429,7,1.0,1
8,A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.,A soccer game is happening.,"Premise: A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts., Hypothesis: A soccer game is happening.. What is the correct answer to the premise 'A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.' and hypothesis A soccer game is happening. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","3. The correct answer is **entailment**. This means that the hypothesis is true given the premise. The premise describes a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie. The hypothesis is a more general statement that a soccer game is happening. Therefore, the hypothesis is logically entailed by the premise.","3. the correct answer is **entailment**. this means that the hypothesis is true given the premise. the premise describes a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie. the hypothesis is a more general statement that a soccer game is happening. therefore, the hypothesis is logically entailed by the premise.

","{'entailment': 27, 'entailed': 343}",entailment,neutral,22.802786,entailment,entailment,,entailment,6.35,6.35,True,61,0.485714,7,1.0,1
9,a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.,The woman is outdoors with a machine.,"Premise: a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park., Hypothesis: The woman is outdoors with a machine.. For the premise 'a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.' and hypothesis The woman is outdoors with a machine., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","9. The most likely answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise states that the woman is operating some sort of stainless steel machine in what appears to be a park. This implies that she is outdoors with a machine. Therefore, the hypothesis is true given the premise."," is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that the woman is operating some sort of stainless steel machine in what appears to be a park. this implies that she is outdoors with a machine. therefore, the hypothesis is true given the premise.

",{'entailment': 6},entailment,contrastive,22.801643,entailment,entailment,entailment,entailment,6.35,6.35,True,56,0.542857,7,1.0,1
