Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio,judge_view_rank,boundary_band,example_key,row_key
0,"Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?","['riots', 'vote', 'change yourself', 'social activism', 'change clothes']","Questions: Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?, Choices: (A) riots, (B) vote, (C) change yourself, (D) social activism, (E) change clothes. For the question 'Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?', what is the correct answer among the choices riots, vote, change yourself, social activism change clothes? Explain the cause-and-effect relationship between the question and your chosen answer.
","5. The correct answer is **(C) change yourself**. Some might say that if you want to do something that results in changing society, then you need to start from within, which means that you need to change yourself first. This is because changing yourself can help you improve your skills, attitudes, behaviors, and values, which can then influence the people and the world around you. This is the cause-and-effect relationship between the question and the answer.","5. the correct answer is **(c) change yourself**. some might say that if you want to do something that results in changing society, then you need to start from within, which means that you need to change yourself first. this is because changing yourself can help you improve your skills, attitudes, behaviors, and values, which can then influence the people and the world around you. this is the cause-and-effect relationship between the question and the answer.

",{'change yourself': 31},change yourself,causal,3.1552999999999995,change yourself,change yourself,change yourself,change yourself,6.5249999999999995,6.5249999999999995,True,76,0.44,7,1.0,1,easy,"some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?</s>['riots', 'vote', 'change yourself', 'social activism', 'change clothes']","some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?</s>['riots', 'vote', 'change yourself', 'social activism', 'change clothes']||5. the correct answer is **(c) change yourself**. some might say that if you want to do something that results in changing society, then you need to start from within, which means that you need to change yourself first. this is because changing yourself can help you improve your skills, attitudes, behaviors, and values, which can then influence the people and the world around you. this is the cause-and-effect relationship between the question and the answer.||causal"
1,Susan was playing games with her five year old son Tim. She played them because they were designed to help him with something. What might they help a child with?,"['learning', 'competitiveness', 'losing', 'winning', 'relaxation']","Questions: Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?, Choices: (A) learning, (B) competitiveness, (C) losing, (D) winning, (E) relaxation. Given the question 'Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?', which among the choices learning, competitiveness, losing, winning relaxation is the correct answer? Explain your reasoning using conditional statements.
","10. The correct answer is **(A) learning**. Susan was playing games with her five year old son Tim. She played them because they were designed to help him with something. What might they help a child with? If we use conditional statements, we can write: - If Susan was playing games with her son Tim, then the games were educational. - If the games were educational, then they helped him with learning. - Therefore, if Susan was playing games with her son Tim, then they helped him with learning.","10. the correct answer is **(a) learning**. susan was playing games with her five year old son tim.  she played them because they were designed to help him with something.  what might they help a child with? if we use conditional statements, we can write:

- if susan was playing games with her son tim, then the games were educational.
- if the games were educational, then they helped him with learning.
- therefore, if susan was playing games with her son tim, then they helped him with learning.",{'learning': 32},learning,if_else,3.271802325581395,learning,learning,learning,learning,6.5249999999999995,6.5249999999999995,True,89,0.627906976744186,7,1.0,1,easy,"susan was playing games with her five year old son tim. she played them because they were designed to help him with something. what might they help a child with?</s>['learning', 'competitiveness', 'losing', 'winning', 'relaxation']","susan was playing games with her five year old son tim. she played them because they were designed to help him with something. what might they help a child with?</s>['learning', 'competitiveness', 'losing', 'winning', 'relaxation']||10. the correct answer is **(a) learning**. susan was playing games with her five year old son tim. she played them because they were designed to help him with something. what might they help a child with? if we use conditional statements, we can write: - if susan was playing games with her son tim, then the games were educational. - if the games were educational, then they helped him with learning. - therefore, if susan was playing games with her son tim, then they helped him with learning.||if_else"
2,"The computer user did not know what he was doing at all, this made the instructional course pure what for him?","['energy', 'office building', 'hell', 'school', 'house']","Questions: The computer user did not know what he was doing at all, this made the instructional course pure what for him?, Choices: (A) energy, (B) office building, (C) hell, (D) school, (E) house. What is the correct answer to the question 'The computer user did not know what he was doing at all, this made the instructional course pure what for him?' with the options energy, office building, hell, school house? Provide a straightforward explanation. 
","6. The correct answer is **(C) hell**. The computer user did not know what he was doing at all, this made the instructional course pure hell for him. This is because hell means a very unpleasant or difficult situation, which is what the computer user experienced in the course.","6. the correct answer is **(c) hell**. the computer user did not know what he was doing at all, this made the instructional course pure hell for him. this is because hell means a very unpleasant or difficult situation, which is what the computer user experienced in the course.
",{'hell': 31},hell,neutral,3.1469444444444443,hell,hell,hell,hell,6.5249999999999995,6.5249999999999995,True,49,0.5555555555555556,7,1.0,1,easy,"the computer user did not know what he was doing at all, this made the instructional course pure what for him?</s>['energy', 'office building', 'hell', 'school', 'house']","the computer user did not know what he was doing at all, this made the instructional course pure what for him?</s>['energy', 'office building', 'hell', 'school', 'house']||6. the correct answer is **(c) hell**. the computer user did not know what he was doing at all, this made the instructional course pure hell for him. this is because hell means a very unpleasant or difficult situation, which is what the computer user experienced in the course.||neutral"
3,James loved violence and used it all the time. But he changed his tune when it was him that it was what?,"['war', 'anger pacifists', 'being done against', 'hockey game', 'got injured']","Questions: James loved violence and used it all the time.  But he changed his tune when it was him that it was what?, Choices: (A) war, (B) anger pacifists, (C) being done against, (D) hockey game, (E) got injured. For the question 'James loved violence and used it all the time.  But he changed his tune when it was him that it was what?', among the choices war, anger pacifists, being done against, hockey game got injured, which is the most likely answer? Highlight what sets your choice apart from the others.
","9. The most likely answer is **(C) being done against**. James loved violence and used it all the time, but he changed his tune when it was him that it was being done against. This means that James did not like being the victim of violence, which made him realize the consequences of his actions. The other choices are less likely because they are either not related to violence (war, hockey game) or they are not specific to James' situation (anger pacifists, got injured)."," is **(c) being done against**. james loved violence and used it all the time, but he changed his tune when it was him that it was being done against. this means that james did not like being the victim of violence, which made him realize the consequences of his actions. the other choices are less likely because they are either not related to violence (war, hockey game) or they are not specific to james' situation (anger pacifists, got injured).

","{'war': 355, 'anger pacifists': 419, 'being done against': 10, 'hockey game': 360, 'got injured': 436}",being done against,contrastive,3.0218103448275864,being done against,being done against,being done against,being done against,6.5249999999999995,6.5249999999999995,True,84,0.4827586206896552,7,1.0,1,easy,"james loved violence and used it all the time. but he changed his tune when it was him that it was what?</s>['war', 'anger pacifists', 'being done against', 'hockey game', 'got injured']","james loved violence and used it all the time. but he changed his tune when it was him that it was what?</s>['war', 'anger pacifists', 'being done against', 'hockey game', 'got injured']||9. the most likely answer is **(c) being done against**. james loved violence and used it all the time, but he changed his tune when it was him that it was being done against. this means that james did not like being the victim of violence, which made him realize the consequences of his actions. the other choices are less likely because they are either not related to violence (war, hockey game) or they are not specific to james' situation (anger pacifists, got injured).||contrastive"
4,"If someone is aloof and self-important, what is their experience when meeting people?","['stress', 'nervousness', 'smile', 'being bored', 'making new friends']","Questions: If someone is aloof and self-important, what is their experience when meeting people?, Choices: (A) stress, (B) nervousness, (C) smile, (D) being bored, (E) making new friends. Based on what is historically known, what is the most likely answer to the question 'If someone is aloof and self-important, what is their experience when meeting people?' with options stress, nervousness, smile, being bored making new friends? Provide historical context in your rationale. 
","10. The most likely answer is **(D) being bored**. This is because if someone is aloof and self-important, it means they are distant and arrogant. Therefore, their experience when meeting people is likely to be boring, as they would not show interest or respect for others. This is a personality trait that has been observed by human behavior experts and philosophers. Stress, nervousness, smile, and making new friends are not experiences, but emotions, expressions, or outcomes that could occur when meeting people, but not likely for someone who is aloof and self-important."," is **(d) being bored**. this is because if someone is aloof and self-important, it means they are distant and arrogant. therefore, their experience when meeting people is likely to be boring, as they would not show interest or respect for others. this is a personality trait that has been observed by human behavior experts and philosophers. stress, nervousness, smile, and making new friends are not experiences, but emotions, expressions, or outcomes that could occur when meeting people, but not likely for someone who is aloof and self-important.","{'stress': 343, 'nervousness': 351, 'smile': 364, 'being bored': 10, 'making new friends': 375}",being bored,historical,2.9875746268656718,being bored,being bored,being bored,being bored,6.5249999999999995,6.5249999999999995,True,92,0.29850746268656714,7,1.0,1,easy,"if someone is aloof and self-important, what is their experience when meeting people?</s>['stress', 'nervousness', 'smile', 'being bored', 'making new friends']","if someone is aloof and self-important, what is their experience when meeting people?</s>['stress', 'nervousness', 'smile', 'being bored', 'making new friends']||10. the most likely answer is **(d) being bored**. this is because if someone is aloof and self-important, it means they are distant and arrogant. therefore, their experience when meeting people is likely to be boring, as they would not show interest or respect for others. this is a personality trait that has been observed by human behavior experts and philosophers. stress, nervousness, smile, and making new friends are not experiences, but emotions, expressions, or outcomes that could occur when meeting people, but not likely for someone who is aloof and self-important.||historical"
5,"If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?","['demolish object', 'repair', 'fix', 'create', 'construct']","Questions: If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?, Choices: (A) demolish object, (B) repair, (C) fix, (D) create, (E) construct. What is the commonly agreed-upon answer to the question 'If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?' with options demolish object, repair, fix, create construct? Justify your answer based on general knowledge. 
","6. The commonly agreed-upon answer to the question 'If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?' is **(B) repair**. This is because repair means to fix something that is broken or damaged. If something tried to destroy something but failed, then the thing that was attacked might still be salvageable and can be repaired.","6. the commonly agreed-upon answer to the question 'if something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?' is **(b) repair**. this is because repair means to fix something that is broken or damaged. if something tried to destroy something but failed, then the thing that was attacked might still be salvageable and can be repaired.

","{'repair': 184, 'fix': 226}",repair,consensus,3.0795212765957447,repair,repair,repair,repair,6.5249999999999995,6.5249999999999995,True,67,0.44680851063829785,7,1.0,1,easy,"if something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?</s>['demolish object', 'repair', 'fix', 'create', 'construct']","if something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?</s>['demolish object', 'repair', 'fix', 'create', 'construct']||6. the commonly agreed-upon answer to the question 'if something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?' is **(b) repair**. this is because repair means to fix something that is broken or damaged. if something tried to destroy something but failed, then the thing that was attacked might still be salvageable and can be repaired.||consensus"
6,If you see cars with a light blinking on the driver's side what does that indicate they will do?,"['slow down', 'go forward', 'get to town', 'turn left', 'turn right']","Questions: If you see cars with a light blinking on the driver's side what does that indicate they will do?, Choices: (A) slow down, (B) go forward, (C) get to town, (D) turn left, (E) turn right. Compare the options If you see cars with a light blinking on the driver's side what does that indicate they will do?, slow down, go forward, get to town turn left and identify the most likely answer to the question 'turn right'. Explain why your choice is better than the others.
","7. The most likely answer to the question ""If you see cars with a light blinking on the driver's side what does that indicate they will do?"" is **(D) turn left**. This is because cars have indicators or blinkers that show the direction they intend to turn. A light blinking on the driver's side means the car will turn left. Slowing down, going forward, getting to town, and turning right are not indicated by the light on the driver's side."," to the question ""if you see cars with a light blinking on the driver's side what does that indicate they will do?"" is **(d) turn left**. this is because cars have indicators or blinkers that show the direction they intend to turn. a light blinking on the driver's side means the car will turn left. slowing down, going forward, getting to town, and turning right are not indicated by the light on the driver's side.

",{'turn left': 125},turn left,comparative,3.0324999999999998,turn left,turn left,turn left,turn left,6.5249999999999995,6.5249999999999995,True,80,0.5,7,1.0,1,easy,"if you see cars with a light blinking on the driver's side what does that indicate they will do?</s>['slow down', 'go forward', 'get to town', 'turn left', 'turn right']","if you see cars with a light blinking on the driver's side what does that indicate they will do?</s>['slow down', 'go forward', 'get to town', 'turn left', 'turn right']||7. the most likely answer to the question ""if you see cars with a light blinking on the driver's side what does that indicate they will do?"" is **(d) turn left**. this is because cars have indicators or blinkers that show the direction they intend to turn. a light blinking on the driver's side means the car will turn left. slowing down, going forward, getting to town, and turning right are not indicated by the light on the driver's side.||comparative"
7,"Bob and Boris were standing in a queue at the grocery store. They were standing in place. The line was fast, but the children in front of them were loud. They were what?","['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']","Questions: Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?, Choices: (A) frustration, (B) being annoyed, (C) delays, (D) irritation, (E) out of order. For the question 'Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?', what is the correct answer among the choices frustration, being annoyed, delays, irritation out of order? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is (B) being annoyed. This is because the word loud means making or causing a lot of noise, while the word annoyed means slightly angry or irritated. Therefore, if Bob and Boris were standing in a queue at the grocery store, and the children in front of them were loud, they were being annoyed by the noise. The other choices are either incorrect or incomplete descriptions of Bob and Boris' feelings.","9. the correct answer is (b) being annoyed. this is because the word loud means making or causing a lot of noise, while the word annoyed means slightly angry or irritated. therefore, if bob and boris were standing in a queue at the grocery store, and the children in front of them were loud, they were being annoyed by the noise. the other choices are either incorrect or incomplete descriptions of bob and boris' feelings.

",{'being annoyed': 29},being annoyed,causal,3.1355612244897957,being annoyed,being annoyed,being annoyed,being annoyed,6.5249999999999995,6.5249999999999995,True,75,0.40816326530612246,7,1.0,1,easy,"bob and boris were standing in a queue at the grocery store. they were standing in place. the line was fast, but the children in front of them were loud. they were what?</s>['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']","bob and boris were standing in a queue at the grocery store. they were standing in place. the line was fast, but the children in front of them were loud. they were what?</s>['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']||9. the correct answer is (b) being annoyed. this is because the word loud means making or causing a lot of noise, while the word annoyed means slightly angry or irritated. therefore, if bob and boris were standing in a queue at the grocery store, and the children in front of them were loud, they were being annoyed by the noise. the other choices are either incorrect or incomplete descriptions of bob and boris' feelings.||causal"
8,James was delayed for a couple of hours because he had a connection. Where might his connection be?,"['company', 'airport', 'wall', 'computer network', 'love']","Questions: James was delayed for a couple of hours because he had a connection.  Where might his connection be?, Choices: (A) company, (B) airport, (C) wall, (D) computer network, (E) love. Given the question 'James was delayed for a couple of hours because he had a connection.  Where might his connection be?', which among the choices company, airport, wall, computer network love is the correct answer? Explain your reasoning using conditional statements.
","7. The correct answer is (B) airport. A possible explanation is: If James was delayed for a couple of hours because he had a connection, then his connection might be at the airport. He was delayed for a couple of hours because he had a connection. Therefore, his connection might be at the airport.","7. the correct answer is (b) airport. a possible explanation is: if james was delayed for a couple of hours because he had a connection, then his connection might be at the airport. he was delayed for a couple of hours because he had a connection. therefore, his connection might be at the airport.

",{'airport': 29},airport,if_else,3.2367857142857144,airport,airport,airport,airport,6.5249999999999995,6.5249999999999995,True,54,0.5714285714285714,7,1.0,1,easy,"james was delayed for a couple of hours because he had a connection. where might his connection be?</s>['company', 'airport', 'wall', 'computer network', 'love']","james was delayed for a couple of hours because he had a connection. where might his connection be?</s>['company', 'airport', 'wall', 'computer network', 'love']||7. the correct answer is (b) airport. a possible explanation is: if james was delayed for a couple of hours because he had a connection, then his connection might be at the airport. he was delayed for a couple of hours because he had a connection. therefore, his connection might be at the airport.||if_else"
9,"Laura and Bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. Then entire negotiation is being done with a surprising amount of what given the subject matter?","['calmness', 'compromises', 'fucking', 'anger', 'satisfaction']","Questions: Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?, Choices: (A) calmness, (B) compromises, (C) fucking, (D) anger, (E) satisfaction. What is the correct answer to the question 'Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?' with the options calmness, compromises, fucking, anger satisfaction? Provide a straightforward explanation. 
","2. The correct answer is **(A) calmness**. Laura and Bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. The entire negotiation is being done with a surprising amount of calmness given the subject matter because most people would expect such a situation to cause anger, jealousy, or resentment.","2. the correct answer is **(a) calmness**. laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. the entire negotiation is being done with a surprising amount of calmness given the subject matter because most people would expect such a situation to cause anger, jealousy, or resentment.
","{'calmness': 31, 'anger': 478}",calmness,neutral,3.140378787878788,calmness,calmness,calmness,calmness,6.5249999999999995,6.5249999999999995,True,84,0.803030303030303,7,1.0,1,easy,"laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. then entire negotiation is being done with a surprising amount of what given the subject matter?</s>['calmness', 'compromises', 'fucking', 'anger', 'satisfaction']","laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. then entire negotiation is being done with a surprising amount of what given the subject matter?</s>['calmness', 'compromises', 'fucking', 'anger', 'satisfaction']||2. the correct answer is **(a) calmness**. laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. the entire negotiation is being done with a surprising amount of calmness given the subject matter because most people would expect such a situation to cause anger, jealousy, or resentment.||neutral"
