premise,hypothesis,prompt,rationale
"She was found guilty of neglect, the judge taking away the child was a serious what?","['notice', 'taking care', 'good', 'regard', 'consideration']","Questions: She was found guilty of neglect, the judge taking away the child was a serious what?, Choices: (A) notice, (B) taking care, (C) good, (D) regard, (E) consideration. For the question 'She was found guilty of neglect, the judge taking away the child was a serious what?', among the choices notice, taking care, good, regard consideration, which is the most likely answer? Highlight what sets your choice apart from the others.
","1. The most likely answer is **(E) consideration**. This means the judge's action was a serious matter that required careful thought and attention. The other choices do not fit the context of the sentence or the meaning of the word 'serious'.
"
"She was giggling and flirting, his mustache elicited what for her?","['joyfulness', 'smile', 'getting excited', 'enthusiasm', 'sexual attraction']","Questions: She was giggling and flirting, his mustache elicited what for her?, Choices: (A) joyfulness, (B) smile, (C) getting excited, (D) enthusiasm, (E) sexual attraction. For the question 'She was giggling and flirting, his mustache elicited what for her?', among the choices joyfulness, smile, getting excited, enthusiasm sexual attraction, which is the most likely answer? Highlight what sets your choice apart from the others.
","2. The most likely answer is **(E) sexual attraction**. This means his mustache made her feel a strong physical or emotional desire for him. The other choices are too vague or general to describe what his mustache elicited for her.
"
"She was going to barbecue some kangaroo meat while camping in the outback, where was she?","['retail store', 'detroit', 'wyoming', 'australia', 'michigan park']","Questions: She was going to barbecue some kangaroo meat while camping in the outback, where was she?, Choices: (A) retail store, (B) detroit, (C) wyoming, (D) australia, (E) michigan park. For the question 'She was going to barbecue some kangaroo meat while camping in the outback, where was she?', among the choices retail store, detroit, wyoming, australia michigan park, which is the most likely answer? Highlight what sets your choice apart from the others.
","3. The most likely answer is **(D) Australia**. This is because kangaroo meat is a common food in Australia, and the outback is a term for the remote and arid areas of the country. The other choices are not related to kangaroos or the outback.
"
"THe apiarist bought a new queen, where was the queen bound?","['england', 'beehive', 'farmyard', 'monarchy', 'deck of cards']","Questions: THe apiarist bought a new queen, where was the queen bound?, Choices: (A) england, (B) beehive, (C) farmyard, (D) monarchy, (E) deck of cards. For the question 'THe apiarist bought a new queen, where was the queen bound?', among the choices england, beehive, farmyard, monarchy deck of cards, which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **(B) beehive**. This is because an apiarist is a person who keeps bees, and a queen is a female bee that lays eggs and controls the colony. The other choices are not places where a bee would go.
"
"Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?","['dry mouth', 'changing behavior', 'hurt feelings', 'communicating with others', 'anger']","Questions: Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?, Choices: (A) dry mouth, (B) changing behavior, (C) hurt feelings, (D) communicating with others, (E) anger. For the question 'Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?', among the choices dry mouth, changing behavior, hurt feelings, communicating with others anger, which is the most likely answer? Highlight what sets your choice apart from the others.
","5. The most likely answer is **(C) hurt feelings**. This means the people you talk to can make you feel sad, angry, or offended by their words or actions. The other choices are not directly caused by mean people, or are not specific enough to describe the effect of mean people.
"
"Teachers play many roles such as babysitter, but they get the most out of just simply doing what?","['answering questions', 'teach children', 'writing', 'talk too much', 'open boxes']","Questions: Teachers play many roles such as babysitter, but they get the most out of just simply doing what?, Choices: (A) answering questions, (B) teach children, (C) writing, (D) talk too much, (E) open boxes. For the question 'Teachers play many roles such as babysitter, but they get the most out of just simply doing what?', among the choices answering questions, teach children, writing, talk too much open boxes, which is the most likely answer? Highlight what sets your choice apart from the others.
","6. The most likely answer is **(B) teach children**. This is because teachers are professionals who educate and instruct students in various subjects and skills. The other choices are not the main purpose or function of teachers, or are not related to teaching.
"
"Terrorism is a nasty thing, though cause by a few it can lead to all out what?","['detonating bombs', 'help victims', 'death', 'sadness', 'war']","Questions: Terrorism is a nasty thing, though cause by a few it can lead to all out what?, Choices: (A) detonating bombs, (B) help victims, (C) death, (D) sadness, (E) war. For the question 'Terrorism is a nasty thing, though cause by a few it can lead to all out what?', among the choices detonating bombs, help victims, death, sadness war, which is the most likely answer? Highlight what sets your choice apart from the others.
","7. The most likely answer is **(E) war**. This means terrorism can lead to a state of armed conflict between countries or groups. The other choices are not the result of terrorism, or are not as severe or widespread as war.
"
"Texas has a very long shoreline, but it isn't the longest of the nearby whats?","['gulf states', 'united states', 'rivers', 'southwest', 'texoma']","Questions: Texas has a very long shoreline, but it isn't the longest of the nearby whats?, Choices: (A) gulf states, (B) united states, (C) rivers, (D) southwest, (E) texoma. For the question 'Texas has a very long shoreline, but it isn't the longest of the nearby whats?', among the choices gulf states, united states, rivers, southwest texoma, which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is **(A) gulf states**. This means Texas has a very long shoreline along the Gulf of Mexico, but it is not the longest among the states that border the gulf. The other choices are not relevant to the question, or are not nearby Texas.
"
"The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?","['main course', 'prince edward island', 'ireland', 'french fries', 'idaho']","Questions: The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?, Choices: (A) main course, (B) prince edward island, (C) ireland, (D) french fries, (E) idaho. For the question 'The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?', among the choices main course, prince edward island, ireland, french fries idaho, which is the most likely answer? Highlight what sets your choice apart from the others.
","9. The most likely answer is **(B) Prince Edward Island**. This is because Prince Edward Island is a province of Canada that is known for its potato production and exports. The other choices are not locations in Canada, or are not related to potatoes.
"
"The Canadian was travelling, he visited where in the southwest?","['canada', 'texas', 'peru', 'oklahoma', 'new mexico']","Questions: The Canadian was travelling, he visited where in the southwest?, Choices: (A) canada, (B) texas, (C) peru, (D) oklahoma, (E) new mexico. For the question 'The Canadian was travelling, he visited where in the southwest?', among the choices canada, texas, peru, oklahoma new mexico, which is the most likely answer? Highlight what sets your choice apart from the others.
","10. The most likely answer is **(E) New Mexico**. This is because New Mexico is a state in the southwest region of the United States, and it is a popular destination for travelers. The other choices are not in the southwest, or are not countries or states."
"The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?","['drive in movie', 'monitor', 'movies', 'home', 'theatre']","Questions: The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?, Choices: (A) drive in movie, (B) monitor, (C) movies, (D) home, (E) theatre. For the question 'The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?', among the choices drive in movie, monitor, movies, home theatre, which is the most likely answer? Highlight what sets your choice apart from the others.
","1. The most likely answer is **(E) theatre**. An IMAX screen is a type of cinema screen that is much larger and more immersive than a regular screen. A theatre is a place where people watch movies on a screen. The other choices are not related to the size of the screen or the feeling of being outdoors.

"
"The Mississippi is a very large river, it is the largest in the North American what?","['wilderness', 'country', 'city', 'bridge', 'continent']","Questions: The Mississippi is a very large river, it is the largest in the North American what?, Choices: (A) wilderness, (B) country, (C) city, (D) bridge, (E) continent. For the question 'The Mississippi is a very large river, it is the largest in the North American what?', among the choices wilderness, country, city, bridge continent, which is the most likely answer? Highlight what sets your choice apart from the others.
","2. The most likely answer is **(E) continent**. A continent is a large landmass that contains many countries and regions. North America is one of the seven continents in the world. The Mississippi River is the largest river in North America by length and volume. The other choices are not large enough to contain the Mississippi River or are not geographical terms.

"
"The Mormon owned steak house was always busy, it was a great place to visit where?","['utah', 'nebraska', 'the sun', 'new york', 'strip mall']","Questions: The Mormon owned steak house was always busy, it was a great place to visit where?, Choices: (A) utah, (B) nebraska, (C) the sun, (D) new york, (E) strip mall. For the question 'The Mormon owned steak house was always busy, it was a great place to visit where?', among the choices utah, nebraska, the sun, new york strip mall, which is the most likely answer? Highlight what sets your choice apart from the others.
","3. The most likely answer is **(A) utah**. Utah is a state in the United States that has a large population of Mormons, a religious group that follows the teachings of Joseph Smith. A steak house is a restaurant that specializes in serving steaks and other meat dishes. The other choices are not known for having a high concentration of Mormons or steak houses.

"
"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?","['car', 'fuel system', 'accelerate', 'boat', 'airplane']","Questions: The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?, Choices: (A) car, (B) fuel system, (C) accelerate, (D) boat, (E) airplane. For the question 'The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?', among the choices car, fuel system, accelerate, boat airplane, which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **(E) airplane**. An airplane is a vehicle that flies in the air using wings and engines. The accelerator is a device that controls the speed of the engine, and the foot pedals are used to steer the airplane by moving the rudder. The other choices are not vehicles that fly in the air or have the same controls.

"
"Before buying a house, what should I look for concerning my job?","['make home', 'security', 'measureing distances', 'examining poorch', 'make money']","Questions: Before buying a house, what should I look for concerning my job?, Choices: (A) make home, (B) security, (C) measureing distances, (D) examining poorch, (E) make money. For the question 'Before buying a house, what should I look for concerning my job?', among the choices make home, security, measureing distances, examining poorch make money, which is the most likely answer? Highlight what sets your choice apart from the others.
","5. The most likely answer is **(C) measureing distances**. Before buying a house, one should look for how far it is from their job, as this will affect their commute time and transportation costs. Measuring distances is a way of finding out how far two places are from each other. The other choices are not related to the job or the house.

"
"Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much what?","['stammering', 'maundering', 'speechless', 'talking', 'tongueless']","Questions: Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much what?, Choices: (A) stammering, (B) maundering, (C) speechless, (D) talking, (E) tongueless. For the question 'Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much what?', among the choices stammering, maundering, speechless, talking tongueless, which is the most likely answer? Highlight what sets your choice apart from the others.
","6. The most likely answer is **(A) stammering**. Stammering is a speech disorder that causes involuntary repetitions, pauses, or blocks in speaking. Ben had difficulty reading the words on the teleprompter, which is a device that displays the text of a speech or script for the speaker to read. This made him stammer more than usual. The other choices are not speech disorders or do not describe what Ben did.

"
"Bess told Sam to move, but he refused. He said that he was doing what?","['stationary', 'staying put', 'sitting down', 'lay still', 'be still']","Questions: Bess told Sam to move, but he refused. He said that he was doing what?, Choices: (A) stationary, (B) staying put, (C) sitting down, (D) lay still, (E) be still. For the question 'Bess told Sam to move, but he refused. He said that he was doing what?', among the choices stationary, staying put, sitting down, lay still be still, which is the most likely answer? Highlight what sets your choice apart from the others.
","7. The most likely answer is **(B) staying put**. Staying put means remaining in the same place or position and not moving. Bess told Sam to move, but he refused. He said that he was staying put, meaning that he did not want to change his location. The other choices are not synonyms of staying put or do not fit the context.

"
"Betty felt that being in love was vital and important, necessary to do what?","['propose to woman', 'kiss', 'propose to woman', 'live life', 'sing']","Questions: Betty felt that being in love was vital and important, necessary to do what?, Choices: (A) propose to woman, (B) kiss, (C) propose to woman, (D) live life, (E) sing. For the question 'Betty felt that being in love was vital and important, necessary to do what?', among the choices propose to woman, kiss, propose to woman, live life sing, which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is **(D) live life**. Living life means enjoying and experiencing the various aspects of life, such as relationships, hobbies, work, etc. Betty felt that being in love was vital and important, necessary to live life fully and happily. The other choices are not general enough to describe what Betty felt or are not related to being in love.

"
"Bill did not abandon the fight, but did what to the enemy?","['arrogate', 'retain', 'embrace', 'smile', 'engage']","Questions: Bill did not abandon the fight, but did what to the enemy?, Choices: (A) arrogate, (B) retain, (C) embrace, (D) smile, (E) engage. For the question 'Bill did not abandon the fight, but did what to the enemy?', among the choices arrogate, retain, embrace, smile engage, which is the most likely answer? Highlight what sets your choice apart from the others.
","9. The most likely answer is **(E) engage**. Engaging means participating or becoming involved in something, such as a fight or a conversation. Bill did not abandon the fight, but did the opposite. He engaged the enemy, meaning that he confronted and attacked them. The other choices are not antonyms of abandoning or do not make sense in the context of a fight.

"
"Bill has a desire to learn, but doesn't personally know any teacher, where should he go?","['memorize', 'understand better', 'attend school', 'read book', 'church']","Questions: Bill has a desire to learn, but doesn't personally know any teacher, where should he go?, Choices: (A) memorize, (B) understand better, (C) attend school, (D) read book, (E) church. For the question 'Bill has a desire to learn, but doesn't personally know any teacher, where should he go?', among the choices memorize, understand better, attend school, read book church, which is the most likely answer? Highlight what sets your choice apart from the others.
","10. The most likely answer is **(C) attend school**. Attending school means going to an educational institution where teachers and students interact and learn from each other. Bill has a desire to learn, but does not personally know any teacher. The best way for him to find a teacher and learn new things is to attend school. The other choices are not places where teachers are usually found or are not effective ways of learning."
"Bill is in a large marsh in Florida, where is he?","['forest', 'low lands', 'louisiana', 'everglades', 'marsh']","Questions: Bill is in a large marsh in Florida, where is he?, Choices: (A) forest, (B) low lands, (C) louisiana, (D) everglades, (E) marsh. For the question 'Bill is in a large marsh in Florida, where is he?', among the choices forest, low lands, louisiana, everglades marsh, which is the most likely answer? Highlight what sets your choice apart from the others.
",1. The most likely answer is **(D) everglades**. The Everglades are a large marshy region in Florida that cover about 
