prompt,gpt_answer
"
Questions: A John is a bum.  Much like the stereotype, he lives near this sort of transportation infrastructure. Where does he live? 

Answers: (A) bus depot, (B) beach, (C) train station, (D) bridge, (E) bridge Given the question 'A John is a bum.  Much like the stereotype, he lives near this sort of transportation infrastructure. Where does he live?', which among the choices bus depot, beach, train station, bridge bridge, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A bad person places little value on being honest, acting without pretense or being what? 

Answers: (A) excellent, (B) upright, (C) premium, (D) competent, (E) sincere Given the question 'A bad person places little value on being honest, acting without pretense or being what?', which among the choices excellent, upright, premium, competent sincere, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A battleship is a powerful vessel.  If you need something similar but faster, what would you use? 

Answers: (A) yatch, (B) corvette, (C) aircraft carrier, (D) destroyer, (E) patrol boat Given the question 'A battleship is a powerful vessel.  If you need something similar but faster, what would you use?', which among the choices yatch, corvette, aircraft carrier, destroyer patrol boat, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A bug was looking for wildflowers and no human interruption, where did he go? 

Answers: (A) garden, (B) meadow, (C) bug zapper, (D) rug, (E) rock Given the question 'A bug was looking for wildflowers and no human interruption, where did he go?', which among the choices garden, meadow, bug zapper, rug rock, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A car was going from Florida to Ohio, what was it doing? 

Answers: (A) roll over, (B) head north, (C) flying, (D) speed up, (E) heading north Given the question 'A car was going from Florida to Ohio, what was it doing?', which among the choices roll over, head north, flying, speed up heading north, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A cat can't talk, but a cat can what? 

Answers: (A) sleep all day, (B) meow, (C) shed fur, (D) see king, (E) live many years Given the question 'A cat can't talk, but a cat can what?', which among the choices sleep all day, meow, shed fur, see king live many years, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A cat is wandering outside, where is likely to be found? 

Answers: (A) floor, (B) residential area, (C) bed, (D) comfortable position, (E) family room Given the question 'A cat is wandering outside, where is likely to be found?', which among the choices floor, residential area, bed, comfortable position family room, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A child is in a meadow in spring, what might the child do? 

Answers: (A) clean room, (B) set table, (C) play with toys, (D) form opinions, (E) gather flowers Given the question 'A child is in a meadow in spring, what might the child do?', which among the choices clean room, set table, play with toys, form opinions gather flowers, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A common saying, Sam thought, was to go forth, also this. 

Answers: (A) reverse, (B) backwards, (C) back and, (D) back and, (E) tally back Given the question 'A common saying, Sam thought, was to go forth, also this.', which among the choices reverse, backwards, back and, back and tally back, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A computer can process information and even choose, but it can't do what? 

Answers: (A) run programs, (B) make decisions, (C) believe in god, (D) brain, (E) receive data Given the question 'A computer can process information and even choose, but it can't do what?', which among the choices run programs, make decisions, believe in god, brain receive data, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A condom is a form of contraceptive for a penis, meanwhile a diaphragm is one designed for a what? 

Answers: (A) drawer, (B) vagina, (C) arm, (D) health center, (E) medicine cabinet Given the question 'A condom is a form of contraceptive for a penis, meanwhile a diaphragm is one designed for a what?', which among the choices drawer, vagina, arm, health center medicine cabinet, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A continent is a large area of land, but the globe is mostly covered by an what? 

Answers: (A) ocean, (B) australia, (C) asia, (D) continent, (E) island Given the question 'A continent is a large area of land, but the globe is mostly covered by an what?', which among the choices ocean, australia, asia, continent island, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A cow farm has quite the smell, that's why they tend to be located in a remote what? 

Answers: (A) corral, (B) nursery rhyme, (C) northern california, (D) rural area, (E) barnyard Given the question 'A cow farm has quite the smell, that's why they tend to be located in a remote what?', which among the choices corral, nursery rhyme, northern california, rural area barnyard, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A cube has a top, bottom, two sides and what else? 

Answers: (A) corner, (B) in between, (C) center, (D) front back, (E) one side Given the question 'A cube has a top, bottom, two sides and what else?', which among the choices corner, in between, center, front back one side, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A day didn't go by without somebody needing a saw, that's why everybody had their own at the what? 

Answers: (A) toolbox, (B) hospital, (C) basement, (D) logging camp, (E) tool shed Given the question 'A day didn't go by without somebody needing a saw, that's why everybody had their own at the what?', which among the choices toolbox, hospital, basement, logging camp tool shed, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A detective tries to discover truth, some of the best results are from gathering witnesses and doing what? 

Answers: (A) investigate, (B) ask questions, (C) search for, (D) find facts, (E) wonder Given the question 'A detective tries to discover truth, some of the best results are from gathering witnesses and doing what?', which among the choices investigate, ask questions, search for, find facts wonder, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A disposable razor is aptly named, it ends up where? 

Answers: (A) supermarket, (B) hotel room, (C) garbage, (D) closet, (E) medicine cabinet Given the question 'A disposable razor is aptly named, it ends up where?', which among the choices supermarket, hotel room, garbage, closet medicine cabinet, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A doctor can prescribe an antibiotic in many forms, what type might have a gel coating? 

Answers: (A) cure bacterial infection, (B) medicine cabinet, (C) capsule, (D) prescribed, (E) pharmacy Given the question 'A doctor can prescribe an antibiotic in many forms, what type might have a gel coating?', which among the choices cure bacterial infection, medicine cabinet, capsule, prescribed pharmacy, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A european red fox roams in the wild, what side of the earth is it likely on? 

Answers: (A) england, (B) undergrowth, (C) northern hemisphere, (D) nantucket, (E) outer space Given the question 'A european red fox roams in the wild, what side of the earth is it likely on?', which among the choices england, undergrowth, northern hemisphere, nantucket outer space, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A fertilizer is making a flower grow, what is likely to happen next? 

Answers: (A) more of, (B) flowering, (C) leaves, (D) harvesting, (E) blooms Given the question 'A fertilizer is making a flower grow, what is likely to happen next?', which among the choices more of, flowering, leaves, harvesting blooms, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A gentleman is trying to relax, where is he likely to be able to do that? 

Answers: (A) meeting, (B) club, (C) meditation center, (D) church, (E) in bed Given the question 'A gentleman is trying to relax, where is he likely to be able to do that?', which among the choices meeting, club, meditation center, church in bed, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A gentleman is very wealthy and flaunts it, where does he likely live? 

Answers: (A) europe, (B) big house, (C) tuxedo, (D) palace, (E) men's room Given the question 'A gentleman is very wealthy and flaunts it, where does he likely live?', which among the choices europe, big house, tuxedo, palace men's room, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A homeless person asked Jim for advice.  Jim wasn't religious, but he told the person something that he remembered.  What might he have told the person? 

Answers: (A) hospital, (B) street corner, (C) synagogue, (D) fairy tale, (E) advice Given the question 'A homeless person asked Jim for advice.  Jim wasn't religious, but he told the person something that he remembered.  What might he have told the person?', which among the choices hospital, street corner, synagogue, fairy tale advice, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A kid is studying new words at home in the kitchen, where could a dictionary be? 

Answers: (A) library, (B) table, (C) bookstore, (D) shelf, (E) classroom Given the question 'A kid is studying new words at home in the kitchen, where could a dictionary be?', which among the choices library, table, bookstore, shelf classroom, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A koala was far from home, across the ocean from Australia, in a country that also spoke English. Where might it have been? 

Answers: (A) gum tree, (B) england, (C) great outdoors, (D) jungle, (E) san diego zoo Given the question 'A koala was far from home, across the ocean from Australia, in a country that also spoke English. Where might it have been?', which among the choices gum tree, england, great outdoors, jungle san diego zoo, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A lawyer is taking care of proposals, what are they trying to do? 

Answers: (A) paperwork, (B) getting work done, (C) results, (D) finishing up, (E) marriage Given the question 'A lawyer is taking care of proposals, what are they trying to do?', which among the choices paperwork, getting work done, results, finishing up marriage, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A lonely man committed suicide, why would he do that? 

Answers: (A) suffering, (B) he was happy, (C) avoid problems, (D) unhappy, (E) end pain Given the question 'A lonely man committed suicide, why would he do that?', which among the choices suffering, he was happy, avoid problems, unhappy end pain, is the correct answer? Explain your reasoning using conditional statements.

",A
