	question	choices	answer	rationales
0	"There are 10 apples on an apple tree.  Three fall off.  Now there are X apples."  What is this an example of?	['park', 'coloring book', 'garden center', 'math problem', 'gravity']	math problem	1. Most likely answer: (D) math problem This is the most likely answer because the question involves a numerical situation where apples are being subtracted from the total count on the tree. This aligns with the concept of a math problem.
1	A John is a bum.  Much like the stereotype, he lives near this sort of transportation infrastructure. Where does he live?	['bus depot', 'beach', 'train station', 'bridge', 'bridge']	bridge	2. Most likely answer: (A) bus depot This is the most likely answer because the question describes a person living near a transportation facility associated with bums or homeless individuals. The bus depot is a common location where homeless people may seek shelter.
2	A bad person places little value on being honest, acting without pretense or being what?	['excellent', 'upright', 'premium', 'competent', 'sincere']	sincere	3. Most likely answer: (B) upright This is the most likely answer because the question asks for a word that describes a quality that a bad person does not place value on. Being upright means acting with moral integrity and honesty, which contrasts with the behavior of a bad person.
3	A bald eagle flies over St. Paul, where is it?	['texas', 'thermal', 'minnesota', 'canada', 'photograph']	minnesota	4.  Most likely answer: (C) minnesota This is the most likely answer because the question mentions St. Paul, which is the capital city of Minnesota. Therefore, it is most logical to assume that the location of the bald eagle is in Minnesota.
4	A battleship is a powerful vessel.  If you need something similar but faster, what would you use?	['yatch', 'corvette', 'aircraft carrier', 'destroyer', 'patrol boat']	corvette	5.  Most likely answer: (D) destroyer This is the most likely answer because the question asks for a vessel similar to a battleship but faster. Among the given choices, a destroyer is a type of warship that is smaller, faster, and more maneuverable than a battleship.
5	A beaver is taking logs from a Pacific beach, where is it located?	['washington', 'ontario', 'books', 'canada', 'in russia']	washington	6.  Most likely answer: (D) canada This is the most likely answer because the question mentions a beaver taking logs from a Pacific beach. Canada is known for its beaver population and has Pacific coastal regions where beavers can be found.
6	A big fountain was the center piece of the renovation, it had all been paid for by a grant to the what?	['city', 'state', 'front of casino', 'rome', 'public place']	city	7.  Most likely answer: (A) city This is the most likely answer because the question asks about a big fountain that was paid for by a grant. It is common for grants to be given to cities for public projects, such as renovations and beautification initiatives.
7	A boss may like an employee's ambition, so the employee may get put what?	['in charge of project', 'conquer opponent', 'go to school', 'begin work', 'webisode']	in charge of project	8.  Most likely answer: (A) in charge of project This is the most likely answer because the question involves a boss liking an employee's ambition and potentially rewarding them. Being put in charge of a project is a common way for an ambitious employee to be recognized and given more responsibility.
8	A boy is leaving line because he's tired of listening to the teacher's orders, what might the teacher give?	['punishment', 'utter chaos', 'trouble', 'have to start over', 'high five']	punishment	9.  Most likely answer: (A) punishment This is the most likely answer because the question describes a boy leaving line without following the teacher's orders. In this context, it is likely that the teacher would give some form of disciplinary action, such as punishment.
9	A bride and groom are taking care of proposals, what is the likely ceremony?	['efficiency', 'getting work done', 'marriage', 'finishing up', 'results']	marriage	10.  Most likely answer: (C) marriage This is the most likely answer because the question mentions a bride and groom taking care of proposals. The most likely ceremony that involves a bride and groom and proposals is a marriage ceremony.
10	A bug was looking for wildflowers and no human interruption, where did he go?	['garden', 'meadow', 'bug zapper', 'rug', 'rock']	meadow	1. The most likely answer is (B) meadow because bugs are typically found in natural outdoor environments like meadows where wildflowers grow. The other choices (garden, bug zapper, rug, rock) are not suitable environments for wildflowers or bug habitats.
11	A car was going from Florida to Ohio, what was it doing?	['roll over', 'head north', 'flying', 'speed up', 'heading north']	heading north	2. The most likely answer is (B) head north because if a car is traveling from Florida to Ohio, it would need to head north in order to reach its destination. The other choices (roll over, flying, speed up, heading north) are either unrelated or redundant.
12	A cat can't talk, but a cat can what?	['sleep all day', 'meow', 'shed fur', 'see king', 'live many years']	meow	3. The most likely answer is (B) meow because even though cats cannot talk in the same way humans do, they communicate using vocalizations like meowing. The other choices (sleep all day, shed fur, see king, live many years) are either unrelated or do not specifically pertain to cat behavior.
13	A cat is wandering outside, where is likely to be found?	['floor', 'residential area', 'bed', 'comfortable position', 'family room']	residential area	4. The most likely answer is (B) residential area because if a cat is wandering outside, it is likely to be found in a neighborhood or residential area where there are houses and human activity. The other choices (floor, bed, comfortable position, family room) are either indoors or not specific to outdoor locations.
14	A cat wants to sleep, how will it lay?	['comfortable position', 'floor', 'residential area', 'family room', 'upside down']	comfortable position	5. The most likely answer is (A) comfortable position because when a cat wants to sleep, it will typically find a comfortable spot or position to lie down in. The other choices (floor, residential area, family room, upside down) do not necessarily pertain to how a cat would lay when sleeping.
15	A child is in a meadow in spring, what might the child do?	['clean room', 'set table', 'play with toys', 'form opinions', 'gather flowers']	gather flowers	6. The most likely answer is (E) gather flowers because if a child is in a meadow in spring, they might engage in activities like picking or gathering flowers. The other choices (clean room, set table, play with toys, form opinions) are either unrelated or not specific to being in a meadow.
16	A colorful pebble falls on a goldfish, where is the pebble?	['aquarium', 'creek', 'pet store', 'playground', 'pond']	aquarium	7. The most likely answer is (E) pond because if a colorful pebble falls on a goldfish, it is likely to be in a pond where the goldfish is swimming. The other choices (aquarium, creek, pet store, playground) are either unrelated or less likely environments for a goldfish.
17	A common saying, Sam thought, was to go forth, also this.	['reverse', 'backwards', 'back and', 'back and', 'tally back']	back and	8. The most likely answer is (C) back and because the phrase "to go forth, also this" suggests the idea of moving forward but also looking back or reflecting. The other choices (reverse, backwards, back and tally back) are either redundant or do not capture the intended meaning of the phrase.
18	A computer can process information and even choose, but it can't do what?	['run programs', 'make decisions', 'believe in god', 'brain', 'receive data']	believe in god	9. The most likely answer is (C) believe in god because while a computer can process information and make decisions, it does not possess beliefs or religious convictions. The other choices (run programs, make decisions, brain, receive data) are either tasks or functions that computers can perform.
19	A condom is a form of contraceptive for a penis, meanwhile a diaphragm is one designed for a what?	['drawer', 'vagina', 'arm', 'health center', 'medicine cabinet']	vagina	10. The most likely answer is (B) vagina because a diaphragm is a form of contraceptive designed for use in the vagina. The other choices (drawer, arm, health center, medicine cabinet) are unrelated or inappropriate locations for contraceptive devices.
20	A continent is a large area of land, but the globe is mostly covered by an what?	['ocean', 'australia', 'asia', 'continent', 'island']	ocean	1. The most likely answer is (A) ocean because the question states that the globe is mostly covered by it.
21	A cow farm has quite the smell, that's why they tend to be located in a remote what?	['corral', 'nursery rhyme', 'northern california', 'rural area', 'barnyard']	rural area	2. The most likely answer is (D) rural area because the question mentions that cow farms tend to be located in remote areas.
