|premise|hypothesis|rationales
0|A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.|A man is hanging off of a clothesline.|"1. The most likely answer is ""contradiction"". The premise describes a man standing on a platform in front of a large black cylinder device and fabric on a clothesline, while the hypothesis suggests that the man is hanging off of a clothesline. These two statements contradict each other because the premise does not mention anything about the man being on a clothesline."
1|Two girls wearing skirts like the flag of Great Britain.|a couple want to eat a flag.|"2. The most likely answer is ""neutral"". The premise describes two girls wearing skirts like the flag of Great Britain, while the hypothesis suggests that a couple wants to eat a flag. These two statements are unrelated and do not contradict each other, but they also do not provide any evidence to support each other."
2|Dog leaps from water while woman kneels on the dock playing with him|A woman and dog sit on a dock together.|"3. The most likely answer is ""entailment"". The premise describes a dog leaping from water while a woman kneels on the dock playing with him, while the hypothesis suggests that a woman and dog sit on a dock together. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
3|A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.|The clothed man is cleaning the carpet|"4. The most likely answer is ""entailment"". The premise describes a bald man in an orange shirt and jeans vacuuming an office carpet with a carry-along canister vacuum, while the hypothesis suggests that the clothed man is cleaning the carpet. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
4|A boy stands beside a railing at a go kart track.|The boy is going to ride a go kart.|"5. The most likely answer is ""entailment"". The premise describes a boy standing beside a railing at a go kart track, while the hypothesis suggests that the boy is going to ride a go kart. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
5|A street performer playing banjo on a city street.|a person playing an instrument in the street|"6. The most likely answer is ""entailment"". The premise describes a street performer playing banjo on a city street, while the hypothesis suggests that a person is playing an instrument in the street. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
6|Group of blue shirted people.|A group of people.|"7. The most likely answer is ""entailment"". The premise describes a group of blue shirted people, while the hypothesis suggests that a group of people. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
7|A woman dressed in all white in a crosswalk.|A woman in a all white in a crosswalk.|"8. The most likely answer is ""entailment"". The premise describes a woman dressed in all white in a crosswalk, while the hypothesis suggests that a woman is in all white in a crosswalk. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
8|Behind the fence spectators are looking at the golfer with the club in his hand.|The people are watching the golfer.|"9. The most likely answer is ""entailment"". The premise describes spectators looking at the golfer with the club in his hand from behind the fence, while the hypothesis suggests that the people are watching the golfer. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
9|The man and one of the women have their hands raised.|The man and one of the women have their hands raised to answer a question.|"10. The most likely answer is ""entailment"". The premise describes the man and one of the women having their hands raised, while the hypothesis suggests that they have their hands raised to answer a question. The premise provides evidence that supports the hypothesis, indicating that the two statements are likely entailing each other."
