,index,premise,hypothesis,LLM_answer,rationale
0,0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,neutral,"The person could be training his horse for a competition, but it is not necessarily the case."
1,1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.",contradiction,The person on the horse is not at the diner.
2,2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.",entailment,The person is outdoors because the airplane is broken down.
3,3,Children smiling and waving at camera,They are smiling at their parents,neutral,"They are smiling at the camera, not their parents."
4,4,Children smiling and waving at camera,There are children present,entailment,The children are present because they are smiling and waving at the camera.
5,5,Children smiling and waving at camera,The kids are frowning,contradiction,The kids are smiling and waving at the camera.
6,6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,contradiction,"The boy is jumping on a skateboard, not skating down the sidewalk."
7,7,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,entailment,"The boy is jumping on a skateboard, which is a skateboarding trick."
8,8,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,contradiction,The boy is not wearing safety equipment.
9,9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,neutral,The man is not necessarily waiting for his daughter to get off work.
10,10,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,contradiction,The man is not a boy. The man is not flipping a burger.
11,11,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An elderly man sits in a small shop.,neutral,An older man is not necessarily an elderly man.
12,12,Two blond women are hugging one another.,Some women are hugging on vacation.,neutral,The women are not necessarily on vacation.
13,13,Two blond women are hugging one another.,The women are sleeping.,contradiction,"The women are hugging, not sleeping."
14,14,Two blond women are hugging one another.,There are women showing affection.,entailment,The women are showing affection by hugging one another.
15,15,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,neutral,The people are not necessarily eating omelettes.
16,16,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,contradiction,"The people are sitting at tables in a restaurant, not desks in school."
17,17,"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,entailment,"The people are in a restaurant setting, so they are diners."
18,18,An older man is drinking orange juice at a restaurant.,A man is drinking juice.,entailment,Orange juice is a type of juice.
19,19,An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,neutral,The older man is not the two women.
20,20,An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,neutral,"The man could be waiting for his meal to arrive, but he could also be waiting for his check."
21,21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,entailment,The man is blond and is getting a drink of water from a fountain.
22,22,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,contradiction,"The man is not wearing a brown shirt, he is drinking out of a public water fountain."
23,23,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,entailment,The man is blond and he is drinking water from a fountain.
24,24,Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,contradiction,"The women are hugging and saying goodbye, not scowling at each other."
25,25,Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,entailment,There are two women in the picture.
26,26,Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.",neutral,"The friends could have met for the first time in 20 years, but they could have had a terrible time catching up."
27,27,"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",entailment,"The two women are hugging, and they are holding food carryout containers."
28,28,"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,contradiction,"The two women are hugging, not flipping each other off."
29,29,"Two women, holding food carryout containers, hug.",Two women hug each other.,entailment,The two women are hugging each other.
30,30,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,neutral,"The team is trying to catch a runner, not necessarily the winning out."
