,premise,hypothesis,label,llm_label,rationale,input
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,neutral,neutral,"The person could be training his horse for a competition, but it is not necessarily the case.",A person on a horse jumps over a broken down airplane.</s>A person is training his horse for a competition.
1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.",contradiction,contradiction,The person on the horse is not at the diner.,"A person on a horse jumps over a broken down airplane.</s>A person is at a diner, ordering an omelette."
2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.",entailment,entailment,The person is outdoors because the airplane is broken down.,"A person on a horse jumps over a broken down airplane.</s>A person is outdoors, on a horse."
3,Children smiling and waving at camera,They are smiling at their parents,neutral,neutral,"They are smiling at the camera, not their parents.",Children smiling and waving at camera</s>They are smiling at their parents
4,Children smiling and waving at camera,There are children present,entailment,entailment,The children are present because they are smiling and waving at the camera.,Children smiling and waving at camera</s>There are children present
5,Children smiling and waving at camera,The kids are frowning,contradiction,contradiction,The kids are smiling and waving at the camera.,Children smiling and waving at camera</s>The kids are frowning
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,contradiction,contradiction,"The boy is jumping on a skateboard, not skating down the sidewalk.",A boy is jumping on skateboard in the middle of a red bridge.</s>The boy skates down the sidewalk.
7,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,entailment,entailment,"The boy is jumping on a skateboard, which is a skateboarding trick.",A boy is jumping on skateboard in the middle of a red bridge.</s>The boy does a skateboarding trick.
8,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,neutral,contradiction,The boy is not wearing safety equipment.,A boy is jumping on skateboard in the middle of a red bridge.</s>The boy is wearing safety equipment.
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,neutral,neutral,The man is not necessarily waiting for his daughter to get off work.,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.</s>An older man drinks his juice as he waits for his daughter to get off work.
10,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,contradiction,contradiction,The man is not a boy. The man is not flipping a burger.,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.</s>A boy flips a burger.
11,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An elderly man sits in a small shop.,neutral,neutral,An older man is not necessarily an elderly man.,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.</s>An elderly man sits in a small shop.
12,Two blond women are hugging one another.,Some women are hugging on vacation.,neutral,neutral,The women are not necessarily on vacation.,Two blond women are hugging one another.</s>Some women are hugging on vacation.
13,Two blond women are hugging one another.,The women are sleeping.,contradiction,contradiction,"The women are hugging, not sleeping.",Two blond women are hugging one another.</s>The women are sleeping.
14,Two blond women are hugging one another.,There are women showing affection.,entailment,entailment,The women are showing affection by hugging one another.,Two blond women are hugging one another.</s>There are women showing affection.
15,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,neutral,neutral,The people are not necessarily eating omelettes.,"A few people in a restaurant setting, one of them is drinking orange juice.</s>The people are eating omelettes."
16,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,contradiction,contradiction,"The people are sitting at tables in a restaurant, not desks in school.","A few people in a restaurant setting, one of them is drinking orange juice.</s>The people are sitting at desks in school."
17,"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,entailment,entailment,"The people are in a restaurant setting, so they are diners.","A few people in a restaurant setting, one of them is drinking orange juice.</s>The diners are at a restaurant."
18,An older man is drinking orange juice at a restaurant.,A man is drinking juice.,entailment,entailment,Orange juice is a type of juice.,An older man is drinking orange juice at a restaurant.</s>A man is drinking juice.
19,An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,contradiction,neutral,The older man is not the two women.,An older man is drinking orange juice at a restaurant.</s>Two women are at a restaurant drinking wine.
20,An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,neutral,neutral,"The man could be waiting for his meal to arrive, but he could also be waiting for his check.",An older man is drinking orange juice at a restaurant.</s>A man in a restaurant is waiting for his meal to arrive.
21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,neutral,entailment,The man is blond and is getting a drink of water from a fountain.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man getting a drink of water from a fountain in the park."
22,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,contradiction,contradiction,"The man is not wearing a brown shirt, he is drinking out of a public water fountain.","A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man wearing a brown shirt is reading a book on a bench in the park"
23,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,entailment,entailment,The man is blond and he is drinking water from a fountain.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man drinking water from a fountain."
24,Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,contradiction,contradiction,"The women are hugging and saying goodbye, not scowling at each other.",Two women who just had lunch hugging and saying goodbye.</s>The friends scowl at each other over a full dinner table.
25,Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,entailment,entailment,There are two women in the picture.,Two women who just had lunch hugging and saying goodbye.</s>There are two woman in this picture.
26,Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.",neutral,neutral,"The friends could have met for the first time in 20 years, but they could have had a terrible time catching up.","Two women who just had lunch hugging and saying goodbye.</s>The friends have just met for the first time in 20 years, and have had a great time catching up."
27,"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",neutral,entailment,"The two women are hugging, and they are holding food carryout containers.","Two women, holding food carryout containers, hug.</s>The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags."
28,"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,contradiction,contradiction,"The two women are hugging, not flipping each other off.","Two women, holding food carryout containers, hug.</s>Two groups of rival gang members flipped each other off."
29,"Two women, holding food carryout containers, hug.",Two women hug each other.,entailment,entailment,The two women are hugging each other.,"Two women, holding food carryout containers, hug.</s>Two women hug each other."
30,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,neutral,neutral,"The team is trying to catch a runner, not necessarily the winning out.",A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is trying to score the games winning out.
31,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,entailment,entailment,A Little League team is a team. A runner is a runner. A base is a base. An afternoon game is a game.,A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is trying to tag a runner out.
32,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,contradiction,neutral,"The team is playing baseball, but it is not specified where.",A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is playing baseball on Saturn.
33,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,contradiction,neutral,A school can host a basketball game without having a special event.,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>A school hosts a basketball game.
34,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,neutral,entailment,The school is hosting an event.,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>A high school is hosting an event.
35,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,entailment,entailment,The school is hosting an event.,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>A school is hosting an event.
36,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,contradiction,contradiction,High fashion ladies care about what clothes they wear.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>The women do not care what clothes they wear.
37,High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,entailment,entailment,High fashion ladies are women.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>Women are waiting by a tram.
38,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,neutral,entailment,The women are wearing high fashion clothes.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>The women enjoy having a good fashion sense.
39,"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.",neutral,neutral,The man and woman could be the child's grandparents.,"A man, woman, and child enjoying themselves on a beach.</s>A child with mom and dad, on summer vacation at the beach."
40,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,entailment,neutral,"The man, woman, and child could be friends.","A man, woman, and child enjoying themselves on a beach.</s>A family of three is at the beach."
