Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio
0,Two people jousting with lances and shields on horses while people watch from under a tent and outside of the tent.,People are on horses fighting with each other in front of spectators.,"Premise: Two people jousting with lances and shields on horses while people watch from under a tent and outside of the tent., Hypothesis: People are on horses fighting with each other in front of spectators.. For the premise 'Two people jousting with lances and shields on horses while people watch from under a tent and outside of the tent.' and hypothesis People are on horses fighting with each other in front of spectators., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is **entailment**. The hypothesis is entailed by the premise. The premise states that two people are jousting with lances and shields on horses while people watch from under a tent and outside of the tent, which implies that people are on horses fighting with each other in front of spectators. Therefore, the hypothesis is necessarily true based on the premise.","10. the correct answer is **entailment**. the hypothesis is entailed by the premise. the premise states that two people are jousting with lances and shields on horses while people watch from under a tent and outside of the tent, which implies that people are on horses fighting with each other in front of spectators. therefore, the hypothesis is necessarily true based on the premise.","{'entailment': 28, 'entailed': 60}",entailment,causal,18.570463,entailment,entailment,entailment,entailment,6.51,6.51,True,64,0.609756,7,1.0
1,"A very young adorable baby who has a long-sleeve shirt on that says i am the boss, is crying and upset.",The young baby is crying.,"Premise: A very young adorable baby who has a long-sleeve shirt on that says i am the boss, is crying and upset., Hypothesis: The young baby is crying.. For the premise 'A very young adorable baby who has a long-sleeve shirt on that says i am the boss, is crying and upset.' and hypothesis The young baby is crying., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is **entailment**. This means that the hypothesis is true if the premise is true. The cause-and-effect relationship is that the premise implies the hypothesis, because the very young adorable baby who has a long-sleeve shirt on that says i am the boss, is crying and upset is also crying.","10. the correct answer is **entailment**. this means that the hypothesis is true if the premise is true. the cause-and-effect relationship is that the premise implies the hypothesis, because the very young adorable baby who has a long-sleeve shirt on that says i am the boss, is crying and upset is also crying.",{'entailment': 28},entailment,causal,18.544833,entailment,entailment,entailment,entailment,6.51,6.51,True,56,0.583333,7,1.0
2,Two people jousting with lances and shields on horses while people watch from under a tent and outside of the tent.,There are people jousting and a crowd watching.,"Premise: Two people jousting with lances and shields on horses while people watch from under a tent and outside of the tent., Hypothesis: There are people jousting and a crowd watching.. For the premise 'Two people jousting with lances and shields on horses while people watch from under a tent and outside of the tent.' and hypothesis There are people jousting and a crowd watching., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","4. The correct answer is **entailment**. The hypothesis is entailed by the premise. The premise states that two people are jousting with lances and shields on horses while people watch from under a tent and outside of the tent, which implies that there are people jousting and a crowd watching. Therefore, the hypothesis is necessarily true based on the premise.","4. the correct answer is **entailment**. the hypothesis is entailed by the premise. the premise states that two people are jousting with lances and shields on horses while people watch from under a tent and outside of the tent, which implies that there are people jousting and a crowd watching. therefore, the hypothesis is necessarily true based on the premise.

","{'entailment': 27, 'entailed': 59}",entailment,causal,18.540579,entailment,entailment,entailment,entailment,6.51,6.51,True,60,0.578947,7,1.0
3,"Several men of Asian descent, along with US military members, are sitting in a lunch meeting, while talking informally and ordering their food.",Humans sitting,"Premise: Several men of Asian descent, along with US military members, are sitting in a lunch meeting, while talking informally and ordering their food., Hypothesis: Humans sitting. For the premise 'Several men of Asian descent, along with US military members, are sitting in a lunch meeting, while talking informally and ordering their food.' and hypothesis Humans sitting, what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is **entailment**. This means that the hypothesis is true if the premise is true. The cause-and-effect relationship is that the premise implies the hypothesis, because if there are several men of Asian descent, along with US military members, sitting in a lunch meeting, while talking informally and ordering their food, then there are humans sitting.","10. the correct answer is **entailment**. this means that the hypothesis is true if the premise is true. the cause-and-effect relationship is that the premise implies the hypothesis, because if there are several men of asian descent, along with us military members, sitting in a lunch meeting, while talking informally and ordering their food, then there are humans sitting.",{'entailment': 28},entailment,causal,18.520395,entailment,entailment,entailment,entailment,6.51,6.51,True,61,0.55814,7,1.0
4,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",One adult is hurt because of the ride they took.,"Premise: Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride., Hypothesis: One adult is hurt because of the ride they took.. For the premise 'Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.' and hypothesis One adult is hurt because of the ride they took., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","4. The correct answer is **entailment**. This means that the hypothesis is true given the premise. The cause-and-effect relationship is that the premise states that one adult is helping the other to fix an injury to his arm after a brief ride, which implies that one adult is hurt because of the ride they took.","4. the correct answer is **entailment**. this means that the hypothesis is true given the premise. the cause-and-effect relationship is that the premise states that one adult is helping the other to fix an injury to his arm after a brief ride, which implies that one adult is hurt because of the ride they took.

",{'entailment': 27},entailment,causal,18.515053,entailment,entailment,neutral,entailment,6.51,6.51,True,57,0.552632,7,1.0
5,A group of young students are hanging out together in a university.,There is a group of young people together on the campus.,"Premise: A group of young students are hanging out together in a university., Hypothesis: There is a group of young people together on the campus.. For the premise 'A group of young students are hanging out together in a university.' and hypothesis There is a group of young people together on the campus., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","6. The correct answer is **entailment**. The premise and the hypothesis are logically related. The fact that a group of young students are hanging out together in a university implies that there is a group of young people together on the campus. Therefore, the premise entails the hypothesis. However, the hypothesis does not entail the premise, because there could be other groups of young people together on the campus that are not students or not hanging out.","6. the correct answer is **entailment**. the premise and the hypothesis are logically related. the fact that a group of young students are hanging out together in a university implies that there is a group of young people together on the campus. therefore, the premise entails the hypothesis. however, the hypothesis does not entail the premise, because there could be other groups of young people together on the campus that are not students or not hanging out.

","{'entailment': 27, 'entails': 269}",entailment,causal,18.51125,entailment,entailment,entailment,entailment,6.51,6.51,True,77,0.425,7,1.0
6,a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.,The woman is outdoors with a machine.,"Premise: a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park., Hypothesis: The woman is outdoors with a machine.. For the premise 'a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.' and hypothesis The woman is outdoors with a machine., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is **entailment**. The hypothesis is entailed by the premise. The premise states that the woman is operating some sort of stainless steel machine in what appears to be a park, which implies that she is outdoors with a machine. Therefore, the hypothesis is true based on the premise.","9. the correct answer is **entailment**. the hypothesis is entailed by the premise. the premise states that the woman is operating some sort of stainless steel machine in what appears to be a park, which implies that she is outdoors with a machine. therefore, the hypothesis is true based on the premise.

","{'entailment': 27, 'entailed': 59}",entailment,causal,18.505571,entailment,entailment,entailment,entailment,6.51,6.51,True,52,0.542857,7,1.0
7,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.,"Premise: A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart., Hypothesis: The man with the gray hat and pitchfork is directing the cart.. For the premise 'A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.' and hypothesis The man with the gray hat and pitchfork is directing the cart., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","4. The correct answer is **entailment**. The premise entails the hypothesis, because if a man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart, then it is also true that the man with the gray hat and pitchfork is directing the cart. The premise is more specific than the hypothesis, but it does not contradict it. The cause-and-effect relationship is that the premise implies the hypothesis.","4. the correct answer is **entailment**. the premise entails the hypothesis, because if a man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart, then it is also true that the man with the gray hat and pitchfork is directing the cart. the premise is more specific than the hypothesis, but it does not contradict it. the cause-and-effect relationship is that the premise implies the hypothesis.

","{'entailment': 27, 'entails': 53}",entailment,causal,18.501195,entailment,entailment,entailment,entailment,6.51,6.51,True,73,0.414634,7,1.0
8,A person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day.,A person is biking in the cold.,"Premise: A person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day., Hypothesis: A person is biking in the cold.. For the premise 'A person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day.' and hypothesis A person is biking in the cold., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is **entailment**. This means that the hypothesis is logically implied by the premise. The premise states that a person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day, which implies that he is biking in the cold. The hypothesis states that he is biking in the cold, which is a direct restatement of the premise. Therefore, the hypothesis is entailed by the premise.","10. the correct answer is **entailment**. this means that the hypothesis is logically implied by the premise. the premise states that a person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day, which implies that he is biking in the cold. the hypothesis states that he is biking in the cold, which is a direct restatement of the premise. therefore, the hypothesis is entailed by the premise.","{'entailment': 28, 'entailed': 405}",entailment,causal,18.499488,entailment,entailment,,entailment,6.51,6.51,True,75,0.536585,7,1.0
9,Several people watching a scene on the street below from an apartment building.,The people are looking out the window.,"Premise: Several people watching a scene on the street below from an apartment building., Hypothesis: The people are looking out the window.. For the premise 'Several people watching a scene on the street below from an apartment building.' and hypothesis The people are looking out the window., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is **entailment**. The hypothesis is entailed by the premise. The premise states that several people are watching a scene on the street below from an apartment building, which implies that the people are looking out the window. Therefore, the hypothesis is true based on the premise.","9. the correct answer is **entailment**. the hypothesis is entailed by the premise. the premise states that several people are watching a scene on the street below from an apartment building, which implies that the people are looking out the window. therefore, the hypothesis is true based on the premise.

","{'entailment': 27, 'entailed': 59}",entailment,causal,18.494312,entailment,entailment,entailment,entailment,6.51,6.51,True,50,0.53125,7,1.0
10,Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike,Humans waiting,"Premise: Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike, Hypothesis: Humans waiting. For the premise 'Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike' and hypothesis Humans waiting, what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is **entailment**. The premise implies the hypothesis. The hypothesis is a general statement that is true whenever the premise is true. If two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike, then it follows that humans are waiting. Therefore, the premise and the hypothesis have an entailment relationship.","10. the correct answer is **entailment**. the premise implies the hypothesis. the hypothesis is a general statement that is true whenever the premise is true. if two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike, then it follows that humans are waiting. therefore, the premise and the hypothesis have an entailment relationship.",{'entailment': 28},entailment,causal,18.485087,entailment,entailment,entailment,entailment,6.51,6.51,True,66,0.521739,7,1.0
11,"a man wearing a hat, sunglasses, gloves and a jacket holds a shovel on a snowy street in front of a gray nissan Altima.",Someone is outside in the snow.,"Premise: a man wearing a hat, sunglasses, gloves and a jacket holds a shovel on a snowy street in front of a gray nissan Altima., Hypothesis: Someone is outside in the snow.. For the premise 'a man wearing a hat, sunglasses, gloves and a jacket holds a shovel on a snowy street in front of a gray nissan Altima.' and hypothesis Someone is outside in the snow., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is **entailment**. This means that the hypothesis is logically implied by the premise. If the premise is true, then the hypothesis must also be true. The premise states that a man wearing a hat, sunglasses, gloves and a jacket holds a shovel on a snowy street in front of a gray nissan Altima. This implies that someone is outside in the snow. Therefore, the hypothesis follows from the premise.","10. the correct answer is **entailment**. this means that the hypothesis is logically implied by the premise. if the premise is true, then the hypothesis must also be true. the premise states that a man wearing a hat, sunglasses, gloves and a jacket holds a shovel on a snowy street in front of a gray nissan altima. this implies that someone is outside in the snow. therefore, the hypothesis follows from the premise.",{'entailment': 28},entailment,causal,18.485087,entailment,entailment,,entailment,6.51,6.51,True,73,0.521739,7,1.0
12,A man in a pink shirt stands next to a man in orange.,The two people weaaring brightly colored shirts are men.,"Premise: A man in a pink shirt stands next to a man in orange., Hypothesis: The two people weaaring brightly colored shirts are men.. For the premise 'A man in a pink shirt stands next to a man in orange.' and hypothesis The two people weaaring brightly colored shirts are men., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is **entailment**. The premise implies the hypothesis. If a man in a pink shirt stands next to a man in orange, then the two people wearing brightly colored shirts are men.","9. the correct answer is **entailment**. the premise implies the hypothesis. if a man in a pink shirt stands next to a man in orange, then the two people wearing brightly colored shirts are men.

",{'entailment': 27},entailment,causal,18.469741,entailment,entailment,entailment,entailment,6.51,6.51,True,35,0.62963,7,1.0
