Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio,judge_view_rank,boundary_band,example_key,row_key
0,John had his appointment book with him when he got a medical checkup but he lost it somewhere. Where is the first place that he'd look for it?,"['handbag', 'office supply store', 'wallet', 'pocket', ""doctor's office""]","Questions: John had his appointment book with him when he got a medical checkup but he lost it somewhere. Where is the first place that he'd look for it?, Choices: (A) handbag, (B) office supply store, (C) wallet, (D) pocket, (E) doctor's office. For the question 'John had his appointment book with him when he got a medical checkup but he lost it somewhere. Where is the first place that he'd look for it?', what is the correct answer among the choices handbag, office supply store, wallet, pocket doctor's office? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is **(E) doctor's office**. John had his appointment book with him when he got a medical checkup but he lost it somewhere. The first place that he'd look for it is the doctor's office, which is where he had his checkup. The doctor's office is the most likely place where he might have left or dropped his appointment book.","9. the correct answer is **(e) doctor's office**. john had his appointment book with him when he got a medical checkup but he lost it somewhere. the first place that he'd look for it is the doctor's office, which is where he had his checkup. the doctor's office is the most likely place where he might have left or dropped his appointment book.

","{""doctor's office"": 31}",doctor's office,causal,4.121036585365854,doctor's office,doctor's office,doctor's office,doctor's office,6.5249999999999995,6.5249999999999995,True,63,0.7073170731707317,7,1.0,1,easy,"john had his appointment book with him when he got a medical checkup but he lost it somewhere. where is the first place that he'd look for it?</s>['handbag', 'office supply store', 'wallet', 'pocket', ""doctor's office""]","john had his appointment book with him when he got a medical checkup but he lost it somewhere. where is the first place that he'd look for it?</s>['handbag', 'office supply store', 'wallet', 'pocket', ""doctor's office""]||9. the correct answer is **(e) doctor's office**. john had his appointment book with him when he got a medical checkup but he lost it somewhere. the first place that he'd look for it is the doctor's office, which is where he had his checkup. the doctor's office is the most likely place where he might have left or dropped his appointment book.||causal"
1,When a woman is going to have a baby an ultrasound can be used to find out what?,"['talk nonsense', 'boy or girl', 'cry', 'begin to talk', 'learn to speak']","Questions: When a woman is going to have a baby an ultrasound can be used to find out what?, Choices: (A) talk nonsense, (B) boy or girl, (C) cry, (D) begin to talk, (E) learn to speak. Given the question 'When a woman is going to have a baby an ultrasound can be used to find out what?', which among the choices talk nonsense, boy or girl, cry, begin to talk learn to speak is the correct answer? Explain your reasoning using conditional statements.
","7. The correct answer is (B) boy or girl. The reasoning is: If a woman is going to have a baby, then an ultrasound can be used to find out boy or girl.","7. the correct answer is (b) boy or girl. the reasoning is: if a woman is going to have a baby, then an ultrasound can be used to find out boy or girl.
",{'boy or girl': 29},boy or girl,if_else,4.0941,boy or girl,boy or girl,boy or girl,boy or girl,6.5249999999999995,6.5249999999999995,True,33,0.68,7,1.0,1,easy,"when a woman is going to have a baby an ultrasound can be used to find out what?</s>['talk nonsense', 'boy or girl', 'cry', 'begin to talk', 'learn to speak']","when a woman is going to have a baby an ultrasound can be used to find out what?</s>['talk nonsense', 'boy or girl', 'cry', 'begin to talk', 'learn to speak']||7. the correct answer is (b) boy or girl. the reasoning is: if a woman is going to have a baby, then an ultrasound can be used to find out boy or girl.||if_else"
2,"Laura and Bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. Then entire negotiation is being done with a surprising amount of what given the subject matter?","['calmness', 'compromises', 'fucking', 'anger', 'satisfaction']","Questions: Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?, Choices: (A) calmness, (B) compromises, (C) fucking, (D) anger, (E) satisfaction. What is the correct answer to the question 'Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?' with the options calmness, compromises, fucking, anger satisfaction? Provide a straightforward explanation. 
","2. The correct answer is **(A) calmness**. Laura and Bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. The entire negotiation is being done with a surprising amount of calmness given the subject matter because most people would expect such a situation to cause anger, jealousy, or resentment.","2. the correct answer is **(a) calmness**. laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. the entire negotiation is being done with a surprising amount of calmness given the subject matter because most people would expect such a situation to cause anger, jealousy, or resentment.
","{'calmness': 31, 'anger': 478}",calmness,neutral,4.160378787878788,calmness,calmness,calmness,calmness,6.5249999999999995,6.5249999999999995,True,84,0.803030303030303,7,1.0,1,easy,"laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. then entire negotiation is being done with a surprising amount of what given the subject matter?</s>['calmness', 'compromises', 'fucking', 'anger', 'satisfaction']","laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. then entire negotiation is being done with a surprising amount of what given the subject matter?</s>['calmness', 'compromises', 'fucking', 'anger', 'satisfaction']||2. the correct answer is **(a) calmness**. laura and bob are a married couple who have begun reaching tentative agreement regarding their sexual incompatibility. they love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it. the entire negotiation is being done with a surprising amount of calmness given the subject matter because most people would expect such a situation to cause anger, jealousy, or resentment.||neutral"
3,"Though its intentions are for the people, freedom often finds itself cast aside under many historical examples of what?","['slavery', 'communism', 'evil', 'captivity', 'good']","Questions: Though its intentions are for the people, freedom often finds itself cast aside under many historical examples of what?, Choices: (A) slavery, (B) communism, (C) evil, (D) captivity, (E) good. For the question 'Though its intentions are for the people, freedom often finds itself cast aside under many historical examples of what?', among the choices slavery, communism, evil, captivity good, which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **(B) communism**. Freedom often finds itself cast aside under many historical examples of communism, though its intentions are for the people. The other choices are either too broad (slavery, evil, captivity, good) or not historical examples."," is **(b) communism**. freedom often finds itself cast aside under many historical examples of communism, though its intentions are for the people. the other choices are either too broad (slavery, evil, captivity, good) or not historical examples.

","{'slavery': 188, 'communism': 10, 'evil': 197, 'captivity': 203, 'good': 214}",communism,contrastive,3.973611111111111,communism,communism,communism,communism,6.5249999999999995,6.5249999999999995,True,42,0.6388888888888888,7,1.0,1,easy,"though its intentions are for the people, freedom often finds itself cast aside under many historical examples of what?</s>['slavery', 'communism', 'evil', 'captivity', 'good']","though its intentions are for the people, freedom often finds itself cast aside under many historical examples of what?</s>['slavery', 'communism', 'evil', 'captivity', 'good']||4. the most likely answer is **(b) communism**. freedom often finds itself cast aside under many historical examples of communism, though its intentions are for the people. the other choices are either too broad (slavery, evil, captivity, good) or not historical examples.||contrastive"
4,Some idiots die of dehydration because they spend too much time playing games. Where might someone play games so much?,"['bar', 'sporting event', 'hockey game', 'baseball field', 'internet cafe']",,10. The most likely answer is **(E) internet cafe**. Some idiots die of dehydration because they spend too much time playing games. Where might someone play games so much, is **(e) internet cafe**. some idiots die of dehydration because they spend too much time playing games. where might someone play games so much,{'internet cafe': 10},internet cafe,historical,3.5166164021164024,internet cafe,internet cafe,internet cafe,internet cafe,5.685,4.845,True,29,0.7407407407407407,6,0.8571428571428571,1,easy,"some idiots die of dehydration because they spend too much time playing games. where might someone play games so much?</s>['bar', 'sporting event', 'hockey game', 'baseball field', 'internet cafe']","some idiots die of dehydration because they spend too much time playing games. where might someone play games so much?</s>['bar', 'sporting event', 'hockey game', 'baseball field', 'internet cafe']||10. the most likely answer is **(e) internet cafe**. some idiots die of dehydration because they spend too much time playing games. where might someone play games so much||historical"
5,"They weren't quite south of the border but close enough, after seeing some Navy ships they had dinner at an authentic mexican restaurant where?","['burrito', 'mexico', 'san diego', 'atmosphere', 'city']","Questions: They weren't quite south of the border but close enough, after seeing some Navy ships they had dinner at an authentic mexican restaurant where?, Choices: (A) burrito, (B) mexico, (C) san diego, (D) atmosphere, (E) city. For the question 'They weren't quite south of the border but close enough, after seeing some Navy ships they had dinner at an authentic mexican restaurant where?', what is the correct answer among the choices burrito, mexico, san diego, atmosphere city? Explain the cause-and-effect relationship between the question and your chosen answer.
","6. The correct answer is **(C) san diego**. The cause-and-effect relationship is that they weren't quite south of the border but close enough, after seeing some Navy ships they had dinner at an authentic mexican restaurant in san diego, not in burrito, mexico, atmosphere, or city.","6. the correct answer is **(c) san diego**. the cause-and-effect relationship is that they weren't quite south of the border but close enough, after seeing some navy ships they had dinner at an authentic mexican restaurant in san diego, not in burrito, mexico, atmosphere, or city.

","{'burrito': 244, 'mexico': 253, 'san diego': 31, 'atmosphere': 261, 'city': 276}",san diego,causal,4.110595238095238,san diego,san diego,san diego,san diego,6.5249999999999995,6.5249999999999995,True,46,0.6904761904761905,7,1.0,1,easy,"they weren't quite south of the border but close enough, after seeing some navy ships they had dinner at an authentic mexican restaurant where?</s>['burrito', 'mexico', 'san diego', 'atmosphere', 'city']","they weren't quite south of the border but close enough, after seeing some navy ships they had dinner at an authentic mexican restaurant where?</s>['burrito', 'mexico', 'san diego', 'atmosphere', 'city']||6. the correct answer is **(c) san diego**. the cause-and-effect relationship is that they weren't quite south of the border but close enough, after seeing some navy ships they had dinner at an authentic mexican restaurant in san diego, not in burrito, mexico, atmosphere, or city.||causal"
6,"John can't find any legal alternatives to what he's looking for. It's very illegal, exacerbated by the fact that he's too young to travel out of the country to get it. Where will he have to get it from?","['rules', 'white market', 'banned', 'underage', 'black market']","Questions: John can't find any legal alternatives to what he's looking for.  It's very illegal, exacerbated by the fact that he's too young to travel out of the country to get it.  Where will he have to get it from?, Choices: (A) rules, (B) white market, (C) banned, (D) underage, (E) black market. Given the question 'John can't find any legal alternatives to what he's looking for.  It's very illegal, exacerbated by the fact that he's too young to travel out of the country to get it.  Where will he have to get it from?', which among the choices rules, white market, banned, underage black market is the correct answer? Explain your reasoning using conditional statements.
","4. The correct answer is (E) black market. A possible conditional statement for this question is: ""If John can't find any legal alternatives to what he's looking for and it's very illegal and he's too young to travel out of the country to get it, then he will have to get it from the black market.""","4. the correct answer is (e) black market. a possible conditional statement for this question is: ""if john can't find any legal alternatives to what he's looking for and it's very illegal and he's too young to travel out of the country to get it, then he will have to get it from the black market.""

",{'black market': 29},black market,if_else,4.090639534883721,black market,black market,black market,black market,6.5249999999999995,6.5249999999999995,True,56,0.6744186046511628,7,1.0,1,easy,"john can't find any legal alternatives to what he's looking for. it's very illegal, exacerbated by the fact that he's too young to travel out of the country to get it. where will he have to get it from?</s>['rules', 'white market', 'banned', 'underage', 'black market']","john can't find any legal alternatives to what he's looking for. it's very illegal, exacerbated by the fact that he's too young to travel out of the country to get it. where will he have to get it from?</s>['rules', 'white market', 'banned', 'underage', 'black market']||4. the correct answer is (e) black market. a possible conditional statement for this question is: ""if john can't find any legal alternatives to what he's looking for and it's very illegal and he's too young to travel out of the country to get it, then he will have to get it from the black market.""||if_else"
7,"Johnny wants to get money his brother. He doesn't like to, but he sucks it up, makes the call, and finds himself doing what?","['employment', 'do work', 'threaten', 'work for', 'asking for money']","Questions: Johnny wants to get money his brother.  He doesn't like to, but he sucks it up, makes the call, and finds himself doing what?, Choices: (A) employment, (B) do work, (C) threaten, (D) work for, (E) asking for money. What is the correct answer to the question 'Johnny wants to get money his brother.  He doesn't like to, but he sucks it up, makes the call, and finds himself doing what?' with the options employment, do work, threaten, work for asking for money? Provide a straightforward explanation. 
","6. The correct answer is (E) asking for money. Johnny wants to get money from his brother, but he doesn't like to do so. He sucks it up, makes the call, and finds himself asking for money from his brother.","6. the correct answer is (e) asking for money. johnny wants to get money from his brother, but he doesn't like to do so. he sucks it up, makes the call, and finds himself asking for money from his brother.

",{'asking for money': 29},asking for money,neutral,4.1425,asking for money,asking for money,asking for money,asking for money,6.5249999999999995,6.5249999999999995,True,40,0.7741935483870968,7,1.0,1,easy,"johnny wants to get money his brother. he doesn't like to, but he sucks it up, makes the call, and finds himself doing what?</s>['employment', 'do work', 'threaten', 'work for', 'asking for money']","johnny wants to get money his brother. he doesn't like to, but he sucks it up, makes the call, and finds himself doing what?</s>['employment', 'do work', 'threaten', 'work for', 'asking for money']||6. the correct answer is (e) asking for money. johnny wants to get money from his brother, but he doesn't like to do so. he sucks it up, makes the call, and finds himself asking for money from his brother.||neutral"
8,"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?","['living room', 'dog park', 'basket', 'small apartment', 'big house']","Questions: Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?, Choices: (A) living room, (B) dog park, (C) basket, (D) small apartment, (E) big house. For the question 'Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?', among the choices living room, dog park, basket, small apartment big house, which is the most likely answer? Highlight what sets your choice apart from the others.
","1. The most likely answer is **(E) big house**. The small dog felt like it had all the space in the world in the big house, even though it stayed strictly indoors. The other choices are either too small (living room, basket, small apartment) or not indoors (dog park)."," is **(e) big house**. the small dog felt like it had all the space in the world in the big house, even though it stayed strictly indoors. the other choices are either too small (living room, basket, small apartment) or not indoors (dog park).

","{'living room': 179, 'dog park': 233, 'basket': 192, 'small apartment': 200, 'big house': 10}",big house,contrastive,3.9563888888888887,big house,big house,big house,big house,6.5249999999999995,6.5249999999999995,True,49,0.6111111111111112,7,1.0,1,easy,"though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?</s>['living room', 'dog park', 'basket', 'small apartment', 'big house']","though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?</s>['living room', 'dog park', 'basket', 'small apartment', 'big house']||1. the most likely answer is **(e) big house**. the small dog felt like it had all the space in the world in the big house, even though it stayed strictly indoors. the other choices are either too small (living room, basket, small apartment) or not indoors (dog park).||contrastive"
9,Where would you go to get a tuning fork you forgot?,"['music shop', 'music room', 'music store', 'hardware store', 'science lab']","Questions: Where would you go to get a tuning fork you forgot?, Choices: (A) music shop, (B) music room, (C) music store, (D) hardware store, (E) science lab. Based on what is historically known, what is the most likely answer to the question 'Where would you go to get a tuning fork you forgot?' with options music shop, music room, music store, hardware store science lab? Provide historical context in your rationale. 
","7. The most likely answer is **(E) science lab**. A science lab is a place where people conduct experiments and research, often using tools such as tuning forks. A music shop is a place that sells musical instruments, but not tuning forks. A music room is a place where people practice or play music, but not a place where they get tuning forks. A music store is another term for a music shop. A hardware store is a place that sells tools and materials for construction and repair, but not tuning forks."," is **(e) science lab**. a science lab is a place where people conduct experiments and research, often using tools such as tuning forks. a music shop is a place that sells musical instruments, but not tuning forks. a music room is a place where people practice or play music, but not a place where they get tuning forks. a music store is another term for a music shop. a hardware store is a place that sells tools and materials for construction and repair, but not tuning forks.

","{'music shop': 139, 'music room': 217, 'music store': 323, 'hardware store': 371, 'science lab': 10}",science lab,historical,3.2056180124223603,science lab,science lab,science lab,science lab,5.685,4.845,True,92,0.2391304347826087,6,0.8571428571428571,1,easy,"where would you go to get a tuning fork you forgot?</s>['music shop', 'music room', 'music store', 'hardware store', 'science lab']","where would you go to get a tuning fork you forgot?</s>['music shop', 'music room', 'music store', 'hardware store', 'science lab']||7. the most likely answer is **(e) science lab**. a science lab is a place where people conduct experiments and research, often using tools such as tuning forks. a music shop is a place that sells musical instruments, but not tuning forks. a music room is a place where people practice or play music, but not a place where they get tuning forks. a music store is another term for a music shop. a hardware store is a place that sells tools and materials for construction and repair, but not tuning forks.||historical"
