question,choices
"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?","['park', 'coloring book', 'garden center', 'math problem', 'gravity']"
"A John is a bum.  Much like the stereotype, he lives near this sort of transportation infrastructure. Where does he live?","['bus depot', 'beach', 'train station', 'bridge', 'bridge']"
"A bad person places little value on being honest, acting without pretense or being what?","['excellent', 'upright', 'premium', 'competent', 'sincere']"
"A bald eagle flies over St. Paul, where is it?","['texas', 'thermal', 'minnesota', 'canada', 'photograph']"
"A battleship is a powerful vessel.  If you need something similar but faster, what would you use?","['yatch', 'corvette', 'aircraft carrier', 'destroyer', 'patrol boat']"
"A beaver is taking logs from a Pacific beach, where is it located?","['washington', 'ontario', 'books', 'canada', 'in russia']"
"A big fountain was the center piece of the renovation, it had all been paid for by a grant to the what?","['city', 'state', 'front of casino', 'rome', 'public place']"
"A boss may like an employee's ambition, so the employee may get put what?","['in charge of project', 'conquer opponent', 'go to school', 'begin work', 'webisode']"
"A boy is leaving line because he's tired of listening to the teacher's orders, what might the teacher give?","['punishment', 'utter chaos', 'trouble', 'have to start over', 'high five']"
"A bride and groom are taking care of proposals, what is the likely ceremony?","['efficiency', 'getting work done', 'marriage', 'finishing up', 'results']"
"A bug was looking for wildflowers and no human interruption, where did he go?","['garden', 'meadow', 'bug zapper', 'rug', 'rock']"
"A car was going from Florida to Ohio, what was it doing?","['roll over', 'head north', 'flying', 'speed up', 'heading north']"
"A cat can't talk, but a cat can what?","['sleep all day', 'meow', 'shed fur', 'see king', 'live many years']"
"A cat is wandering outside, where is likely to be found?","['floor', 'residential area', 'bed', 'comfortable position', 'family room']"
"A cat wants to sleep, how will it lay?","['comfortable position', 'floor', 'residential area', 'family room', 'upside down']"
"A child is in a meadow in spring, what might the child do?","['clean room', 'set table', 'play with toys', 'form opinions', 'gather flowers']"
"A colorful pebble falls on a goldfish, where is the pebble?","['aquarium', 'creek', 'pet store', 'playground', 'pond']"
"A common saying, Sam thought, was to go forth, also this.","['reverse', 'backwards', 'back and', 'back and', 'tally back']"
"A computer can process information and even choose, but it can't do what?","['run programs', 'make decisions', 'believe in god', 'brain', 'receive data']"
"A condom is a form of contraceptive for a penis, meanwhile a diaphragm is one designed for a what?","['drawer', 'vagina', 'arm', 'health center', 'medicine cabinet']"
"A continent is a large area of land, but the globe is mostly covered by an what?","['ocean', 'australia', 'asia', 'continent', 'island']"
"A cow farm has quite the smell, that's why they tend to be located in a remote what?","['corral', 'nursery rhyme', 'northern california', 'rural area', 'barnyard']"
