premise,hypothesis,prompt,rationale
If your shoes are too tight what will you get on your feet after jogging?,"['exhaustion', 'shortness of breath', 'knee pain', 'blisters', 'lose weight']","Questions: If your shoes are too tight what will you get on your feet after jogging?, Choices: (A) exhaustion, (B) shortness of breath, (C) knee pain, (D) blisters, (E) lose weight. Given the question 'If your shoes are too tight what will you get on your feet after jogging?', which among the choices exhaustion, shortness of breath, knee pain, blisters lose weight, is the correct answer? Explain your reasoning using conditional statements.
","1. The correct answer is (D) blisters. A possible conditional statement is: If your shoes are too tight, then you will get blisters on your feet after jogging. The hypothesis is ""your shoes are too tight"" and the conclusion is ""you will get blisters on your feet after jogging"". The other choices are not directly related to the tightness of your shoes.

"
If your trouser fly is unfastened what should you do?,"['do up', 'tie up', 'zip up', 'pick up', 'button up']","Questions: If your trouser fly is unfastened what should you do?, Choices: (A) do up, (B) tie up, (C) zip up, (D) pick up, (E) button up. Given the question 'If your trouser fly is unfastened what should you do?', which among the choices do up, tie up, zip up, pick up button up, is the correct answer? Explain your reasoning using conditional statements.
","2. The correct answer is (C) zip up. A possible conditional statement is: If your trouser fly is unfastened, then you should zip it up. The hypothesis is ""your trouser fly is unfastened"" and the conclusion is ""you should zip it up"". The other choices are not appropriate actions for a trouser fly.

"
If your watching television and accomplish nothing what have you done?,"['getting fat', 'get fat', 'typing words', 'falling asleep', 'wasted time']","Questions: If your watching television and accomplish nothing what have you done?, Choices: (A) getting fat, (B) get fat, (C) typing words, (D) falling asleep, (E) wasted time. Given the question 'If your watching television and accomplish nothing what have you done?', which among the choices getting fat, get fat, typing words, falling asleep wasted time, is the correct answer? Explain your reasoning using conditional statements.
","3. The correct answer is (E) wasted time. A possible conditional statement is: If you watch television and accomplish nothing, then you have wasted time. The hypothesis is ""you watch television and accomplish nothing"" and the conclusion is ""you have wasted time"". The other choices are not necessarily true or relevant to the question.

"
Illegitimate designer handbags will not have a certificate of what?,"['actions', 'legal', 'authentic', 'logical', 'legitimate']","Questions: Illegitimate designer handbags will not have a certificate of what?, Choices: (A) actions, (B) legal, (C) authentic, (D) logical, (E) legitimate. Given the question 'Illegitimate designer handbags will not have a certificate of what?', which among the choices actions, legal, authentic, logical legitimate, is the correct answer? Explain your reasoning using conditional statements.
","4. The correct answer is (C) authentic. A possible conditional statement is: If a designer handbag is illegitimate, then it will not have a certificate of authenticity. The hypothesis is ""a designer handbag is illegitimate"" and the conclusion is ""it will not have a certificate of authenticity"". The other choices are not related to the legitimacy of a designer handbag.

"
In American it is possible for someone to grow up poor and end up what?,"['rich', 'good', 'being rich', 'adequate', 'famous']","Questions: In American it is possible for someone to grow up poor and end up what?, Choices: (A) rich, (B) good, (C) being rich, (D) adequate, (E) famous. Given the question 'In American it is possible for someone to grow up poor and end up what?', which among the choices rich, good, being rich, adequate famous, is the correct answer? Explain your reasoning using conditional statements.
","5. The correct answer is (A) rich. A possible conditional statement is: If someone grows up poor in America, then it is possible for them to end up rich. The hypothesis is ""someone grows up poor in America"" and the conclusion is ""it is possible for them to end up rich"". The other choices are not specific or logical outcomes of growing up poor in America.

"
In order to pass a class you will need to finish all of what which are assignments to complete away from school?,"['sleep', 'graduate school', 'study hard', 'smart', 'homework']","Questions: In order to pass a class you will need to finish all of what which are assignments to complete away from school?, Choices: (A) sleep, (B) graduate school, (C) study hard, (D) smart, (E) homework. Given the question 'In order to pass a class you will need to finish all of what which are assignments to complete away from school?', which among the choices sleep, graduate school, study hard, smart homework, is the correct answer? Explain your reasoning using conditional statements.
","6. The correct answer is (E) homework. A possible conditional statement is: If you want to pass a class, then you will need to finish all of your homework. The hypothesis is ""you want to pass a class"" and the conclusion is ""you will need to finish all of your homework"". The other choices are not related to passing a class or completing assignments away from school.

"
In order to read a book what must you do to it?,"['open up', 'learn to read', 'choose one', 'get comfortable', 'have time']","Questions: In order to read a book what must you do to it?, Choices: (A) open up, (B) learn to read, (C) choose one, (D) get comfortable, (E) have time. Given the question 'In order to read a book what must you do to it?', which among the choices open up, learn to read, choose one, get comfortable have time, is the correct answer? Explain your reasoning using conditional statements.
","7. The correct answer is (A) open up. A possible conditional statement is: If you want to read a book, then you must open it up. The hypothesis is ""you want to read a book"" and the conclusion is ""you must open it up"". The other choices are not necessary or sufficient conditions for reading a book.

"
In the middle of the day what will someone do because of being hungry?,"['cook dinner', 'make bread', 'eat in restaurant', 'have lunch', 'make bread']","Questions: In the middle of the day what will someone do because of being hungry?, Choices: (A) cook dinner, (B) make bread, (C) eat in restaurant, (D) have lunch, (E) make bread. Given the question 'In the middle of the day what will someone do because of being hungry?', which among the choices cook dinner, make bread, eat in restaurant, have lunch make bread, is the correct answer? Explain your reasoning using conditional statements.
","8. The correct answer is (D) have lunch. A possible conditional statement is: If you are hungry in the middle of the day, then you will have lunch. The hypothesis is ""you are hungry in the middle of the day"" and the conclusion is ""you will have lunch"". The other choices are not typical or reasonable actions for someone who is hungry in the middle of the day.

"
In the modern days we give what kind of classification to buildings to protect them from being town down?,"['classical', 'old fashioned', 'vintage', 'historical', 'antique']","Questions: In the modern days we give what kind of classification to buildings to protect them from being town down?, Choices: (A) classical, (B) old fashioned, (C) vintage, (D) historical, (E) antique. Given the question 'In the modern days we give what kind of classification to buildings to protect them from being town down?', which among the choices classical, old fashioned, vintage, historical antique, is the correct answer? Explain your reasoning using conditional statements.
","9. The correct answer is (D) historical. A possible conditional statement is: If a building is old and valuable, then it will be classified as historical. The hypothesis is ""a building is old and valuable"" and the conclusion is ""it will be classified as historical"". The other choices are not official or accurate classifications for buildings that need to be protected from being torn down.

"
In what room would you expect to find the sugar?,"['cupboard', 'container', 'kitchen', 'bedroom', ""neighbor's house""]","Questions: In what room would you expect to find the sugar?, Choices: (A) cupboard, (B) container, (C) kitchen, (D) bedroom, (E) neighbor's house. Given the question 'In what room would you expect to find the sugar?', which among the choices cupboard, container, kitchen, bedroom neighbor's house, is the correct answer? Explain your reasoning using conditional statements.
","10. The correct answer is (C) kitchen. A possible conditional statement is: If you want to find the sugar, then you should look in the kitchen. The hypothesis is ""you want to find the sugar"" and the conclusion is ""you should look in the kitchen"". The other choices are not common or logical places to store or find sugar."
