premise,hypothesis,prompt,rationale
A garage is a type of what?,"['home', 'building', 'downtown', 'storage area', 'car']","Questions: A garage is a type of what?, Choices: (A) home, (B) building, (C) downtown, (D) storage area, (E) car. For the question 'A garage is a type of what?', among the choices home, building, downtown, storage area car, which is the most likely answer? Highlight what sets your choice apart from the others.
","1. The most likely answer is **(B) building**. A garage is a type of building that is used to store vehicles or other items. A home, a downtown, a storage area, and a car are not types of buildings, but they can have garages in them or be in garages.
"
A gazelle needs to run and jump when it's on what sort of terrain?,"['wildlife refuge', 'open field', 'steppe', 'encyclopedia', 'field']","Questions: A gazelle needs to run and jump when it's on what sort of terrain?, Choices: (A) wildlife refuge, (B) open field, (C) steppe, (D) encyclopedia, (E) field. For the question 'A gazelle needs to run and jump when it's on what sort of terrain?', among the choices wildlife refuge, open field, steppe, encyclopedia field, which is the most likely answer? Highlight what sets your choice apart from the others.
","2. The most likely answer is **(C) steppe**. A steppe is a type of terrain that is characterized by grasslands, shrubs, and few trees. A gazelle needs to run and jump when it's on a steppe to avoid predators and find food. A wildlife refuge, an open field, an encyclopedia, and a field are not types of terrain, but they can have steppes in them or be on steppes.
"
A government seeks what over it's people?,"['country', 'trouble', 'city', 'sun', 'control']","Questions: A government seeks what over it's people?, Choices: (A) country, (B) trouble, (C) city, (D) sun, (E) control. For the question 'A government seeks what over it's people?', among the choices country, trouble, city, sun control, which is the most likely answer? Highlight what sets your choice apart from the others.
","3. The most likely answer is **(E) control**. A government seeks control over its people to maintain order, security, and authority. A country, a trouble, a city, and a sun are not things that a government seeks over its people, but they can be related to a government or its people in some way.
"
A grain of sand might cause you discomfort if it get into your what?,"['bucket', 'sand pile', 'beach', 'clam', 'bathing suit']","Questions: A grain of sand might cause you discomfort if it get into your what?, Choices: (A) bucket, (B) sand pile, (C) beach, (D) clam, (E) bathing suit. For the question 'A grain of sand might cause you discomfort if it get into your what?', among the choices bucket, sand pile, beach, clam bathing suit, which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **(E) bathing suit**. A grain of sand might cause you discomfort if it gets into your bathing suit because it can rub against your skin and irritate it. A bucket, a sand pile, a beach, and a clam are not things that a grain of sand might cause you discomfort if it gets into, but they can have sand in them or be on sand.
"
A great singers voice is going to be?,"['loud', 'beautiful', 'sound', 'george michael', 'commmunicating']","Questions: A great singers voice is going to be?, Choices: (A) loud, (B) beautiful, (C) sound, (D) george michael, (E) commmunicating. For the question 'A great singers voice is going to be?', among the choices loud, beautiful, sound, george michael commmunicating, which is the most likely answer? Highlight what sets your choice apart from the others.
","5. The most likely answer is **(B) beautiful**. A great singer's voice is going to be beautiful because it can produce pleasant and harmonious sounds that appeal to the listeners. Loud, sound, george michael, and communicating are not qualities that a great singer's voice is going to be, but they can be related to a singer's voice in some way"
A handsome prince is a stock character common to what?,"['england', 'fairy tale', 'castle', 'palace', 'court']","Questions: A handsome prince is a stock character common to what?, Choices: (A) england, (B) fairy tale, (C) castle, (D) palace, (E) court. For the question 'A handsome prince is a stock character common to what?', among the choices england, fairy tale, castle, palace court, which is the most likely answer? Highlight what sets your choice apart from the others.
",
A happy person drinking a lemonade and also feeling nauseous or dizzy might be at what event?,"['fairgrounds', 'concert', 'go to doctor', 'refrigerator', 'carnival']","Questions: A happy person drinking a lemonade and also feeling nauseous or dizzy might be at what event?, Choices: (A) fairgrounds, (B) concert, (C) go to doctor, (D) refrigerator, (E) carnival. For the question 'A happy person drinking a lemonade and also feeling nauseous or dizzy might be at what event?', among the choices fairgrounds, concert, go to doctor, refrigerator carnival, which is the most likely answer? Highlight what sets your choice apart from the others.
",
A harmonica might be the smallest instrument sold where?,"['blues band', 'rock band', 'pocket', 'music store', 'shop counter']","Questions: A harmonica might be the smallest instrument sold where?, Choices: (A) blues band, (B) rock band, (C) pocket, (D) music store, (E) shop counter. For the question 'A harmonica might be the smallest instrument sold where?', among the choices blues band, rock band, pocket, music store shop counter, which is the most likely answer? Highlight what sets your choice apart from the others.
",
A helper monkey does what around the home of a disabled person?,"['treetops', 'works', 'disturb', 'nigeria', 'south american country']","Questions: A helper monkey does what around the home of a disabled person?, Choices: (A) treetops, (B) works, (C) disturb, (D) nigeria, (E) south american country. For the question 'A helper monkey does what around the home of a disabled person?', among the choices treetops, works, disturb, nigeria south american country, which is the most likely answer? Highlight what sets your choice apart from the others.
",
A hinged door is not always found in which room of the house?,"['jamb', 'own house', 'building', 'kitchen', 'washing machine']","Questions: A hinged door is not always found in which room of the house?, Choices: (A) jamb, (B) own house, (C) building, (D) kitchen, (E) washing machine. For the question 'A hinged door is not always found in which room of the house?', among the choices jamb, own house, building, kitchen washing machine, which is the most likely answer? Highlight what sets your choice apart from the others.
",.
A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?,"['detroit', 'elevator', 'workplace', 'downtown', 'mall']","Questions: A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?, Choices: (A) detroit, (B) elevator, (C) workplace, (D) downtown, (E) mall. For the question 'A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?', among the choices detroit, elevator, workplace, downtown mall, which is the most likely answer? Highlight what sets your choice apart from the others.
","1. The most likely answer is **(E) mall**. A mall is a large building or complex of buildings that contains a variety of shops and sometimes restaurants and other businesses. A mall is a good place for a person to go shopping in a dense urban area because it offers a wide range of products and services in one location, and it is usually accessible by public transportation or parking facilities. The other choices are not as suitable because detroit is a city name, not a place; elevator is a device for moving people or goods between floors, not a shopping destination; workplace is a place where people perform their jobs, not a place for leisure; and downtown is a general term for the central area of a city, which may or may not have good shopping options.

"
A hurricane can create what when it plows through a city?,"['disaster', 'bring destruction', 'rain', 'horrendous', 'tornadoes']","Questions: A hurricane can create what when it plows through a city?, Choices: (A) disaster, (B) bring destruction, (C) rain, (D) horrendous, (E) tornadoes. For the question 'A hurricane can create what when it plows through a city?', among the choices disaster, bring destruction, rain, horrendous tornadoes, which is the most likely answer? Highlight what sets your choice apart from the others.
","2. The most likely answer is **(A) disaster**. A disaster is a sudden event, such as a storm, flood, fire, or earthquake, that causes great damage or loss of life. A hurricane can create a disaster when it plows through a city because it can destroy buildings, infrastructure, and vegetation, and endanger the lives of people and animals. The other choices are not as specific or accurate as disaster because bring destruction is a verb phrase, not a noun; rain is a type of precipitation that may or may not accompany a hurricane; horrendous is an adjective that describes something extremely unpleasant or horrifying, not a thing; and tornadoes are another kind of wind event that are different from hurricanes.

"
A hurricane is similar to what other wind event?,"['tornadocane', 'disaster', 'tornadoes', 'death', 'horrendous']","Questions: A hurricane is similar to what other wind event?, Choices: (A) tornadocane, (B) disaster, (C) tornadoes, (D) death, (E) horrendous. For the question 'A hurricane is similar to what other wind event?', among the choices tornadocane, disaster, tornadoes, death horrendous, which is the most likely answer? Highlight what sets your choice apart from the others.
","3. The most likely answer is **(C) tornadoes**. Tornadoes are violent rotating columns of air that extend from a thunderstorm to the ground and can cause severe damage. A hurricane is similar to a tornado in that they are both wind events that involve rotation and high speed, and they can both form over water or land. The other choices are not as similar to a hurricane as tornadoes because tornadocane is a made-up word that does not exist; disaster is a general term for any calamitous event, not a specific type of wind event; death is the end of life, not a weather phenomenon; and horrendous is an adjective that describes something extremely unpleasant or horrifying, not a wind event.

"
A king or queen is a member of what class?,"['beehive', 'ocean', 'deck of cards', 'monarchy', 'wife of king']","Questions: A king or queen is a member of what class?, Choices: (A) beehive, (B) ocean, (C) deck of cards, (D) monarchy, (E) wife of king. For the question 'A king or queen is a member of what class?', among the choices beehive, ocean, deck of cards, monarchy wife of king, which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **(D) monarchy**. A monarchy is a form of government in which a single person, usually a king or a queen, inherits the throne and rules as the head of state. A king or a queen is a member of a monarchy because they are the highest-ranking person in the royal family and have the authority to make decisions for the country. The other choices are not as relevant to a king or a queen as monarchy because beehive is a structure where bees live and make honey, not a form of government; ocean is a large body of salt water that covers most of the earth's surface, not a political system; deck of cards is a set of playing cards that are used for various games, not a type of rule; and wife of king is a relationship status, not a class.

"
