Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,"Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is training his horse for a competition.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is training his horse for a competition. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","1. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the person is training his horse for a competition, but it is not necessarily the case. There could be other reasons why the person is jumping over a broken down airplane.","1. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the person is training his horse for a competition, but it is not necessarily the case. there could be other reasons why the person is jumping over a broken down airplane.

",{'neutral': 27},neutral,neutral,18.859667,neutral,neutral,neutral,neutral,6.34,6.34,True,50,0.333333,7,1.0
1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is at a diner, ordering an omelette.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is at a diner, ordering an omelette. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","2. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.","2. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.

",{'contradiction': 27},contradiction,neutral,18.857029,contradiction,contradiction,contradiction,contradiction,6.53,6.529999999999999,True,43,0.411765,7,1.0
2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is outdoors, on a horse.. For the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is outdoors, on a horse., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","3. The correct answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise states that the person is on a horse and jumps over a broken down airplane, which implies that the person is outdoors. Therefore, the hypothesis follows logically from the premise.","3. the correct answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that the person is on a horse and jumps over a broken down airplane, which implies that the person is outdoors. therefore, the hypothesis follows logically from the premise.

",{'entailment': 27},entailment,causal,19.012242,entailment,entailment,entailment,entailment,6.51,6.51,True,49,0.354839,7,1.0
3,Children smiling and waving at camera,They are smiling at their parents,"Premise: Children smiling and waving at camera, Hypothesis: They are smiling at their parents. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis They are smiling at their parents with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","4. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the children are smiling at their parents, but it is not necessarily the case. There could be other reasons why the children are smiling and waving at the camera.","4. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the children are smiling at their parents, but it is not necessarily the case. there could be other reasons why the children are smiling and waving at the camera.

",{'neutral': 27},neutral,neutral,18.800273,neutral,neutral,neutral,neutral,6.34,6.34,True,48,0.272727,7,1.0
4,Children smiling and waving at camera,There are children present,"Premise: Children smiling and waving at camera, Hypothesis: There are children present. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis There are children present with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","5. The correct answer is **entailment**. The premise implies the hypothesis. If there are children smiling and waving at the camera, then there are children present.","5. the correct answer is **entailment**. the premise implies the hypothesis. if there are children smiling and waving at the camera, then there are children present.

",{'entailment': 27},entailment,neutral,18.988711,entailment,entailment,entailment,entailment,6.51,6.51,True,26,0.473684,7,1.0
5,Children smiling and waving at camera,The kids are frowning,"Premise: Children smiling and waving at camera, Hypothesis: The kids are frowning. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis The kids are frowning with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","6. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the children are smiling and waving at the camera, then they are not frowning.","6. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the children are smiling and waving at the camera, then they are not frowning.

",{'contradiction': 27},contradiction,neutral,18.8735,contradiction,contradiction,contradiction,contradiction,6.53,6.529999999999999,True,29,0.428571,7,1.0
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy does a skateboarding trick.. What is the correct answer to the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy does a skateboarding trick. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","8. The correct answer is **entailment**. The premise implies the hypothesis. If the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.","8. the correct answer is **entailment**. the premise implies the hypothesis. if the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.

",{'entailment': 27},entailment,neutral,19.096167,entailment,entailment,entailment,entailment,6.51,6.51,True,32,0.583333,7,1.0
7,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy is wearing safety equipment.. Given the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy is wearing safety equipment., which among the choices ""entailment"", ""neutral"", ""contradiction"", is the correct answer? Explain your reasoning using conditional statements.
","9. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. A possible conditional statement is: If the boy is wearing safety equipment, then he may be jumping on skateboard in the middle of a red bridge, but it is not necessary or sufficient.","9. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. a possible conditional statement is: if the boy is wearing safety equipment, then he may be jumping on skateboard in the middle of a red bridge, but it is not necessary or sufficient.
",{'neutral': 27},neutral,if_else,18.850297,neutral,neutral,contradiction,neutral,6.34,6.34,True,48,0.405405,7,1.0
8,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,"Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background., Hypothesis: An older man drinks his juice as he waits for his daughter to get off work.. What is the correct answer to the premise 'An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.' and hypothesis An older man drinks his juice as he waits for his daughter to get off work. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","10. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. There could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.","10. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. there could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.",{'neutral': 28},neutral,neutral,19.023,neutral,neutral,neutral,neutral,6.34,6.34,True,65,0.5,7,1.0
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,"Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background., Hypothesis: A boy flips a burger.. Given the premise 'An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.' and hypothesis A boy flips a burger., which among the choices ""entailment"", ""neutral"", ""contradiction"", is the correct answer? Explain your reasoning using conditional statements.
","1. The correct answer is **neutral**. The hypothesis is neither entailed nor contradicted by the premise. A conditional statement that explains the reasoning is: If a boy flips a burger, then it does not imply that an older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background, and vice versa.","1. the correct answer is **neutral**. the hypothesis is neither entailed nor contradicted by the premise. a conditional statement that explains the reasoning is: if a boy flips a burger, then it does not imply that an older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background, and vice versa.

","{'neutral': 27, 'entailed': 64, 'contradicted': 77}",neutral,if_else,18.832608,neutral,neutral,contradiction,neutral,6.34,6.34,True,65,0.509804,7,1.0
