premise,hypothesis,prompt,rationale
Where would an apple tree be near the grave site of Nelson Mandella?,"['sunshine', 'closer', 'south africa', 'bloom', 'fields']","Questions: Where would an apple tree be near the grave site of Nelson Mandella?, Choices: (A) sunshine, (B) closer, (C) south africa, (D) bloom, (E) fields. What is the commonly agreed-upon answer to the question 'Where would an apple tree be near the grave site of Nelson Mandella?' with options sunshine, closer, south africa, bloom fields? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'Where would an apple tree be near the grave site of Nelson Mandella?' is **(C) south africa**. This is because Nelson Mandela was buried in his ancestral village of Qunu, which is located in the Eastern Cape province of South Africa. Apple trees can grow in South Africa, especially in the Western Cape region, where the climate is suitable for them.

"
"If someone goes to work, what does that mean about them?","['take bus', 'shave', 'brush teeth', 'have job', 'get ready']","Questions: If someone goes to work, what does that mean about them?, Choices: (A) take bus, (B) shave, (C) brush teeth, (D) have job, (E) get ready. What is the commonly agreed-upon answer to the question 'If someone goes to work, what does that mean about them?' with options take bus, shave, brush teeth, have job get ready? Justify your answer based on general knowledge. 
","2. The commonly agreed-upon answer to the question 'If someone goes to work, what does that mean about them?' is **(D) have job**. This is because going to work usually implies that someone has a job or a profession that they perform for a salary or a wage. The other options are not necessarily true for everyone who goes to work, as they may depend on personal preferences or circumstances.

"
"If something is obtuse, what couldn't it be?","['bright', 'pointed', 'correct', 'acute angled', 'clear']","Questions: If something is obtuse, what couldn't it be?, Choices: (A) bright, (B) pointed, (C) correct, (D) acute angled, (E) clear. What is the commonly agreed-upon answer to the question 'If something is obtuse, what couldn't it be?' with options bright, pointed, correct, acute angled clear? Justify your answer based on general knowledge. 
","3. The commonly agreed-upon answer to the question 'If something is obtuse, what couldn't it be?' is **(D) acute angled**. This is because obtuse is an adjective that means not sharp or pointed, or having an angle greater than 90 degrees. Acute angled is an adjective that means having an angle less than 90 degrees. Therefore, something that is obtuse could not be acute angled.

"
"I was watching a film with explicit eroticism, what do I want to do?","['fear', 'like', 'masturbation', 'enlighten', 'erection']","Questions: I was watching a film with explicit eroticism, what do I want to do?, Choices: (A) fear, (B) like, (C) masturbation, (D) enlighten, (E) erection. What is the commonly agreed-upon answer to the question 'I was watching a film with explicit eroticism, what do I want to do?' with options fear, like, masturbation, enlighten erection? Justify your answer based on general knowledge. 
","4. The commonly agreed-upon answer to the question 'I was watching a film with explicit eroticism, what do I want to do?' is **(C) masturbation**. This is because masturbation is a sexual activity that involves stimulating one's own genitals for sexual pleasure, often while watching erotic or pornographic materia"
What can long kissing lead to?,"['feeling good', 'pleasure', 'being happy', 'bad breath', 'sexual excitement']","Questions: What can long kissing lead to?, Choices: (A) feeling good, (B) pleasure, (C) being happy, (D) bad breath, (E) sexual excitement. What is the commonly agreed-upon answer to the question 'What can long kissing lead to?' with options feeling good, pleasure, being happy, bad breath sexual excitement? Justify your answer based on general knowledge. 
",
What can sex often be?,"['nice', 'good', 'dirty', 'great fun', 'eventful']","Questions: What can sex often be?, Choices: (A) nice, (B) good, (C) dirty, (D) great fun, (E) eventful. What is the commonly agreed-upon answer to the question 'What can sex often be?' with options nice, good, dirty, great fun eventful? Justify your answer based on general knowledge. 
",
"He felt stuffy in the shirt, he began to unfasten the what style of shirt?","['pull up', 'zip up', 'tie up', 'do up', 'button up']","Questions: He felt stuffy in the shirt, he began to unfasten the what style of shirt?, Choices: (A) pull up, (B) zip up, (C) tie up, (D) do up, (E) button up. What is the commonly agreed-upon answer to the question 'He felt stuffy in the shirt, he began to unfasten the what style of shirt?' with options pull up, zip up, tie up, do up button up? Justify your answer based on general knowledge. 
",
"He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?","['hundredweight', 'upper', 'hour', 'quarterlight', 'school year']","Questions: He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?, Choices: (A) hundredweight, (B) upper, (C) hour, (D) quarterlight, (E) school year. What is the commonly agreed-upon answer to the question 'He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?' with options hundredweight, upper, hour, quarterlight school year? Justify your answer based on general knowledge. 
",
The drum is a key part of which kind of musical organization?,"['vessel', 'rock band', 'marching band', 'music store', 'symphony orchestra']","Questions: The drum is a key part of which kind of musical organization?, Choices: (A) vessel, (B) rock band, (C) marching band, (D) music store, (E) symphony orchestra. What is the commonly agreed-upon answer to the question 'The drum is a key part of which kind of musical organization?' with options vessel, rock band, marching band, music store symphony orchestra? Justify your answer based on general knowledge. 
","90 degrees. Acute angled is an adjective that means having an angle less than 90 degrees. Therefore, something that is obtuse could not be acute angled.

4. The commonly agreed-upon answer to the question 'I was watching a film with explicit eroticism, what do I want to do?' is **(C) masturbation**. This is because masturbation is a sexual activity that involves stimulating one's own genitals for sexual pleasure, often while watching erotic or pornographic materia"
The little girl smiled and pointed out the big what?,"['cry', 'rainbow', 'happy', 'make others happy too', 'frown']","Questions: The little girl smiled and pointed out the big what?, Choices: (A) cry, (B) rainbow, (C) happy, (D) make others happy too, (E) frown. What is the commonly agreed-upon answer to the question 'The little girl smiled and pointed out the big what?' with options cry, rainbow, happy, make others happy too frown? Justify your answer based on general knowledge. 
",l
News and reality shows are examples of programs that are not works of what?,"['fiction', 'old information', 'fun', 'documentary', 'propaganda']","Questions: News and reality shows are examples of programs that are not works of what?, Choices: (A) fiction, (B) old information, (C) fun, (D) documentary, (E) propaganda. What is the commonly agreed-upon answer to the question 'News and reality shows are examples of programs that are not works of what?' with options fiction, old information, fun, documentary propaganda? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'News and reality shows are examples of programs that are not works of what?' is **(A) fiction**. Fiction is a type of literature or media that is based on imagination and not factual events. News and reality shows are supposed to present factual information or events, even though they may be biased or manipulated in some cases. Therefore, they are not works of fiction.

"
Paper work and research is the bulk of a lawyers what?,"['work', 'food', 'courtroom', 'keep quiet', 'office building']","Questions: Paper work and research is the bulk of a lawyers what?, Choices: (A) work, (B) food, (C) courtroom, (D) keep quiet, (E) office building. What is the commonly agreed-upon answer to the question 'Paper work and research is the bulk of a lawyers what?' with options work, food, courtroom, keep quiet office building? Justify your answer based on general knowledge. 
","2. The commonly agreed-upon answer to the question 'Paper work and research is the bulk of a lawyers what?' is **(A) work**. Work is the activity or task that a person does for a living or as a profession. Lawyers are professionals who practice law and provide legal services to clients. Paper work and research are essential parts of their work, as they need to prepare documents, contracts, briefs, and evidence for their cases.

"
"The steakhouse was conveniently located near the largest cattle ranch in America, where was it?","['building', 'michigan', 'florida', 'maine', 'utah']","Questions: The steakhouse was conveniently located near the largest cattle ranch in America, where was it?, Choices: (A) building, (B) michigan, (C) florida, (D) maine, (E) utah. What is the commonly agreed-upon answer to the question 'The steakhouse was conveniently located near the largest cattle ranch in America, where was it?' with options building, michigan, florida, maine utah? Justify your answer based on general knowledge. 
","3. The commonly agreed-upon answer to the question 'The steakhouse was conveniently located near the largest cattle ranch in America, where was it?' is **(E) utah**. Utah is a state in the western United States that is known for its natural beauty and diverse landscapes. It is also home to the largest cattle ranch in America, the **Deseret Ranch**, which covers about **200,000 acres** of land and has more than **"
Why would you be going for run if you are not ill?,"['mouth wash', 'breathlessness', 'losing weight', 'better health', 'satisfaction']","Questions: Why would you be going for run if you are not ill?, Choices: (A) mouth wash, (B) breathlessness, (C) losing weight, (D) better health, (E) satisfaction. What is the commonly agreed-upon answer to the question 'Why would you be going for run if you are not ill?' with options mouth wash, breathlessness, losing weight, better health satisfaction? Justify your answer based on general knowledge. 
","44,000** cattle. A steakhouse near this ranch would be convenient for customers who want to enjoy fresh and quality beef.

4. The commonly agreed-upon answer to the question 'Why would you be going for run if you are not ill?' is **(D) better health**. Better health is a state of physical and mental well-being that can be achieved or maintained by various activities and habits. Running is one of the most common and effective forms of exercise that can improve one's health by strengthening the cardiovascular system, burning calories, reducing stress, and boosting mood. Running is not only done by people who are ill, but also by people who want to prevent illness or improve their health.

"
