premise,hypothesis,rationale,prompt
"When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?","['exhilaration', 'clear head', 'feeling better', 'reviving', 'happiness']","1. The correct answer is (A) exhilaration. Exhilaration means a feeling of excitement, happiness, or elation. When a person climbs a mountain and is breathing fresh air, they are likely to feel exhilarated by the achievement, the scenery, and the freshness of the air.

","Questions: When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?, Choices: (A) exhilaration, (B) clear head, (C) feeling better, (D) reviving, (E) happiness. What is the correct answer to the question 'When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?' with the options exhilaration, clear head, feeling better, reviving happiness? Provide a straightforward explanation. 
"
"When a stressed person is breathing fresh air, what are they often looking to do?","['feeling better', 'reviving', 'relaxing', 'clear head', 'exhilaration']","2. The correct answer is (C) relaxing. Relaxing means reducing tension or anxiety. When a stressed person is breathing fresh air, they are often looking to relax their mind and body, and to calm their nerves.

","Questions: When a stressed person is breathing fresh air, what are they often looking to do?, Choices: (A) feeling better, (B) reviving, (C) relaxing, (D) clear head, (E) exhilaration. What is the correct answer to the question 'When a stressed person is breathing fresh air, what are they often looking to do?' with the options feeling better, reviving, relaxing, clear head exhilaration? Provide a straightforward explanation. 
"
What do humans have for speaking?,"['one hand', 'one mouth', 'two ears', 'brains', 'two legs']","3. The correct answer is (B) one mouth. A mouth is the part of the face that is used for speaking, eating, and breathing. Humans have one mouth for speaking, while other animals may have different organs or methods for communication.

","Questions: What do humans have for speaking?, Choices: (A) one hand, (B) one mouth, (C) two ears, (D) brains, (E) two legs. What is the correct answer to the question 'What do humans have for speaking?' with the options one hand, one mouth, two ears, brains two legs? Provide a straightforward explanation. 
"
What do humans have that cerberus does not have?,"['one head', 'two ears', 'lay eggs', '3 legs', 'two feet']","4. The correct answer is (A) one head. A head is the upper part of the body that contains the brain, the eyes, the ears, the nose, and the mouth. Humans have one head, while cerberus is a mythical creature that has three heads.

","Questions: What do humans have that cerberus does not have?, Choices: (A) one head, (B) two ears, (C) lay eggs, (D) 3 legs, (E) two feet. What is the correct answer to the question 'What do humans have that cerberus does not have?' with the options one head, two ears, lay eggs, 3 legs two feet? Provide a straightforward explanation. 
"
What do humans have that is different than most animals?,"['brains', 'fur', 'one mouth', 'two legs', 'two feet']","5. The correct answer is (D) two legs. Legs are the limbs that are used for walking, running, or standing. Humans have two legs, while most animals have four or more legs.

","Questions: What do humans have that is different than most animals?, Choices: (A) brains, (B) fur, (C) one mouth, (D) two legs, (E) two feet. What is the correct answer to the question 'What do humans have that is different than most animals?' with the options brains, fur, one mouth, two legs two feet? Provide a straightforward explanation. 
"
What do humans often do while they're asleep?,"['dream dreams', 'think critically', 'drink coffee', 'cross road', 'earn money']","6. The correct answer is (A) dream dreams. Dreams are the images, thoughts, or emotions that occur in the mind during sleep. Humans often dream while they are asleep, while other activities such as thinking critically, drinking coffee, crossing road, or earning money are usually done while awake.

","Questions: What do humans often do while they're asleep?, Choices: (A) dream dreams, (B) think critically, (C) drink coffee, (D) cross road, (E) earn money. What is the correct answer to the question 'What do humans often do while they're asleep?' with the options dream dreams, think critically, drink coffee, cross road earn money? Provide a straightforward explanation. 
"
What do humans take in while breathing?,"['lungs and diaphram', 'oxygen', 'abdominal muscles', 'air', 'open throat']","7. The correct answer is (B) oxygen. Oxygen is a gas that is essential for life and is taken in by the lungs while breathing. Humans take in oxygen while breathing, while other terms such as lungs and diaphragm, abdominal muscles, air, or open throat are parts of the respiratory system or the process of breathing.

","Questions: What do humans take in while breathing?, Choices: (A) lungs and diaphram, (B) oxygen, (C) abdominal muscles, (D) air, (E) open throat. What is the correct answer to the question 'What do humans take in while breathing?' with the options lungs and diaphram, oxygen, abdominal muscles, air open throat? Provide a straightforward explanation. 
"
Where is the trevi fountain?,"['grant park chicago', 'public place', 'waterfall', 'rome', 'courtyard']","8. The correct answer is (D) rome. Rome is the capital city of Italy and the location of the trevi fountain. The trevi fountain is a famous baroque fountain that is visited by many tourists. Grant park chicago, public place, waterfall, or courtyard are not the correct names or descriptions of the trevi fountain.

","Questions: Where is the trevi fountain?, Choices: (A) grant park chicago, (B) public place, (C) waterfall, (D) rome, (E) courtyard. What is the correct answer to the question 'Where is the trevi fountain?' with the options grant park chicago, public place, waterfall, rome courtyard? Provide a straightforward explanation. 
"
"John was cleaning out the old house.  while there was nothing upstairs, he found a bunch of old stuff somewhere else.  Where did he find stuff?","['loft', 'attic', 'museum', 'cellar', 'waste bin']","9. The correct answer is (D) cellar. A cellar is a room below the ground level of a house that is used for storage. John was cleaning out the old house and found a bunch of old stuff in the cellar, while there was nothing upstairs. Loft, attic, museum, or waste bin are not the places where John found the old stuff.

","Questions: John was cleaning out the old house.  while there was nothing upstairs, he found a bunch of old stuff somewhere else.  Where did he find stuff?, Choices: (A) loft, (B) attic, (C) museum, (D) cellar, (E) waste bin. What is the correct answer to the question 'John was cleaning out the old house.  while there was nothing upstairs, he found a bunch of old stuff somewhere else.  Where did he find stuff?' with the options loft, attic, museum, cellar waste bin? Provide a straightforward explanation. 
"
"John was going bathing in a public hot spring in japan, but he was embarrassed. What wasn't he comfortable with?","['cleanliness', 'other people', 'dry skin', 'use soap', 'nudity']","10. The correct answer is (E) nudity. Nudity means the state of being naked or without clothes. John was going bathing in a public hot spring in Japan, but he was embarrassed by the nudity. In Japan, it is customary to bathe naked in public hot springs, but some people may feel uncomfortable with this. Cleanliness, other people, dry skin, or use soap are not the reasons why John was embarrassed.","Questions: John was going bathing in a public hot spring in japan, but he was embarrassed. What wasn't he comfortable with?, Choices: (A) cleanliness, (B) other people, (C) dry skin, (D) use soap, (E) nudity. What is the correct answer to the question 'John was going bathing in a public hot spring in japan, but he was embarrassed. What wasn't he comfortable with?' with the options cleanliness, other people, dry skin, use soap nudity? Provide a straightforward explanation. 
"
