|premise|hypothesis|rationales
0|A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.|A man is hanging off of a clothesline.|"1. The commonly agreed-upon answer is ""contradiction."" The premise describes a man standing on a platform in front of a large black cylinder device and fabric on a clothesline, while the hypothesis suggests that the man is hanging off of a clothesline. These two descriptions are contradictory because the premise does not indicate any connection between the clothesline and the man hanging from it."
1|Two girls wearing skirts like the flag of Great Britain.|a couple want to eat a flag.|"2. The commonly agreed-upon answer is ""neutral."" The premise states that two girls are wearing skirts like the flag of Great Britain, while the hypothesis suggests that a couple wants to eat a flag. These two descriptions do not have any logical connection, so the answer is neutral."
2|Dog leaps from water while woman kneels on the dock playing with him|A woman and dog sit on a dock together.|"3. The commonly agreed-upon answer is ""entailment."" The premise describes a dog leaping from water while a woman kneels on the dock playing with him, which implies that the woman and dog are together on the dock. Therefore, the hypothesis that a woman and dog sit on a dock together is an entailment of the premise."
3|A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.|The clothed man is cleaning the carpet|"4. The commonly agreed-upon answer is ""entailment."" The premise describes a bald man in an orange shirt and jeans vacuuming an office carpet with a carry-along canister vacuum, which implies that the man is cleaning the carpet. Therefore, the hypothesis that the clothed man is cleaning the carpet is an entailment of the premise."
4|A boy stands beside a railing at a go kart track.|The boy is going to ride a go kart.|"5. The commonly agreed-upon answer is ""neutral."" The premise states that a boy stands beside a railing at a go kart track, while the hypothesis suggests that the boy is going to ride a go kart. These two descriptions do not have any logical connection, so the answer is neutral."
5|A street performer playing banjo on a city street.|a person playing an instrument in the street|"6. The commonly agreed-upon answer is ""entailment."" The premise describes a street performer playing banjo on a city street, which implies that a person is playing an instrument in the street. Therefore, the hypothesis that a person is playing an instrument in the street is an entailment of the premise."
6|Group of blue shirted people.|A group of people.|"7. The commonly agreed-upon answer is ""neutral."" The premise states that there is a group of blue-shirted people, while the hypothesis suggests that there is a group of people. These two descriptions do not have any logical connection, so the answer is neutral."
7|A woman dressed in all white in a crosswalk.|A woman in a all white in a crosswalk.|"8. The commonly agreed-upon answer is ""entailment."" The premise describes a woman dressed in all white in a crosswalk, which implies that there is a woman in all white in a crosswalk. Therefore, the hypothesis that there is a woman in all white in a crosswalk is an entailment of the premise."
8|Behind the fence spectators are looking at the golfer with the club in his hand.|The people are watching the golfer.|"9. The commonly agreed-upon answer is ""entailment."" The premise describes spectators looking at a golfer with a club in his hand from behind a fence, which implies that the people are watching the golfer. Therefore, the hypothesis that the people are watching the golfer is an entailment of the premise."
9|The man and one of the women have their hands raised.|The man and one of the women have their hands raised to answer a question.|"10. The commonly agreed-upon answer is ""entailment."" The premise states that the man and one of the women have their hands raised, which implies that they have their hands raised. Therefore, the hypothesis that the man and one of the women have their hands raised to answer a question is an entailment of the premise."
10|A line of people are standing on the edge of a snow covered path overlooking the clouds in the mountains.|girl in hammoch alone|1. The commonly agreed-upon answer to the premise 'A line of people are standing on the edge of a snow-covered path overlooking the clouds in the mountains' is neutral. This is because the premise does not provide any information about whether there is a girl in a hammock alone or not. The hypothesis is not contradictory to the premise but also does not necessarily entail it.
11|Two cyclists racing to the finish line.|The cyclists race each other outdoors.|2. The commonly agreed-upon answer to the premise 'Two cyclists racing to the finish line' and hypothesis 'The cyclists race each other outdoors' is entailment. This is because the hypothesis logically follows from the premise. If two cyclists are racing to the finish line, it can be inferred that they are racing each other outdoors.
12|A woman on a bicycle stops for a moment to converse.|A female bicyclist chats briefly with a chum.|3. The commonly agreed-upon answer to the premise 'A woman on a bicycle stops for a moment to converse' and hypothesis 'A female bicyclist chats briefly with a chum' is entailment. This is because the hypothesis can be logically inferred from the premise. If a woman on a bicycle stops to converse, it implies that she is chatting briefly with someone, possibly a friend (chum).
13|Two people walk down the street.|People walking down a street.|4. The commonly agreed-upon answer to the premise 'Two people walk down the street' and hypothesis 'People walking down a street' is entailment. This is because the hypothesis logically follows from the premise. If two people are walking down the street, it can be inferred that there are people walking down a street.
14|A Teenage boy does tricks on his skateboard along the edge of a three-foot, graffiti covered wall's edge|The young boy is sleeping on the wall.|5. The commonly agreed-upon answer to the premise 'A teenage boy does tricks on his skateboard along the edge of a three-foot, graffiti-covered wall's edge' and hypothesis 'The young boy is sleeping on the wall' is contradiction. This is because the hypothesis contradicts the premise. The premise states that the boy is doing tricks on his skateboard, while the hypothesis states that he is sleeping on the wall.
15|A black dog jumps into a pool that has many yellow balls in it.|The dog is a purebred Golden Retriever.|6. The commonly agreed-upon answer to the premise 'A black dog jumps into a pool that has many yellow balls in it' and hypothesis 'The dog is a purebred Golden Retriever' is contradiction. This is because the hypothesis contradicts the premise. The premise describes a black dog, while the hypothesis states that the dog is a purebred Golden Retriever, which implies a different breed and color.
16|A little boy with rain boots takes a walk in the park.|The little boy is walking in the park as it's about to rain.|7. The commonly agreed-upon answer to the premise 'A little boy with rain boots takes a walk in the park' and hypothesis 'The little boy is walking in the park as it's about to rain' is neutral. This is because the premise does not provide enough information to determine whether it is about to rain or not. The hypothesis is not contradictory to the premise but also does not necessarily entail it.
17|A little girl, with blond-hair and a red shirt on, is playing in a big box.|A girl playing in a box|8. The commonly agreed-upon answer to the premise 'A little girl, with blond hair and a red shirt on, is playing in a big box' and hypothesis 'A girl playing in a box' is entailment. This is because the hypothesis can be logically inferred from the premise. If a little girl with blond hair and a red shirt is playing in a big box, it implies that she is a girl playing in a box.
18|A man and boy is looking for something on the ground.|A man and boy looking for pennies on the ground.|9. The commonly agreed-upon answer to the premise 'A man and boy are looking for something on the ground' and hypothesis 'A man and boy looking for pennies on the ground' is entailment. This is because the hypothesis can be logically inferred from the premise. If a man and boy are looking for something on the ground, it implies that they could be looking for pennies or any other item.
19|A Woman working a food stand with lots of desserts.|The woman is serving food.|10. The commonly agreed-upon answer to the premise 'A woman working a food stand with lots of desserts' and hypothesis 'The woman is serving food' is entailment. This is because the hypothesis logically follows from the premise. If a woman is working a food stand with lots of desserts, it can be inferred that she is serving food.
