Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,label_match,word_count,overlap_score
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,"Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is training his horse for a competition.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is training his horse for a competition. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","1. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the person is training his horse for a competition, but it is not necessarily the case. There could be other reasons why the person is jumping over a broken down airplane.","1. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the person is training his horse for a competition, but it is not necessarily the case. there could be other reasons why the person is jumping over a broken down airplane.

",{'neutral': 27},neutral,neutral,5.96,neutral,neutral,True,50,0.333333
1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is at a diner, ordering an omelette.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is at a diner, ordering an omelette. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","2. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.","2. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.

",{'contradiction': 27},contradiction,neutral,5.790588,contradiction,contradiction,True,43,0.411765
2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is outdoors, on a horse.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is outdoors, on a horse. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","3. The correct answer is **entailment**. The premise implies the hypothesis. If the person is on a horse jumping over a broken down airplane, then he or she must be outdoors, on a horse.","3. the correct answer is **entailment**. the premise implies the hypothesis. if the person is on a horse jumping over a broken down airplane, then he or she must be outdoors, on a horse.

",{'entailment': 27},entailment,neutral,5.9,entailment,entailment,True,34,0.4
3,Children smiling and waving at camera,They are smiling at their parents,"Premise: Children smiling and waving at camera, Hypothesis: They are smiling at their parents. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis They are smiling at their parents with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","4. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the children are smiling at their parents, but it is not necessarily the case. There could be other reasons why the children are smiling and waving at the camera.","4. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the children are smiling at their parents, but it is not necessarily the case. there could be other reasons why the children are smiling and waving at the camera.

",{'neutral': 27},neutral,neutral,5.905455,neutral,neutral,True,48,0.272727
4,Children smiling and waving at camera,There are children present,"Premise: Children smiling and waving at camera, Hypothesis: There are children present. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis There are children present with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","5. The correct answer is **entailment**. The premise implies the hypothesis. If there are children smiling and waving at the camera, then there are children present.","5. the correct answer is **entailment**. the premise implies the hypothesis. if there are children smiling and waving at the camera, then there are children present.

",{'entailment': 27},entailment,neutral,5.966316,entailment,entailment,True,26,0.473684
5,Children smiling and waving at camera,The kids are frowning,"Premise: Children smiling and waving at camera, Hypothesis: The kids are frowning. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis The kids are frowning with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","6. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the children are smiling and waving at the camera, then they are not frowning.","6. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the children are smiling and waving at the camera, then they are not frowning.

",{'contradiction': 27},contradiction,neutral,5.805714,contradiction,contradiction,True,29,0.428571
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy skates down the sidewalk.. What is the correct answer to the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy skates down the sidewalk. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","7. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the boy is jumping on skateboard in the middle of a red bridge, then he is not skating down the sidewalk.","7. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the boy is jumping on skateboard in the middle of a red bridge, then he is not skating down the sidewalk.

",{'contradiction': 27},contradiction,neutral,5.87,contradiction,contradiction,True,36,0.5
7,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy does a skateboarding trick.. What is the correct answer to the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy does a skateboarding trick. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","8. The correct answer is **entailment**. The premise implies the hypothesis. If the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.","8. the correct answer is **entailment**. the premise implies the hypothesis. if the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.

",{'entailment': 27},entailment,neutral,6.065,entailment,entailment,True,32,0.583333
8,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,,The boy is not wearing safety equipment.,,,contradiction,paper,0.55,contradiction,contradiction,True,7,0.0
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,"Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background., Hypothesis: An older man drinks his juice as he waits for his daughter to get off work.. What is the correct answer to the premise 'An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.' and hypothesis An older man drinks his juice as he waits for his daughter to get off work. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","10. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. There could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.","10. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. there could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.",{'neutral': 28},neutral,neutral,6.11,neutral,neutral,True,65,0.5
