premise,hypothesis,prompt,rationale
What could you do if you want to get free stuff that is worth money?,"['apply for job', 'win auction', 'stand in line', 'take care of proposals', 'buy christmas presents']","Questions: What could you do if you want to get free stuff that is worth money?, Choices: (A) apply for job, (B) win auction, (C) stand in line, (D) take care of proposals, (E) buy christmas presents. For the question 'What could you do if you want to get free stuff that is worth money?', what is the correct answer among the choices apply for job, win auction, stand in line, take care of proposals buy christmas presents? Explain the cause-and-effect relationship between the question and your chosen answer.
","1. The correct answer is (C) stand in line. This is because standing in line can sometimes result in getting free stuff that is worth money, such as samples, giveaways, or promotions. The other choices do not guarantee getting free stuff, and some of them require spending money or effort.

"
What country was known to have many amphitheatres?,"['movie house', 'underground', 'greece', 'park', 'outside']","Questions: What country was known to have many amphitheatres?, Choices: (A) movie house, (B) underground, (C) greece, (D) park, (E) outside. For the question 'What country was known to have many amphitheatres?', what is the correct answer among the choices movie house, underground, greece, park outside? Explain the cause-and-effect relationship between the question and your chosen answer.
","2. The correct answer is (C) greece. This is because Greece was known to have many amphitheatres, which are open-air venues for performances, ceremonies, or spectacles. The other choices are not countries, and they do not necessarily have many amphitheatres.

"
What covers the bones in a human body?,"['matter', 'muscle', 'flesh', 'skin and', 'cartilage']","Questions: What covers the bones in a human body?, Choices: (A) matter, (B) muscle, (C) flesh, (D) skin and, (E) cartilage. For the question 'What covers the bones in a human body?', what is the correct answer among the choices matter, muscle, flesh, skin and cartilage? Explain the cause-and-effect relationship between the question and your chosen answer.
","3. The correct answer is (D) skin. This is because skin is the outermost layer of the human body that covers the bones and other organs. The other choices are not the correct terms for what covers the bones, and some of them are part of the bones themselves.

"
What do people employ for finding information?,"['ask questions', 'searching for', 'logic', 'engage in tasks', 'time']","Questions: What do people employ for finding information?, Choices: (A) ask questions, (B) searching for, (C) logic, (D) engage in tasks, (E) time. For the question 'What do people employ for finding information?', what is the correct answer among the choices ask questions, searching for, logic, engage in tasks time? Explain the cause-and-effect relationship between the question and your chosen answer.
","4. The correct answer is (A) ask questions. This is because asking questions is a common and effective way of finding information, as it can elicit answers from other sources or oneself. The other choices are not the only or the best ways of finding information, and some of them are too vague or irrelevant.

"
What do people feel when something good happens?,"['experience joy', 'believe in god', 'sadness', 'get sick', 'ask questions']","Questions: What do people feel when something good happens?, Choices: (A) experience joy, (B) believe in god, (C) sadness, (D) get sick, (E) ask questions. For the question 'What do people feel when something good happens?', what is the correct answer among the choices experience joy, believe in god, sadness, get sick ask questions? Explain the cause-and-effect relationship between the question and your chosen answer.
","5. The correct answer is (A) experience joy. This is because joy is a positive emotion that people feel when something good happens, such as achieving a goal, receiving a gift, or having fun. The other choices are not the typical or universal reactions to something good happening, and some of them are negative or unrelated.

"
What geological feature is made mostly of rock?,"['countryside', 'ground', 'street', 'mountain range', 'bridge']","Questions: What geological feature is made mostly of rock?, Choices: (A) countryside, (B) ground, (C) street, (D) mountain range, (E) bridge. For the question 'What geological feature is made mostly of rock?', what is the correct answer among the choices countryside, ground, street, mountain range bridge? Explain the cause-and-effect relationship between the question and your chosen answer.
","6. The correct answer is (D) mountain range. This is because a mountain range is a geological feature that is made mostly of rock, as it consists of a series of mountains that are formed by tectonic forces or volcanic activity. The other choices are not geological features, or they are not made mostly of rock.

"
What is a bad but frequent reason for hurting someone else?,"['feel sad', 'more hurt', 'disatisfaction', 'sadness', 'punishment']","Questions: What is a bad but frequent reason for hurting someone else?, Choices: (A) feel sad, (B) more hurt, (C) disatisfaction, (D) sadness, (E) punishment. For the question 'What is a bad but frequent reason for hurting someone else?', what is the correct answer among the choices feel sad, more hurt, disatisfaction, sadness punishment? Explain the cause-and-effect relationship between the question and your chosen answer.
","7. The correct answer is (C) disatisfaction. This is because dissatisfaction is a bad but frequent reason for hurting someone else, as it can cause anger, resentment, or jealousy that can lead to violence or abuse. The other choices are not reasons for hurting someone else, or they are consequences or causes of being hurt.

"
What is a characteristic of thin glass?,"['break easily', 'shattering', 'melt', 'bend', 'hold water']","Questions: What is a characteristic of thin glass?, Choices: (A) break easily, (B) shattering, (C) melt, (D) bend, (E) hold water. For the question 'What is a characteristic of thin glass?', what is the correct answer among the choices break easily, shattering, melt, bend hold water? Explain the cause-and-effect relationship between the question and your chosen answer.
","8. The correct answer is (A) break easily. This is because breaking easily is a characteristic of thin glass, as it has less resistance to pressure or impact than thicker glass. The other choices are not characteristics of thin glass, or they are not specific to thin glass.

"
What is a child going to play likely to feel?,"['have fun', 'sleepy', 'rush', 'enjoyment', 'meet']","Questions: What is a child going to play likely to feel?, Choices: (A) have fun, (B) sleepy, (C) rush, (D) enjoyment, (E) meet. For the question 'What is a child going to play likely to feel?', what is the correct answer among the choices have fun, sleepy, rush, enjoyment meet? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is (D) enjoyment. This is because enjoyment is a feeling that a child going to play is likely to feel, as playing is usually a fun and pleasant activity that can bring happiness or satisfaction. The other choices are not feelings that a child going to play is likely to feel, or they are less common or relevant.

"
What is a child likely hoping to achieve by going to play?,"['have fun', 'enjoyment', 'rush', 'being entertained', 'get hungry']","Questions: What is a child likely hoping to achieve by going to play?, Choices: (A) have fun, (B) enjoyment, (C) rush, (D) being entertained, (E) get hungry. For the question 'What is a child likely hoping to achieve by going to play?', what is the correct answer among the choices have fun, enjoyment, rush, being entertained get hungry? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is (A) have fun. This is because having fun is a likely goal that a child hopes to achieve by going to play, as playing is often a source of amusement, entertainment, or excitement. The other choices are not goals that a child hopes to achieve by going to play, or they are less important or related."
What is a child likely to do while going to play?,"['laugh', 'sit', 'happiness', 'being entertained', 'walk slowly']","Questions: What is a child likely to do while going to play?, Choices: (A) laugh, (B) sit, (C) happiness, (D) being entertained, (E) walk slowly. For the question 'What is a child likely to do while going to play?', what is the correct answer among the choices laugh, sit, happiness, being entertained walk slowly? Explain the cause-and-effect relationship between the question and your chosen answer.
","1. The correct answer is (A) laugh. A child is likely to laugh while going to play because laughing is a sign of joy and excitement. The cause-and-effect relationship is that playing causes the child to feel happy, and happiness causes the child to laugh.

"
