premise,hypothesis,prompt,rationale
Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike,Tall humans waiting,"Premise: Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike, Hypothesis: Tall humans waiting. Based on what is historically known, what is the most likely answer to the premise 'Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike' and hypothesis Tall humans waiting with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike,Nobody is waiting,"Premise: Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike, Hypothesis: Nobody is waiting. Based on what is historically known, what is the most likely answer to the premise 'Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike' and hypothesis Nobody is waiting with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
two dogs playing,The two dogs are sleeping under the porch of the house.,"Premise: two dogs playing, Hypothesis: The two dogs are sleeping under the porch of the house.. Based on what is historically known, what is the most likely answer to the premise 'two dogs playing' and hypothesis The two dogs are sleeping under the porch of the house. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
two dogs playing,There are two animals in this picture.,"Premise: two dogs playing, Hypothesis: There are two animals in this picture.. Based on what is historically known, what is the most likely answer to the premise 'two dogs playing' and hypothesis There are two animals in this picture. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
two dogs playing,"The two dogs are chasing a frisbee across the field, thrown over and over by their owner.","Premise: two dogs playing, Hypothesis: The two dogs are chasing a frisbee across the field, thrown over and over by their owner.. Based on what is historically known, what is the most likely answer to the premise 'two dogs playing' and hypothesis The two dogs are chasing a frisbee across the field, thrown over and over by their owner. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
Two dogs look at one another outside.,Two dogs are outside.,"Premise: Two dogs look at one another outside., Hypothesis: Two dogs are outside.. Based on what is historically known, what is the most likely answer to the premise 'Two dogs look at one another outside.' and hypothesis Two dogs are outside. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
Two dogs look at one another outside.,Two dogs are in the backyard glaring at each other over which will get to reach the bone first.,"Premise: Two dogs look at one another outside., Hypothesis: Two dogs are in the backyard glaring at each other over which will get to reach the bone first.. Based on what is historically known, what is the most likely answer to the premise 'Two dogs look at one another outside.' and hypothesis Two dogs are in the backyard glaring at each other over which will get to reach the bone first. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
Two dogs look at one another outside.,Four dogs look at one another inside.,"Premise: Two dogs look at one another outside., Hypothesis: Four dogs look at one another inside.. Based on what is historically known, what is the most likely answer to the premise 'Two dogs look at one another outside.' and hypothesis Four dogs look at one another inside. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
Two small dogs run across the green grass.,Two little dogs run across the grass.,"Premise: Two small dogs run across the green grass., Hypothesis: Two little dogs run across the grass.. Based on what is historically known, what is the most likely answer to the premise 'Two small dogs run across the green grass.' and hypothesis Two little dogs run across the grass. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
Two small dogs run across the green grass.,animals are running outdoors,"Premise: Two small dogs run across the green grass., Hypothesis: animals are running outdoors. Based on what is historically known, what is the most likely answer to the premise 'Two small dogs run across the green grass.' and hypothesis animals are running outdoors with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
",
