premise,hypothesis,prompt,rationale
"He felt stuffy in the shirt, he began to unfasten the what style of shirt?","['pull up', 'zip up', 'tie up', 'do up', 'button up']","Questions: He felt stuffy in the shirt, he began to unfasten the what style of shirt?, Choices: (A) pull up, (B) zip up, (C) tie up, (D) do up, (E) button up. What is the commonly agreed-upon answer to the question 'He felt stuffy in the shirt, he began to unfasten the what style of shirt?' with options pull up, zip up, tie up, do up button up? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer is **(E) button up**. A shirt that has buttons on the front can be unfastened by undoing the buttons. The other options do not make sense for a shirt style.
"
"He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?","['hundredweight', 'upper', 'hour', 'quarterlight', 'school year']","Questions: He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?, Choices: (A) hundredweight, (B) upper, (C) hour, (D) quarterlight, (E) school year. What is the commonly agreed-upon answer to the question 'He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?' with options hundredweight, upper, hour, quarterlight school year? Justify your answer based on general knowledge. 
","2. The commonly agreed-upon answer is **(C) hour**. A quarter past the hour means 15 minutes after the hour, such as 12:15 or "
The drum is a key part of which kind of musical organization?,"['vessel', 'rock band', 'marching band', 'music store', 'symphony orchestra']","Questions: The drum is a key part of which kind of musical organization?, Choices: (A) vessel, (B) rock band, (C) marching band, (D) music store, (E) symphony orchestra. What is the commonly agreed-upon answer to the question 'The drum is a key part of which kind of musical organization?' with options vessel, rock band, marching band, music store symphony orchestra? Justify your answer based on general knowledge. 
","3:15. This is a common way of telling time. The other options are not units of time or do not fit the context of the question.
3. The commonly agreed-upon answer is **(C) marching band**. A drum is a percussion instrument that is often used in a marching band, which is a group of musicians who perform while marching. The other options are either not musical organizations or do not typically use drums as a key part.
"
The little girl smiled and pointed out the big what?,"['cry', 'rainbow', 'happy', 'make others happy too', 'frown']","Questions: The little girl smiled and pointed out the big what?, Choices: (A) cry, (B) rainbow, (C) happy, (D) make others happy too, (E) frown. What is the commonly agreed-upon answer to the question 'The little girl smiled and pointed out the big what?' with options cry, rainbow, happy, make others happy too frown? Justify your answer based on general knowledge. 
",
Where is confetti thrown from the rooftops?,"['big cities', ""new year's eve"", 'air', 'shredder', 'streets']","Questions: Where is confetti thrown from the rooftops?, Choices: (A) big cities, (B) new year's eve, (C) air, (D) shredder, (E) streets. What is the commonly agreed-upon answer to the question 'Where is confetti thrown from the rooftops?' with options big cities, new year's eve, air, shredder streets? Justify your answer based on general knowledge. 
","5 minutes after the hour, such as 12:15 or 3:15. This is a common way of telling time. The other options are not units of time or do not fit the context of the question.
3. The commonly agreed-upon answer is **(C) marching band**. A drum is a percussion instrument that is often used in a marching band, which is a group of musicians who perform while marching. The other options are either not musical organizations or do not typically use drums as a key part.
4. The commonly agreed-upon answer is **(B) rainbow**. A rainbow is a colorful arc that appears in the sky after rain. It is something that a little girl might smile and point out. The other options are either not visible things or do not fit the context of the question.
5. The commonly agreed-upon answer is **(B) new year's eve**. Confetti is small pieces of paper that are thrown into the air to celebrate a festive occasion. It is often thrown from the rooftops in big cities on new year's eve, which is the last day of the year. The other options are either not places or do not fit the context of the question.
"
Where is gruber exacavation from?,"['quarry', 'park', 'egypt', 'work area', 'montana']","Questions: Where is gruber exacavation from?, Choices: (A) quarry, (B) park, (C) egypt, (D) work area, (E) montana. What is the commonly agreed-upon answer to the question 'Where is gruber exacavation from?' with options quarry, park, egypt, work area montana? Justify your answer based on general knowledge. 
","6. The commonly agreed-upon answer is **(E) montana**. Gruber excavation is a company that provides excavation and demolition services in Montana, USA. The other options are either not locations or do not fit the context of the question.
"
"The family was playing cards, what would be a reason for this?","['amusement', 'losing money', 'charmed', 'having fun', 'win money']","Questions: The family was playing cards, what would be a reason for this?, Choices: (A) amusement, (B) losing money, (C) charmed, (D) having fun, (E) win money. What is the commonly agreed-upon answer to the question 'The family was playing cards, what would be a reason for this?' with options amusement, losing money, charmed, having fun win money? Justify your answer based on general knowledge. 
","7. The commonly agreed-upon answer is **(A) amusement**. Amusement is the state of being entertained or having fun. The family was playing cards for amusement, which is a common reason for playing games. The other options are either not reasons or do not fit the context of the question.
"
What is the purpose of the cabin in an airplane?,"['crash', 'living', 'slow down', 'carry people', 'speed up']","Questions: What is the purpose of the cabin in an airplane?, Choices: (A) crash, (B) living, (C) slow down, (D) carry people, (E) speed up. What is the commonly agreed-upon answer to the question 'What is the purpose of the cabin in an airplane?' with options crash, living, slow down, carry people speed up? Justify your answer based on general knowledge. 
","8. The commonly agreed-upon answer is **(D) carry people**. The cabin in an airplane is the part where the passengers and crew sit. The purpose of the cabin is to carry people from one place to another by air. The other options are either not purposes or do not fit the context of the question.
"
Where do people keep a rubber for sex?,"['bedside table', 'drug store', 'classroom', 'closet', 'trash']","Questions: Where do people keep a rubber for sex?, Choices: (A) bedside table, (B) drug store, (C) classroom, (D) closet, (E) trash. What is the commonly agreed-upon answer to the question 'Where do people keep a rubber for sex?' with options bedside table, drug store, classroom, closet trash? Justify your answer based on general knowledge. 
","9. The commonly agreed-upon answer is **(A) bedside table**. A rubber is a slang term for a condom, which is a device used for sex to prevent pregnancy or sexually transmitted diseases. People often keep a rubber in their bedside table, which is a small table next to their bed. The other options are either not places or do not fit the context of the question.
"
While doing housework you came across a dusty corner which caused you to start doing what?,"['sneezing', 'tired', 'boredom', 'fatigue', 'anxiety']","Questions: While doing housework you came across a dusty corner which caused you to start doing what?, Choices: (A) sneezing, (B) tired, (C) boredom, (D) fatigue, (E) anxiety. What is the commonly agreed-upon answer to the question 'While doing housework you came across a dusty corner which caused you to start doing what?' with options sneezing, tired, boredom, fatigue anxiety? Justify your answer based on general knowledge. 
","10. The commonly agreed-upon answer is **(A) sneezing**. Sneezing is a reflex action that occurs when the nose is irritated by something, such as dust. While doing housework, one might come across a dusty corner that causes them to start sneezing. The other options are either not actions or do not fit the context of the question."
