Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,"Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is training his horse for a competition.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is training his horse for a competition. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","1. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the person is training his horse for a competition, but it is not necessarily the case. There could be other reasons why the person is jumping over a broken down airplane.","1. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the person is training his horse for a competition, but it is not necessarily the case. there could be other reasons why the person is jumping over a broken down airplane.

",{'neutral': 27},neutral,neutral,16.1075,neutral,neutral,neutral,neutral,5.93,5.93,True,50,0.333333,7,1.0
1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is at a diner, ordering an omelette.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is at a diner, ordering an omelette. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","2. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.","2. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.

",{'contradiction': 27},contradiction,neutral,15.938088,contradiction,contradiction,contradiction,contradiction,5.93,5.93,True,43,0.411765,7,1.0
2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is outdoors, on a horse.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is outdoors, on a horse. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","3. The correct answer is **entailment**. The premise implies the hypothesis. If the person is on a horse jumping over a broken down airplane, then he or she must be outdoors, on a horse.","3. the correct answer is **entailment**. the premise implies the hypothesis. if the person is on a horse jumping over a broken down airplane, then he or she must be outdoors, on a horse.

",{'entailment': 27},entailment,neutral,16.0475,entailment,entailment,entailment,entailment,5.93,5.93,True,34,0.4,7,1.0
3,Children smiling and waving at camera,They are smiling at their parents,"Premise: Children smiling and waving at camera, Hypothesis: They are smiling at their parents. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis They are smiling at their parents with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","4. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the children are smiling at their parents, but it is not necessarily the case. There could be other reasons why the children are smiling and waving at the camera.","4. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the children are smiling at their parents, but it is not necessarily the case. there could be other reasons why the children are smiling and waving at the camera.

",{'neutral': 27},neutral,neutral,16.052955,neutral,neutral,neutral,neutral,5.93,5.93,True,48,0.272727,7,1.0
4,Children smiling and waving at camera,There are children present,"Premise: Children smiling and waving at camera, Hypothesis: There are children present. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis There are children present with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","5. The correct answer is **entailment**. The premise implies the hypothesis. If there are children smiling and waving at the camera, then there are children present.","5. the correct answer is **entailment**. the premise implies the hypothesis. if there are children smiling and waving at the camera, then there are children present.

",{'entailment': 27},entailment,neutral,16.113816,entailment,entailment,entailment,entailment,5.93,5.93,True,26,0.473684,7,1.0
5,Children smiling and waving at camera,The kids are frowning,"Premise: Children smiling and waving at camera, Hypothesis: The kids are frowning. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis The kids are frowning with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","6. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the children are smiling and waving at the camera, then they are not frowning.","6. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the children are smiling and waving at the camera, then they are not frowning.

",{'contradiction': 27},contradiction,neutral,15.953214,contradiction,contradiction,contradiction,contradiction,5.93,5.93,True,29,0.428571,7,1.0
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy skates down the sidewalk.. What is the correct answer to the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy skates down the sidewalk. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","7. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the boy is jumping on skateboard in the middle of a red bridge, then he is not skating down the sidewalk.","7. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the boy is jumping on skateboard in the middle of a red bridge, then he is not skating down the sidewalk.

",{'contradiction': 27},contradiction,neutral,8.3825,contradiction,contradiction,contradiction,neutral,3.4899999999999998,1.0499999999999998,True,36,0.5,3,0.42857142857142855
7,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy does a skateboarding trick.. What is the correct answer to the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy does a skateboarding trick. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","8. The correct answer is **entailment**. The premise implies the hypothesis. If the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.","8. the correct answer is **entailment**. the premise implies the hypothesis. if the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.

",{'entailment': 27},entailment,neutral,16.2125,entailment,entailment,entailment,entailment,5.93,5.93,True,32,0.583333,7,1.0
8,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy is wearing safety equipment.. What is the correct answer to the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy is wearing safety equipment. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","9. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the boy is wearing safety equipment, but it is not necessarily the case. The premise does not provide enough information to determine the boy's attire.","9. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the boy is wearing safety equipment, but it is not necessarily the case. the premise does not provide enough information to determine the boy's attire.

",{'neutral': 27},neutral,neutral,15.993707,neutral,neutral,contradiction,neutral,5.93,5.93,True,45,0.206897,7,1.0
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,"Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background., Hypothesis: An older man drinks his juice as he waits for his daughter to get off work.. What is the correct answer to the premise 'An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.' and hypothesis An older man drinks his juice as he waits for his daughter to get off work. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","10. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. There could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.","10. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. there could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.",{'neutral': 28},neutral,neutral,16.2575,neutral,neutral,neutral,neutral,5.93,5.93,True,65,0.5,7,1.0
