premise,hypothesis,prompt,rationale
Where would an apple tree be unlikely to grow due to the presence of uneven land?,"['washington state', 'illinois', 'north carolina', 'florida', 'orchard']","Questions: Where would an apple tree be unlikely to grow due to the presence of uneven land?, Choices: (A) washington state, (B) illinois, (C) north carolina, (D) florida, (E) orchard. What is the commonly agreed-upon answer to the question 'Where would an apple tree be unlikely to grow due to the presence of uneven land?' with options washington state, illinois, north carolina, florida orchard? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'Where would an apple tree be unlikely to grow due to the presence of uneven land?' is **(D) florida**. This is because Florida has a flat terrain and a subtropical climate that is not suitable for apple trees, which prefer cooler temperatures and higher altitudes.

"
Where could you find an organ that cannot be played?,"['system', 'human body', 'cathedral', 'music store', 'band hall']","Questions: Where could you find an organ that cannot be played?, Choices: (A) system, (B) human body, (C) cathedral, (D) music store, (E) band hall. What is the commonly agreed-upon answer to the question 'Where could you find an organ that cannot be played?' with options system, human body, cathedral, music store band hall? Justify your answer based on general knowledge. 
","2. The commonly agreed-upon answer to the question 'Where could you find an organ that cannot be played?' is **(B) human body**. This is because an organ in the human body is a part of the anatomy that performs a specific function, such as the heart, the liver, or the brain. It is not a musical instrument that can produce sounds, unlike an organ in a cathedral, a music store, or a band hall.

"
"If people are disappointed by something they aren't entitled to, what must they do?","['like ice cream', 'dance well', 'believe in god', 'make a wish', 'lower expectations']","Questions: If people are disappointed by something they aren't entitled to, what must they do?, Choices: (A) like ice cream, (B) dance well, (C) believe in god, (D) make a wish, (E) lower expectations. What is the commonly agreed-upon answer to the question 'If people are disappointed by something they aren't entitled to, what must they do?' with options like ice cream, dance well, believe in god, make a wish lower expectations? Justify your answer based on general knowledge. 
","3. The commonly agreed-upon answer to the question 'If people are disappointed by something they aren't entitled to, what must they do?' is **(E) lower expectations**. This is because lowering expectations can help people cope with disappointment and avoid frustration, anger, or resentment. It can also help them appreciate what they have and be more realistic about what they can achieve. The other options are not relevant or helpful for dealing with disappointment.

"
"If something is occurring at an altar, what might the occasion be?","['praying', 'temple', 'church services', 'ceremony', 'sanctuary']","Questions: If something is occurring at an altar, what might the occasion be?, Choices: (A) praying, (B) temple, (C) church services, (D) ceremony, (E) sanctuary. What is the commonly agreed-upon answer to the question 'If something is occurring at an altar, what might the occasion be?' with options praying, temple, church services, ceremony sanctuary? Justify your answer based on general knowledge. 
","4. The commonly agreed-upon answer to the question 'If something is occurring at an altar, what might the occasion be?' is **(D) ceremony**. This is because an altar is a table or platform used for religious or ceremonial purposes, such as a wedding, a baptism, a sacrifice, or a worship. The other options are not specific enough or do not necessarily involve an altar.

"
"I was intoxicated and driving my car, what would I do with havoc?","['getting somewhere', 'getting tired', 'pave new roads', 'wreak', 'death']","Questions: I was intoxicated and driving my car, what would I do with havoc?, Choices: (A) getting somewhere, (B) getting tired, (C) pave new roads, (D) wreak, (E) death. What is the commonly agreed-upon answer to the question 'I was intoxicated and driving my car, what would I do with havoc?' with options getting somewhere, getting tired, pave new roads, wreak death? Justify your answer based on general knowledge. 
","5. The commonly agreed-upon answer to the question 'I was intoxicated and driving my car, what would I do with havoc?' is **(D) wreak**. This is because wreaking havoc means causing a lot of damage, disorder, or trouble. Driving under the influence of alcohol or drugs is very dangerous and irresponsible, and can lead to accidents, injuries, or deaths. The other options are not related to havoc or driving.

"
"If I lived in a small village outside a city, which general geographic area would this be?","['africa', 'countryside', 'the mountains', 'south american country', 'ohio']","Questions: If I lived in a small village outside a city, which general geographic area would this be?, Choices: (A) africa, (B) countryside, (C) the mountains, (D) south american country, (E) ohio. What is the commonly agreed-upon answer to the question 'If I lived in a small village outside a city, which general geographic area would this be?' with options africa, countryside, the mountains, south american country ohio? Justify your answer based on general knowledge. 
","6. The commonly agreed-upon answer to the question 'If I lived in a small village outside a city, which general geographic area would this be?' is **(B) countryside**. This is because the countryside is the area that is not urbanized, and usually consists of farms, fields, forests, or villages. The other options are too specific, too vague, or not geographic areas.

"
What can I use in order to play a disk in a portable device?,"['cd player', 'computer hard drive', 'music', 'data storage', 'computer store']","Questions: What can I use in order to play a disk in a portable device?, Choices: (A) cd player, (B) computer hard drive, (C) music, (D) data storage, (E) computer store. What is the commonly agreed-upon answer to the question 'What can I use in order to play a disk in a portable device?' with options cd player, computer hard drive, music, data storage computer store? Justify your answer based on general knowledge. 
","7. The commonly agreed-upon answer to the question 'What can I use in order to play a disk in a portable device?' is **(A) cd player**. This is because a cd player is a device that can read and play compact discs, which are a type of disk that store digital data, such as music, audio, or video. The other options are not portable devices, not related to disks, or not able to play disks.

"
Two people were grooming each other in anticipation of a party.  Why might they be grooming?,"['looking pretty', 'positive', 'late', 'get', 'unclean']","Questions: Two people were grooming each other in anticipation of a party.  Why might they be grooming?, Choices: (A) looking pretty, (B) positive, (C) late, (D) get, (E) unclean. What is the commonly agreed-upon answer to the question 'Two people were grooming each other in anticipation of a party.  Why might they be grooming?' with options looking pretty, positive, late, get unclean? Justify your answer based on general knowledge. 
","8. The commonly agreed-upon answer to the question 'Two people were grooming each other in anticipation of a party.  Why might they be grooming?' is **(A) looking pretty**. This is because grooming is the act of cleaning, brushing, or styling oneself or another person, usually to improve one's appearance or hygiene. People might groom themselves or each other before a party to look attractive, presentable, or fashionable. The other options are not reasons for grooming or do not make sense.

"
"He grew tired of standing in the kitchen his whole shift, where was he?","[""neighbor's house"", ""friend's house"", 'restaurant', 'jail', 'fraternity house']","Questions: He grew tired of standing in the kitchen his whole shift, where was he?, Choices: (A) neighbor's house, (B) friend's house, (C) restaurant, (D) jail, (E) fraternity house. What is the commonly agreed-upon answer to the question 'He grew tired of standing in the kitchen his whole shift, where was he?' with options neighbor's house, friend's house, restaurant, jail fraternity house? Justify your answer based on general knowledge. 
","9. The commonly agreed-upon answer to the question 'He grew tired of standing in the kitchen his whole shift, where was he?' is **(C) restaurant**. This is because a restaurant is a place where people can order and eat food, and usually has a kitchen where the food is prepared and cooked. Standing in the kitchen for a long time can be exhausting and boring, especially if one is working as a chef, a waiter, or a dishwasher. The other options are not places that have a kitchen or require standing in it.

"
"He liked his indoor ficus, he simply had to keep it watered and near a what?","['tropical forest', 'ecosphere', 'sunny window', 'sun', 'tropical rainforest']","Questions: He liked his indoor ficus, he simply had to keep it watered and near a what?, Choices: (A) tropical forest, (B) ecosphere, (C) sunny window, (D) sun, (E) tropical rainforest. What is the commonly agreed-upon answer to the question 'He liked his indoor ficus, he simply had to keep it watered and near a what?' with options tropical forest, ecosphere, sunny window, sun tropical rainforest? Justify your answer based on general knowledge. 
","10. The commonly agreed-upon answer to the question 'He liked his indoor ficus, he simply had to keep it watered and near a what?' is **(C) sunny window**. This is because a ficus is a type of plant that belongs to the fig family, and can be grown indoors as a houseplant. However, it needs enough water and sunlight to thrive, so keeping it near a sunny window can provide it with both. The other options are not things that a ficus needs or can be near."
