,premise,hypothesis,label,llm_label,rationale,input
0,Seven people are wading in a natural pool.,Seven people are wading in a pool as the eighth watches from the shore.,neutral,neutral,The eighth person is not necessarily watching from the shore.,Seven people are wading in a natural pool.</s>Seven people are wading in a pool as the eighth watches from the shore.
1,Seven people are wading in a natural pool.,there were five people,contradiction,contradiction,"There were seven people, not five.",Seven people are wading in a natural pool.</s>there were five people
2,Seven people are wading in a natural pool.,There are people in a pool.,entailment,entailment,A natural pool is a pool.,Seven people are wading in a natural pool.</s>There are people in a pool.
3,Seven people are wading in a natural pool.,Seven people have wet feet.,entailment,entailment,"If you're wading in a natural pool, you're going to have wet feet.",Seven people are wading in a natural pool.</s>Seven people have wet feet.
4,Seven people are wading in a natural pool.,they have waders on,neutral,contradiction,"they are in a natural pool, so they are not wearing waders.",Seven people are wading in a natural pool.</s>they have waders on
5,Seven people are wading in a natural pool.,The pool is clear,neutral,neutral,The pool is not necessarily clear.,Seven people are wading in a natural pool.</s>The pool is clear
6,Seven people are wading in a natural pool.,Seven people are up to their ankles in water.,neutral,entailment,Wading means to walk through water or mud.,Seven people are wading in a natural pool.</s>Seven people are up to their ankles in water.
7,Three girlfriends are sitting in a darkened theater.,Three girlfriends watching a movie.,neutral,entailment,"The girlfriends are sitting in a darkened theater, so they are watching a movie.",Three girlfriends are sitting in a darkened theater.</s>Three girlfriends watching a movie.
8,Three girlfriends are sitting in a darkened theater.,Three girls taking the bus.,contradiction,neutral,The girls in the theater are not necessarily taking the bus.,Three girlfriends are sitting in a darkened theater.</s>Three girls taking the bus.
9,Three girlfriends are sitting in a darkened theater.,Three girls sitting in a theater.,entailment,entailment,"The girls are girlfriends, so they are girls.",Three girlfriends are sitting in a darkened theater.</s>Three girls sitting in a theater.
10,A tall man stirring a pot of food on a stove.,A tall man stirring a pot of pasta sauce on a stove.,neutral,neutral,The pot of food could be anything.,A tall man stirring a pot of food on a stove.</s>A tall man stirring a pot of pasta sauce on a stove.
11,A tall man stirring a pot of food on a stove.,A tall man cooking at a stove.,entailment,entailment,Stirring a pot of food is cooking.,A tall man stirring a pot of food on a stove.</s>A tall man cooking at a stove.
12,A tall man stirring a pot of food on a stove.,A short woman sweeping a kitchen.,contradiction, ,The man is not short and the woman is not tall. The man is not sweeping and the woman is not stirring. The man is not in the kitchen and,A tall man stirring a pot of food on a stove.</s>A short woman sweeping a kitchen.
13,A businessman is talking on his cellphone while smoking a cigarette at an intersection under construction.,A man in a suit is talking to a construction worker while holding his phone in his hand.,contradiction,entailment,A businessman is a man in a suit. A cellphone is a phone.,A businessman is talking on his cellphone while smoking a cigarette at an intersection under construction.</s>A man in a suit is talking to a construction worker while holding his phone in his hand.
14,A businessman is talking on his cellphone while smoking a cigarette at an intersection under construction.,A man is having a conversation on his phone while trying to ignore the sounds of construction,neutral,entailment,A businessman is a man. A cellphone is a phone.,A businessman is talking on his cellphone while smoking a cigarette at an intersection under construction.</s>A man is having a conversation on his phone while trying to ignore the sounds of construction
15,A businessman is talking on his cellphone while smoking a cigarette at an intersection under construction.,A man is smoking while talking into his phone.,entailment,entailment,A businessman is a man.,A businessman is talking on his cellphone while smoking a cigarette at an intersection under construction.</s>A man is smoking while talking into his phone.
16,An elderly woman sits on a park bench under the shade of a tree.,A man sits on a cardboard box under the shade.,contradiction,contradiction,The elderly woman is not a man.,An elderly woman sits on a park bench under the shade of a tree.</s>A man sits on a cardboard box under the shade.
17,An elderly woman sits on a park bench under the shade of a tree.,A woman sits on a park bench under the shade.,entailment,entailment,Elderly woman is a woman.,An elderly woman sits on a park bench under the shade of a tree.</s>A woman sits on a park bench under the shade.
18,An elderly woman sits on a park bench under the shade of a tree.,A woman is preparing to have lunch in the shade.,neutral,neutral,The woman is not necessarily preparing to have lunch.,An elderly woman sits on a park bench under the shade of a tree.</s>A woman is preparing to have lunch in the shade.
19,"people lounge in a man made pool, next to a river",people are lounging,entailment,entailment,lounging is a verb that means to relax.,"people lounge in a man made pool, next to a river</s>people are lounging"
20,"people lounge in a man made pool, next to a river",people are in a natural pool,contradiction,contradiction,"the pool is man made, not natural","people lounge in a man made pool, next to a river</s>people are in a natural pool"
21,"people lounge in a man made pool, next to a river",people are having fun,neutral,entailment,"people are in a pool, which is a place where people have fun.","people lounge in a man made pool, next to a river</s>people are having fun"
22,There are people in swimming pool next to a river.,People are swimming in the river.,contradiction,neutral,People in a swimming pool are not necessarily swimming in the river.,There are people in swimming pool next to a river.</s>People are swimming in the river.
23,There are people in swimming pool next to a river.,People are swimming.,entailment,entailment,People in a swimming pool are swimming.,There are people in swimming pool next to a river.</s>People are swimming.
24,There are people in swimming pool next to a river.,People enjoy swimming in the clean pool rather than the river.,neutral,neutral,The river is not necessarily dirty.,There are people in swimming pool next to a river.</s>People enjoy swimming in the clean pool rather than the river.
25,A group of cats sit in the grass.,A family of cats sit in the grass.,neutral,entailment,A group of cats can be a family of cats.,A group of cats sit in the grass.</s>A family of cats sit in the grass.
26,A group of cats sit in the grass.,Cats sit in the grass.,entailment,entailment,A group of cats is a type of cats.,A group of cats sit in the grass.</s>Cats sit in the grass.
27,A group of cats sit in the grass.,A dog sleeps in the grass.,contradiction,neutral,The cats are not necessarily in the same grass as the dog.,A group of cats sit in the grass.</s>A dog sleeps in the grass.
28,Two football players run into each other.,Two football players collide.,entailment,entailment,Running into each other is a way to say collide.,Two football players run into each other.</s>Two football players collide.
29,Two football players run into each other.,Two football players are eating breakfast in a hotel.,contradiction,neutral,The football players are not necessarily eating breakfast in a hotel.,Two football players run into each other.</s>Two football players are eating breakfast in a hotel.
30,Two football players run into each other.,Two football players fail to avoid running into each other.,neutral,neutral,The two football players could have been running into each other on purpose.,Two football players run into each other.</s>Two football players fail to avoid running into each other.
31,A football player in a full stadium jumping and recieving a football.,The football player is off the ground.,entailment,entailment,"The football player is jumping, so he is off the ground.",A football player in a full stadium jumping and recieving a football.</s>The football player is off the ground.
32,A football player in a full stadium jumping and recieving a football.,The football player is sitting on the bench.,contradiction,contradiction,The football player is jumping and receiving a football.,A football player in a full stadium jumping and recieving a football.</s>The football player is sitting on the bench.
33,A football player in a full stadium jumping and recieving a football.,The football player is about to score a touchdown.,neutral,entailment,The football player is jumping and receiving a football.,A football player in a full stadium jumping and recieving a football.</s>The football player is about to score a touchdown.
34,"A person walks among large, white geometric shaped architecture.",A person is sleeping.,contradiction,contradiction,"The person is walking, not sleeping.","A person walks among large, white geometric shaped architecture.</s>A person is sleeping."
35,"A person walks among large, white geometric shaped architecture.",A person is walking.,entailment,entailment,"The person is walking among large, white geometric shaped architecture.","A person walks among large, white geometric shaped architecture.</s>A person is walking."
36,"A person walks among large, white geometric shaped architecture.",A person is next to an object,neutral,neutral,The person is not necessarily next to the object.,"A person walks among large, white geometric shaped architecture.</s>A person is next to an object"
37,Two men vie for a football.,The men are sleeping.,contradiction,contradiction,"If the men are sleeping, they cannot be vying for a football.",Two men vie for a football.</s>The men are sleeping.
38,Two men vie for a football.,The men view for football,entailment,neutral,vie and view are homophones.,Two men vie for a football.</s>The men view for football
39,Two men vie for a football.,The men love football,neutral,entailment,"The men are fighting for the football, so they must love it.",Two men vie for a football.</s>The men love football
40,Two people hiking on a mountain.,Two people meet while hiking.,neutral,entailment,"The two people are hiking on a mountain, so they are hiking.",Two people hiking on a mountain.</s>Two people meet while hiking.
41,Two people hiking on a mountain.,The hikers are lost.,contradiction,neutral,The hikers are not necessarily lost.,Two people hiking on a mountain.</s>The hikers are lost.
42,Two people hiking on a mountain.,Two hikers are on a mountain.,entailment,entailment,Hikers are people who hike.,Two people hiking on a mountain.</s>Two hikers are on a mountain.
43,A man in face mask working on a machine.,the man is dancing.,contradiction,contradiction,The man is not dancing.,A man in face mask working on a machine.</s>the man is dancing.
44,A man in face mask working on a machine.,the man is a contractor.,neutral,neutral,The man is wearing a face mask and working on a machine.,A man in face mask working on a machine.</s>the man is a contractor.
45,A man in face mask working on a machine.,the man is working.,entailment,entailment,the man is working on a machine.,A man in face mask working on a machine.</s>the man is working.
