premise,hypothesis,input,label,split,pair_key,available_rationale_count,rationale_1,rationale_type_1,rationale_score_1,rationale_keep_1,rationale_selection_source_1
A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,A person on a horse jumps over a broken down airplane.</s>A person is training his horse for a competition.,neutral,test,a person on a horse jumps over a broken down airplane.</s>a person is training his horse for a competition.,7,"1. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the person is training his horse for a competition, but it is not necessarily the case. There could be other reasons why the person is jumping over a broken down airplane.",neutral,5.0,True,thesis_prior
A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","A person on a horse jumps over a broken down airplane.</s>A person is at a diner, ordering an omelette.",contradiction,valid,"a person on a horse jumps over a broken down airplane.</s>a person is at a diner, ordering an omelette.",7,"2. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.",neutral,5.0,True,thesis_prior
A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","A person on a horse jumps over a broken down airplane.</s>A person is outdoors, on a horse.",entailment,train,"a person on a horse jumps over a broken down airplane.</s>a person is outdoors, on a horse.",7,"3. The correct answer is **entailment**. The premise implies the hypothesis. If the person is on a horse jumping over a broken down airplane, then he or she must be outdoors, on a horse.",neutral,5.0,True,thesis_prior
Children smiling and waving at camera,They are smiling at their parents,Children smiling and waving at camera</s>They are smiling at their parents,neutral,train,children smiling and waving at camera</s>they are smiling at their parents,7,"4. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the children are smiling at their parents, but it is not necessarily the case. There could be other reasons why the children are smiling and waving at the camera.",neutral,5.0,True,thesis_prior
Children smiling and waving at camera,There are children present,Children smiling and waving at camera</s>There are children present,entailment,train,children smiling and waving at camera</s>there are children present,7,"5. The correct answer is **entailment**. The premise implies the hypothesis. If there are children smiling and waving at the camera, then there are children present.",neutral,5.0,True,thesis_prior
Children smiling and waving at camera,The kids are frowning,Children smiling and waving at camera</s>The kids are frowning,contradiction,train,children smiling and waving at camera</s>the kids are frowning,7,"6. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the children are smiling and waving at the camera, then they are not frowning.",neutral,5.0,True,thesis_prior
A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,A boy is jumping on skateboard in the middle of a red bridge.</s>The boy skates down the sidewalk.,contradiction,train,a boy is jumping on skateboard in the middle of a red bridge.</s>the boy skates down the sidewalk.,7,"7. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the boy is jumping on skateboard in the middle of a red bridge, then he is not skating down the sidewalk.",neutral,5.0,True,thesis_prior
A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,A boy is jumping on skateboard in the middle of a red bridge.</s>The boy does a skateboarding trick.,entailment,train,a boy is jumping on skateboard in the middle of a red bridge.</s>the boy does a skateboarding trick.,7,"8. The correct answer is **entailment**. The premise implies the hypothesis. If the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.",neutral,5.0,True,thesis_prior
A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,A boy is jumping on skateboard in the middle of a red bridge.</s>The boy is wearing safety equipment.,neutral,train,a boy is jumping on skateboard in the middle of a red bridge.</s>the boy is wearing safety equipment.,7,"9. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the boy is wearing safety equipment, but it is not necessarily the case. The premise does not provide enough information to determine the boy's attire.",neutral,5.0,True,thesis_prior
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.</s>An older man drinks his juice as he waits for his daughter to get off work.,neutral,train,an older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.</s>an older man drinks his juice as he waits for his daughter to get off work.,7,"10. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. There could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.",neutral,5.0,True,thesis_prior
Two blond women are hugging one another.,Some women are hugging on vacation.,Two blond women are hugging one another.</s>Some women are hugging on vacation.,neutral,test,two blond women are hugging one another.</s>some women are hugging on vacation.,7,"3. The correct answer is **neutral**. The premise and the hypothesis are not related to each other. The premise does not imply or contradict the hypothesis. Some women hugging on vacation could be the same two blond women or different women, but it is not relevant to the fact that two blond women are hugging.",neutral,5.0,True,thesis_prior
Two blond women are hugging one another.,The women are sleeping.,Two blond women are hugging one another.</s>The women are sleeping.,contradiction,train,two blond women are hugging one another.</s>the women are sleeping.,7,"4. The correct answer is **contradiction**. The premise and the hypothesis are mutually exclusive. The premise states that two blond women are hugging one another, which means they are awake and active. The hypothesis states that the women are sleeping, which means they are not awake or active. Therefore, the hypothesis is false if the premise is true.",neutral,5.0,True,thesis_prior
Two blond women are hugging one another.,There are women showing affection.,Two blond women are hugging one another.</s>There are women showing affection.,entailment,train,two blond women are hugging one another.</s>there are women showing affection.,7,"5. The correct answer is **entailment**. The premise implies the hypothesis. Two blond women hugging one another is an example of women showing affection. Therefore, the hypothesis is true if the premise is true.",neutral,5.0,True,thesis_prior
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,"A few people in a restaurant setting, one of them is drinking orange juice.</s>The people are eating omelettes.",neutral,train,"a few people in a restaurant setting, one of them is drinking orange juice.</s>the people are eating omelettes.",7,"6. The correct answer is **neutral**. The premise and the hypothesis are not related to each other. The premise does not imply or contradict the hypothesis. The people eating omelettes could be the same people in the restaurant setting or different people, but it is not relevant to the fact that one of them is drinking orange juice.",neutral,5.0,True,thesis_prior
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,"A few people in a restaurant setting, one of them is drinking orange juice.</s>The people are sitting at desks in school.",contradiction,train,"a few people in a restaurant setting, one of them is drinking orange juice.</s>the people are sitting at desks in school.",7,"7. The correct answer is **contradiction**. The premise and the hypothesis are mutually exclusive. The premise states that a few people are in a restaurant setting, which means they are not in a school setting. The hypothesis states that the people are sitting at desks in school, which means they are not in a restaurant setting. Therefore, the hypothesis is false if the premise is true.",neutral,5.0,True,thesis_prior
"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,"A few people in a restaurant setting, one of them is drinking orange juice.</s>The diners are at a restaurant.",entailment,train,"a few people in a restaurant setting, one of them is drinking orange juice.</s>the diners are at a restaurant.",7,"8. The correct answer is **entailment**. The premise implies the hypothesis. A few people in a restaurant setting are also diners at a restaurant. Therefore, the hypothesis is true if the premise is true.",neutral,5.0,True,thesis_prior
An older man is drinking orange juice at a restaurant.,A man is drinking juice.,An older man is drinking orange juice at a restaurant.</s>A man is drinking juice.,entailment,train,an older man is drinking orange juice at a restaurant.</s>a man is drinking juice.,7,"9. The correct answer is **entailment**. The premise implies the hypothesis. An older man is a type of man, and orange juice is a type of juice. Therefore, the hypothesis is true if the premise is true.",neutral,5.0,True,thesis_prior
An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,An older man is drinking orange juice at a restaurant.</s>Two women are at a restaurant drinking wine.,contradiction,train,an older man is drinking orange juice at a restaurant.</s>two women are at a restaurant drinking wine.,7,"10. The correct answer is **contradiction**. The premise and the hypothesis are mutually exclusive. The premise states that an older man is drinking orange juice at a restaurant, which means there are no two women at the same restaurant drinking wine. The hypothesis states that two women are at a restaurant drinking wine, which means there is no older man at the same restaurant drinking orange juice. Therefore, the hypothesis is false if the premise is true. I hope this helps you understand the concept of natural language inference. If you have any more questions, feel free to ask me. 😊",neutral,5.0,True,thesis_prior
An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,An older man is drinking orange juice at a restaurant.</s>A man in a restaurant is waiting for his meal to arrive.,neutral,test,an older man is drinking orange juice at a restaurant.</s>a man in a restaurant is waiting for his meal to arrive.,7,"1. The correct answer is **neutral**. The premise and the hypothesis are not logically related. The older man drinking orange juice at a restaurant could be waiting for his meal to arrive, or he could have already finished his meal, or he could be just having orange juice. The hypothesis does not follow from the premise, nor does it contradict it.",neutral,5.0,True,thesis_prior
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man getting a drink of water from a fountain in the park.",neutral,train,"a man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>a blond man getting a drink of water from a fountain in the park.",7,"2. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the fountain is in the park, but it is not necessarily true. A conditional statement that captures this is: **If** the fountain is in the park, **then** the blond man is getting a drink of water from a fountain in the park, **but not vice versa**.",condition,5.0,True,thesis_prior
