Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio,judge_view_rank,example_key,row_key
0,Lilly owns the only kosher deli in the area. She isn't in a heavily populated area. Where might she live?,"['food court', 'jerusalem', 'new york city', 'jewish community', 'town']","Questions: Lilly owns the only kosher deli in the area.  She isn't in a heavily populated area.  Where might she live?, Choices: (A) food court, (B) jerusalem, (C) new york city, (D) jewish community, (E) town. For the question 'Lilly owns the only kosher deli in the area.  She isn't in a heavily populated area.  Where might she live?', among the choices food court, jerusalem, new york city, jewish community town, which is the most likely answer? Highlight what sets your choice apart from the others.
","3. The most likely answer is **(E) town**. Lilly owns the only kosher deli in the area, which means she caters to a specific dietary preference of some Jewish people. She isn't in a heavily populated area, which means she lives in a relatively small or rural place. Therefore, a town is the most likely place where she might live. The other choices are less likely because a food court is not a place to live, Jerusalem and New York City are very populated areas, and a Jewish community is not a specific location."," is **(e) town**. lilly owns the only kosher deli in the area, which means she caters to a specific dietary preference of some jewish people. she isn't in a heavily populated area, which means she lives in a relatively small or rural place. therefore, a town is the most likely place where she might live. the other choices are less likely because a food court is not a place to live, jerusalem and new york city are very populated areas, and a jewish community is not a specific location.

","{'food court': 350, 'jerusalem': 385, 'new york city': 399, 'jewish community': 445, 'town': 10}",town,contrastive,4.339720338983051,town,town,town,town,6.565,6.565,True,94,0.4406779661016949,7,1.0,1,"lilly owns the only kosher deli in the area. she isn't in a heavily populated area. where might she live?</s>['food court', 'jerusalem', 'new york city', 'jewish community', 'town']","lilly owns the only kosher deli in the area. she isn't in a heavily populated area. where might she live?</s>['food court', 'jerusalem', 'new york city', 'jewish community', 'town']||3. the most likely answer is **(e) town**. lilly owns the only kosher deli in the area, which means she caters to a specific dietary preference of some jewish people. she isn't in a heavily populated area, which means she lives in a relatively small or rural place. therefore, a town is the most likely place where she might live. the other choices are less likely because a food court is not a place to live, jerusalem and new york city are very populated areas, and a jewish community is not a specific location.||contrastive"
1,Susan was playing games with her five year old son Tim. She played them because they were designed to help him with something. What might they help a child with?,"['learning', 'competitiveness', 'losing', 'winning', 'relaxation']","Questions: Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?, Choices: (A) learning, (B) competitiveness, (C) losing, (D) winning, (E) relaxation. Given the question 'Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?', which among the choices learning, competitiveness, losing, winning relaxation is the correct answer? Explain your reasoning using conditional statements.
","10. The correct answer is **(A) learning**. Susan was playing games with her five year old son Tim. She played them because they were designed to help him with something. What might they help a child with? If we use conditional statements, we can write: - If Susan was playing games with her son Tim, then the games were educational. - If the games were educational, then they helped him with learning. - Therefore, if Susan was playing games with her son Tim, then they helped him with learning.","10. the correct answer is **(a) learning**. susan was playing games with her five year old son tim.  she played them because they were designed to help him with something.  what might they help a child with? if we use conditional statements, we can write:

- if susan was playing games with her son tim, then the games were educational.
- if the games were educational, then they helped him with learning.
- therefore, if susan was playing games with her son tim, then they helped him with learning.",{'learning': 32},learning,if_else,4.525802325581396,learning,learning,learning,learning,6.565,6.565,True,89,0.627906976744186,7,1.0,1,"susan was playing games with her five year old son tim. she played them because they were designed to help him with something. what might they help a child with?</s>['learning', 'competitiveness', 'losing', 'winning', 'relaxation']","susan was playing games with her five year old son tim. she played them because they were designed to help him with something. what might they help a child with?</s>['learning', 'competitiveness', 'losing', 'winning', 'relaxation']||10. the correct answer is **(a) learning**. susan was playing games with her five year old son tim. she played them because they were designed to help him with something. what might they help a child with? if we use conditional statements, we can write: - if susan was playing games with her son tim, then the games were educational. - if the games were educational, then they helped him with learning. - therefore, if susan was playing games with her son tim, then they helped him with learning.||if_else"
2,"Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?","['riots', 'vote', 'change yourself', 'social activism', 'change clothes']","Questions: Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?, Choices: (A) riots, (B) vote, (C) change yourself, (D) social activism, (E) change clothes. For the question 'Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?', what is the correct answer among the choices riots, vote, change yourself, social activism change clothes? Explain the cause-and-effect relationship between the question and your chosen answer.
","5. The correct answer is **(C) change yourself**. Some might say that if you want to do something that results in changing society, then you need to start from within, which means that you need to change yourself first. This is because changing yourself can help you improve your skills, attitudes, behaviors, and values, which can then influence the people and the world around you. This is the cause-and-effect relationship between the question and the answer.","5. the correct answer is **(c) change yourself**. some might say that if you want to do something that results in changing society, then you need to start from within, which means that you need to change yourself first. this is because changing yourself can help you improve your skills, attitudes, behaviors, and values, which can then influence the people and the world around you. this is the cause-and-effect relationship between the question and the answer.

",{'change yourself': 31},change yourself,causal,4.409300000000001,change yourself,change yourself,change yourself,change yourself,6.565,6.565,True,76,0.44,7,1.0,1,"some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?</s>['riots', 'vote', 'change yourself', 'social activism', 'change clothes']","some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?</s>['riots', 'vote', 'change yourself', 'social activism', 'change clothes']||5. the correct answer is **(c) change yourself**. some might say that if you want to do something that results in changing society, then you need to start from within, which means that you need to change yourself first. this is because changing yourself can help you improve your skills, attitudes, behaviors, and values, which can then influence the people and the world around you. this is the cause-and-effect relationship between the question and the answer.||causal"
3,"The war was followed by a tentative peace. People didn't think it would last because despite a desire to move forward, there rebuilding was difficult and there was a lot of what?","['love and understanding', 'fighting', 'hostility', 'destruction', 'turmoil']","Questions: The war was followed by a tentative peace.  People didn't think it would last because despite a desire to move forward, there rebuilding was difficult and there was a lot of what?, Choices: (A) love and understanding, (B) fighting, (C) hostility, (D) destruction, (E) turmoil. What is the correct answer to the question 'The war was followed by a tentative peace.  People didn't think it would last because despite a desire to move forward, there rebuilding was difficult and there was a lot of what?' with the options love and understanding, fighting, hostility, destruction turmoil? Provide a straightforward explanation. 
","3. The correct answer is **(E) turmoil**. The war was followed by a tentative peace, which means that the peace was uncertain and fragile. People didn't think it would last because despite a desire to move forward, the rebuilding was difficult and there was a lot of turmoil. Turmoil means a state of confusion, disorder, or trouble. The other options are not relevant to the situation or the meaning of tentative.","3. the correct answer is **(e) turmoil**. the war was followed by a tentative peace, which means that the peace was uncertain and fragile. people didn't think it would last because despite a desire to move forward, the rebuilding was difficult and there was a lot of turmoil. turmoil means a state of confusion, disorder, or trouble. the other options are not relevant to the situation or the meaning of tentative.

",{'turmoil': 31},turmoil,neutral,4.383700000000001,turmoil,turmoil,turmoil,turmoil,6.565,6.565,True,71,0.56,7,1.0,2,"the war was followed by a tentative peace. people didn't think it would last because despite a desire to move forward, there rebuilding was difficult and there was a lot of what?</s>['love and understanding', 'fighting', 'hostility', 'destruction', 'turmoil']","the war was followed by a tentative peace. people didn't think it would last because despite a desire to move forward, there rebuilding was difficult and there was a lot of what?</s>['love and understanding', 'fighting', 'hostility', 'destruction', 'turmoil']||3. the correct answer is **(e) turmoil**. the war was followed by a tentative peace, which means that the peace was uncertain and fragile. people didn't think it would last because despite a desire to move forward, the rebuilding was difficult and there was a lot of turmoil. turmoil means a state of confusion, disorder, or trouble. the other options are not relevant to the situation or the meaning of tentative.||neutral"
4,"If someone is aloof and self-important, what is their experience when meeting people?","['stress', 'nervousness', 'smile', 'being bored', 'making new friends']","Questions: If someone is aloof and self-important, what is their experience when meeting people?, Choices: (A) stress, (B) nervousness, (C) smile, (D) being bored, (E) making new friends. Based on what is historically known, what is the most likely answer to the question 'If someone is aloof and self-important, what is their experience when meeting people?' with options stress, nervousness, smile, being bored making new friends? Provide historical context in your rationale. 
","10. The most likely answer is **(D) being bored**. This is because if someone is aloof and self-important, it means they are distant and arrogant. Therefore, their experience when meeting people is likely to be boring, as they would not show interest or respect for others. This is a personality trait that has been observed by human behavior experts and philosophers. Stress, nervousness, smile, and making new friends are not experiences, but emotions, expressions, or outcomes that could occur when meeting people, but not likely for someone who is aloof and self-important."," is **(d) being bored**. this is because if someone is aloof and self-important, it means they are distant and arrogant. therefore, their experience when meeting people is likely to be boring, as they would not show interest or respect for others. this is a personality trait that has been observed by human behavior experts and philosophers. stress, nervousness, smile, and making new friends are not experiences, but emotions, expressions, or outcomes that could occur when meeting people, but not likely for someone who is aloof and self-important.","{'stress': 343, 'nervousness': 351, 'smile': 364, 'being bored': 10, 'making new friends': 375}",being bored,historical,4.1915746268656715,being bored,being bored,being bored,being bored,6.565,6.565,True,92,0.29850746268656714,7,1.0,2,"if someone is aloof and self-important, what is their experience when meeting people?</s>['stress', 'nervousness', 'smile', 'being bored', 'making new friends']","if someone is aloof and self-important, what is their experience when meeting people?</s>['stress', 'nervousness', 'smile', 'being bored', 'making new friends']||10. the most likely answer is **(d) being bored**. this is because if someone is aloof and self-important, it means they are distant and arrogant. therefore, their experience when meeting people is likely to be boring, as they would not show interest or respect for others. this is a personality trait that has been observed by human behavior experts and philosophers. stress, nervousness, smile, and making new friends are not experiences, but emotions, expressions, or outcomes that could occur when meeting people, but not likely for someone who is aloof and self-important.||historical"
5,"If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?","['demolish object', 'repair', 'fix', 'create', 'construct']","Questions: If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?, Choices: (A) demolish object, (B) repair, (C) fix, (D) create, (E) construct. For the question 'If something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?', among the choices demolish object, repair, fix, create construct, which is the most likely answer? Highlight what sets your choice apart from the others.
","6. The most likely answer is (B) repair. If something attempted to destroy something but didn't fully succeed, then one might be able to repair it afterwards. Repair means to fix something that is damaged or broken. Demolish object, create, and construct are actions that are opposite to repair. Fix is a synonym of repair, but it is less specific."," is (b) repair. if something attempted to destroy something but didn't fully succeed, then one might be able to repair it afterwards. repair means to fix something that is damaged or broken. demolish object, create, and construct are actions that are opposite to repair. fix is a synonym of repair, but it is less specific.

","{'demolish object': 191, 'repair': 8, 'fix': 150, 'create': 208, 'construct': 220}",repair,contrastive,4.3105909090909105,repair,repair,repair,repair,6.565,6.565,True,60,0.5227272727272727,7,1.0,1,"if something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?</s>['demolish object', 'repair', 'fix', 'create', 'construct']","if something attempted to destroy something but didn't fully succeed, then one might be able to do what to it afterwards?</s>['demolish object', 'repair', 'fix', 'create', 'construct']||6. the most likely answer is (b) repair. if something attempted to destroy something but didn't fully succeed, then one might be able to repair it afterwards. repair means to fix something that is damaged or broken. demolish object, create, and construct are actions that are opposite to repair. fix is a synonym of repair, but it is less specific.||contrastive"
6,James was delayed for a couple of hours because he had a connection. Where might his connection be?,"['company', 'airport', 'wall', 'computer network', 'love']","Questions: James was delayed for a couple of hours because he had a connection.  Where might his connection be?, Choices: (A) company, (B) airport, (C) wall, (D) computer network, (E) love. Given the question 'James was delayed for a couple of hours because he had a connection.  Where might his connection be?', which among the choices company, airport, wall, computer network love is the correct answer? Explain your reasoning using conditional statements.
","7. The correct answer is (B) airport. A possible explanation is: If James was delayed for a couple of hours because he had a connection, then his connection might be at the airport. He was delayed for a couple of hours because he had a connection. Therefore, his connection might be at the airport.","7. the correct answer is (b) airport. a possible explanation is: if james was delayed for a couple of hours because he had a connection, then his connection might be at the airport. he was delayed for a couple of hours because he had a connection. therefore, his connection might be at the airport.

",{'airport': 29},airport,if_else,4.490785714285716,airport,airport,airport,airport,6.565,6.565,True,54,0.5714285714285714,7,1.0,1,"james was delayed for a couple of hours because he had a connection. where might his connection be?</s>['company', 'airport', 'wall', 'computer network', 'love']","james was delayed for a couple of hours because he had a connection. where might his connection be?</s>['company', 'airport', 'wall', 'computer network', 'love']||7. the correct answer is (b) airport. a possible explanation is: if james was delayed for a couple of hours because he had a connection, then his connection might be at the airport. he was delayed for a couple of hours because he had a connection. therefore, his connection might be at the airport.||if_else"
7,"Bob and Boris were standing in a queue at the grocery store. They were standing in place. The line was fast, but the children in front of them were loud. They were what?","['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']","Questions: Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?, Choices: (A) frustration, (B) being annoyed, (C) delays, (D) irritation, (E) out of order. For the question 'Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?', what is the correct answer among the choices frustration, being annoyed, delays, irritation out of order? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is (B) being annoyed. This is because the word loud means making or causing a lot of noise, while the word annoyed means slightly angry or irritated. Therefore, if Bob and Boris were standing in a queue at the grocery store, and the children in front of them were loud, they were being annoyed by the noise. The other choices are either incorrect or incomplete descriptions of Bob and Boris' feelings.","9. the correct answer is (b) being annoyed. this is because the word loud means making or causing a lot of noise, while the word annoyed means slightly angry or irritated. therefore, if bob and boris were standing in a queue at the grocery store, and the children in front of them were loud, they were being annoyed by the noise. the other choices are either incorrect or incomplete descriptions of bob and boris' feelings.

",{'being annoyed': 29},being annoyed,causal,4.389561224489797,being annoyed,being annoyed,being annoyed,being annoyed,6.565,6.565,True,75,0.40816326530612246,7,1.0,1,"bob and boris were standing in a queue at the grocery store. they were standing in place. the line was fast, but the children in front of them were loud. they were what?</s>['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']","bob and boris were standing in a queue at the grocery store. they were standing in place. the line was fast, but the children in front of them were loud. they were what?</s>['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']||9. the correct answer is (b) being annoyed. this is because the word loud means making or causing a lot of noise, while the word annoyed means slightly angry or irritated. therefore, if bob and boris were standing in a queue at the grocery store, and the children in front of them were loud, they were being annoyed by the noise. the other choices are either incorrect or incomplete descriptions of bob and boris' feelings.||causal"
8,"The computer user did not know what he was doing at all, this made the instructional course pure what for him?","['energy', 'office building', 'hell', 'school', 'house']","Questions: The computer user did not know what he was doing at all, this made the instructional course pure what for him?, Choices: (A) energy, (B) office building, (C) hell, (D) school, (E) house. What is the correct answer to the question 'The computer user did not know what he was doing at all, this made the instructional course pure what for him?' with the options energy, office building, hell, school house? Provide a straightforward explanation. 
","6. The correct answer is **(C) hell**. The computer user did not know what he was doing at all, this made the instructional course pure hell for him. This is because hell means a very unpleasant or difficult situation, which is what the computer user experienced in the course.","6. the correct answer is **(c) hell**. the computer user did not know what he was doing at all, this made the instructional course pure hell for him. this is because hell means a very unpleasant or difficult situation, which is what the computer user experienced in the course.
",{'hell': 31},hell,neutral,4.380944444444445,hell,hell,hell,hell,6.565,6.565,True,49,0.5555555555555556,7,1.0,1,"the computer user did not know what he was doing at all, this made the instructional course pure what for him?</s>['energy', 'office building', 'hell', 'school', 'house']","the computer user did not know what he was doing at all, this made the instructional course pure what for him?</s>['energy', 'office building', 'hell', 'school', 'house']||6. the correct answer is **(c) hell**. the computer user did not know what he was doing at all, this made the instructional course pure hell for him. this is because hell means a very unpleasant or difficult situation, which is what the computer user experienced in the course.||neutral"
9,"Sam reflected on his long life, which started in 1918. How long has Sam lived?","['graveyard', 'cause death', 'end', 'last 100 years', 'spring forth']",,"3. The most likely answer to the question 'Sam reflected on his long life, which started in 1918. How long has Sam lived?' is **(D) last 100 years**. This is because if Sam was born in 1918 and the current year is 2024, then he has lived for 106 years, which is approximately the last 100 years. Graveyard, cause death, end, and spring forth are not measures of time or duration."," to the question 'sam reflected on his long life, which started in 1918. how long has sam lived?' is **(d) last 100 years**. this is because if sam was born in 1918 and the current year is 202",{'last 100 years': 107},last 100 years,historical,4.188807692307694,last 100 years,last 100 years,last 100 years,last 100 years,6.565,6.565,True,71,0.4230769230769231,7,1.0,2,"sam reflected on his long life, which started in 1918. how long has sam lived?</s>['graveyard', 'cause death', 'end', 'last 100 years', 'spring forth']","sam reflected on his long life, which started in 1918. how long has sam lived?</s>['graveyard', 'cause death', 'end', 'last 100 years', 'spring forth']||3. the most likely answer to the question 'sam reflected on his long life, which started in 1918. how long has sam lived?' is **(d) last 100 years**. this is because if sam was born in 1918 and the current year is 2024, then he has lived for 106 years, which is approximately the last 100 years. graveyard, cause death, end, and spring forth are not measures of time or duration.||historical"
