premise,hypothesis,prompt,rationale
What will happen to someone writing a term paper too quickly likely encounter?,"['headaches', 'errors', 'low mark', 'anxiety', 'frustration']","Questions: What will happen to someone writing a term paper too quickly likely encounter?, Choices: (A) headaches, (B) errors, (C) low mark, (D) anxiety, (E) frustration. Compare the options What will happen to someone writing a term paper too quickly likely encounter?, headaches, errors, low mark anxiety and identify the most likely answer to the question 'frustration'. Explain why your choice is better than the others.
","1. The most likely answer to the question 'What will happen to someone writing a term paper too quickly likely encounter?' is **(B) errors**. This is because writing a term paper requires careful research, planning, and editing, which cannot be done well in a hurry. Errors can affect the quality and credibility of the paper, and lead to a low mark or rejection. The other choices are possible consequences of writing a term paper too quickly, but they are not as certain or direct as errors.

"
What will happen to the animal if it doesn't eat?,"['die', 'meat', 'cuddly pet', 'feel hunger', 'learn how to dance']","Questions: What will happen to the animal if it doesn't eat?, Choices: (A) die, (B) meat, (C) cuddly pet, (D) feel hunger, (E) learn how to dance. Compare the options What will happen to the animal if it doesn't eat?, die, meat, cuddly pet feel hunger and identify the most likely answer to the question 'learn how to dance'. Explain why your choice is better than the others.
","2. The most likely answer to the question 'What will happen to the animal if it doesn't eat?' is **(A) die**. This is because eating is essential for the survival of any animal, and without food, the animal will starve and eventually die. The other choices are either irrelevant or improbable outcomes of not eating. For example, an animal will not become a cuddly pet or learn how to dance if it doesn't eat.

"
What will happen to you after cleaning house?,"['order', 'tiredness', 'neatness', 'pass out', 'invigorating']","Questions: What will happen to you after cleaning house?, Choices: (A) order, (B) tiredness, (C) neatness, (D) pass out, (E) invigorating. Compare the options What will happen to you after cleaning house?, order, tiredness, neatness pass out and identify the most likely answer to the question 'invigorating'. Explain why your choice is better than the others.
","3. The most likely answer to the question 'What will happen to you after cleaning house?' is **(B) tiredness**. This is because cleaning house is a physically demanding activity that can exhaust your energy and make you feel tired. The other choices are either positive or negative effects of cleaning house, but they are not as common or inevitable as tiredness. For example, you may or may not feel invigorated or pass out after cleaning house, depending on your health and mood.

"
What will telling many people about an embarrassing situation lead to?,"['notoriety', 'emotional distress', 'riot', 'bad dreams', 'annoyance']","Questions: What will telling many people about an embarrassing situation lead to?, Choices: (A) notoriety, (B) emotional distress, (C) riot, (D) bad dreams, (E) annoyance. Compare the options What will telling many people about an embarrassing situation lead to?, notoriety, emotional distress, riot bad dreams and identify the most likely answer to the question 'annoyance'. Explain why your choice is better than the others.
","4. The most likely answer to the question 'What will telling many people about an embarrassing situation lead to?' is **(E) annoyance**. This is because telling many people about an embarrassing situation can make you feel uncomfortable and regretful, and also annoy the people who hear your story. The other choices are possible reactions of telling many people about an embarrassing situation, but they are not as frequent or universal as annoyance. For example, you may or may not gain notoriety or have bad dreams after telling many people about an embarrassing situation, depending on the nature and severity of the situation.

"
What will telling many people about someone's escapades lead to?,"['annoyance', 'notoriety', 'emotional distress', 'religion', 'riot']","Questions: What will telling many people about someone's escapades lead to?, Choices: (A) annoyance, (B) notoriety, (C) emotional distress, (D) religion, (E) riot. Compare the options What will telling many people about someone's escapades lead to?, annoyance, notoriety, emotional distress religion and identify the most likely answer to the question 'riot'. Explain why your choice is better than the others.
","5. The most likely answer to the question 'What will telling many people about someone's escapades lead to?' is **(B) notoriety**. This is because telling many people about someone's escapades can make the person famous or infamous for their adventurous or daring actions, and also attract attention and curiosity from others. The other choices are potential consequences of telling many people about someone's escapades, but they are not as likely or consistent as notoriety. For example, telling many people about someone's escapades may or may not cause annoyance, emotional distress, religion, or riot, depending on the content and context of the escapades.

"
What will the government do if they find out you fail to file your taxes?,"['get money', 'school children', 'serve public', 'forgive you', 'take money']","Questions: What will the government do if they find out you fail to file your taxes?, Choices: (A) get money, (B) school children, (C) serve public, (D) forgive you, (E) take money. Compare the options What will the government do if they find out you fail to file your taxes?, get money, school children, serve public forgive you and identify the most likely answer to the question 'take money'. Explain why your choice is better than the others.
","6. The most likely answer to the question 'What will the government do if they find out you fail to file your taxes?' is **(E) take money**. This is because failing to file your taxes is a violation of the law, and the government can impose penalties, fines, or interest on your unpaid taxes, and also seize your assets or income to collect the tax debt. The other choices are either irrelevant or improbable actions of the government if they find out you fail to file your taxes. For example, the government will not get money, school children, serve public, or forgive you if you fail to file your taxes.

"
What will the guard protect us from?,"['attack', 'unprotected', 'inmate', 'getting lost', 'prisoner']","Questions: What will the guard protect us from?, Choices: (A) attack, (B) unprotected, (C) inmate, (D) getting lost, (E) prisoner. Compare the options What will the guard protect us from?, attack, unprotected, inmate getting lost and identify the most likely answer to the question 'prisoner'. Explain why your choice is better than the others.
","7. The most likely answer to the question 'What will the guard protect us from?' is **(A) attack**. This is because the guard is a person who is hired or assigned to protect a place or a person from harm or danger, and the most common threat to security is an attack from an enemy or a criminal. The other choices are either synonyms or antonyms of attack, or unrelated to the guard's duty. For example, the guard will not protect us from unprotected, inmate, getting lost, or prisoner.

"
What will the judge declare if someone is committing perjury?,"['mistrial', 'criminal prosecution', 'citation', 'injustices', 'penalty']","Questions: What will the judge declare if someone is committing perjury?, Choices: (A) mistrial, (B) criminal prosecution, (C) citation, (D) injustices, (E) penalty. Compare the options What will the judge declare if someone is committing perjury?, mistrial, criminal prosecution, citation injustices and identify the most likely answer to the question 'penalty'. Explain why your choice is better than the others.
","8. The most likely answer to the question 'What will the judge declare if someone is committing perjury?' is **(B) criminal prosecution**. This is because perjury is the act of lying or making false statements under oath in a court of law, and it is a serious crime that can result in criminal prosecution, which means the person can be charged, tried, and punished by the law. The other choices are possible outcomes of committing perjury, but they are not as certain or direct as criminal prosecution. For example, the judge may or may not declare a mistrial, a citation, injustices, or a penalty if someone is committing perjury, depending on the circumstances and the evidence.

"
What will the student have to do on the test?,"['finish college', 'begin teaching', 'write', 'answer question', 'solve equation']","Questions: What will the student have to do on the test?, Choices: (A) finish college, (B) begin teaching, (C) write, (D) answer question, (E) solve equation. Compare the options What will the student have to do on the test?, finish college, begin teaching, write answer question and identify the most likely answer to the question 'solve equation'. Explain why your choice is better than the others.
","9. The most likely answer to the question 'What will the student have to do on the test?' is **(D) answer question**. This is because a test is a method of assessing a student's knowledge, skill, or ability, and the most common way of doing so is by asking questions that the student has to answer correctly. The other choices are either unrelated or unrealistic tasks that the student will have to do on the test. For example, the student will not have to finish college, begin teaching, write, or solve equation on the test, unless the test is specifically designed for those purposes.

"
What will there be after an excavation is finished?,"['quarry', 'work area', 'desert', 'a pile of dirt', 'under ground']","Questions: What will there be after an excavation is finished?, Choices: (A) quarry, (B) work area, (C) desert, (D) a pile of dirt, (E) under ground. Compare the options What will there be after an excavation is finished?, quarry, work area, desert a pile of dirt and identify the most likely answer to the question 'under ground'. Explain why your choice is better than the others.
","10. The most likely answer to the question 'What will there be after an excavation is finished?' is **(E) under ground**. This is because an excavation is the process of digging or removing earth or rock from a site, and the result is a hole or a cavity that exposes the under ground layer or structure. The other choices are either the same or different from the excavation site before or after the excavation is finished. For example, there may or may not be a quarry, a work area, a desert, or a pile of dirt after an excavation is finished, depending on the location and the purpose of the excavation."
