premise,hypothesis,prompt,rationale
What corner areas have lots of windows?,"['wall', 'office', 'space shuttle', 'front door', 'tent']","Questions: What corner areas have lots of windows?, Choices: (A) wall, (B) office, (C) space shuttle, (D) front door, (E) tent. What is the commonly agreed-upon answer to the question 'What corner areas have lots of windows?' with options wall, office, space shuttle, front door tent? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'What corner areas have lots of windows?' is **(C) space shuttle**. This is because a space shuttle is a vehicle that travels in outer space and needs windows to allow the astronauts to see outside. A wall, a front door, and a tent usually have few or no windows. An office may have some windows, but not necessarily in the corner areas.
"
"After taking my final exams I got my grades back and had  a 4.0 gpa, how did I feel?","['graduation', 'headaches', 'fail again', 'success', 'failure']","Questions: After taking my final exams I got my grades back and had  a 4.0 gpa, how did I feel?, Choices: (A) graduation, (B) headaches, (C) fail again, (D) success, (E) failure. What is the commonly agreed-upon answer to the question 'After taking my final exams I got my grades back and had  a 4.0 gpa, how did I feel?' with options graduation, headaches, fail again, success failure? Justify your answer based on general knowledge. 
","2. The commonly agreed-upon answer to the question 'After taking my final exams I got my grades back and had  a 4.0 gpa, how did I feel?' is **(D) success**. This is because a 4.0 gpa is the highest possible grade point average in most academic systems and indicates excellent academic performance. Graduation, headaches, fail again, and failure are not feelings, but events or outcomes. Success is a feeling of accomplishment and satisfaction.
"
Brian was a soldier.  he just got word that he was called back to active service.  He'd have to do what soon?,"['report for duty', 'wait for orders', 'fight for freedom', 'obay', 'receive orders']","Questions: Brian was a soldier.  he just got word that he was called back to active service.  He'd have to do what soon?, Choices: (A) report for duty, (B) wait for orders, (C) fight for freedom, (D) obay, (E) receive orders. What is the commonly agreed-upon answer to the question 'Brian was a soldier.  he just got word that he was called back to active service.  He'd have to do what soon?' with options report for duty, wait for orders, fight for freedom, obay receive orders? Justify your answer based on general knowledge. 
",
Businesses giving assistance to those in need build what?,"['fear', 'dependence', 'happiness', 'smiles', 'good will']","Questions: Businesses giving assistance to those in need build what?, Choices: (A) fear, (B) dependence, (C) happiness, (D) smiles, (E) good will. What is the commonly agreed-upon answer to the question 'Businesses giving assistance to those in need build what?' with options fear, dependence, happiness, smiles good will? Justify your answer based on general knowledge. 
","4.0 gpa, how did I feel?' is **(D) success**. This is because a 4.0 gpa is the highest possible grade point average in most academic systems and indicates excellent academic performance. Graduation, headaches, fail again, and failure are not feelings, but events or outcomes. Success is a feeling of accomplishment and satisfaction.
3. The commonly agreed-upon answer to the question 'Brian was a soldier.  he just got word that he was called back to active service.  He'd have to do what soon?' is **(A) report for duty**. This is because when a soldier is called back to active service, he or she has to report to their military unit and follow the orders of their superiors. Wait for orders, fight for freedom, obey, and receive orders are actions that may happen after reporting for duty, but not before.
4. The commonly agreed-upon answer to the question 'Businesses giving assistance to those in need build what?' is **(E) good will**. This is because good will is a positive attitude or feeling of respect and appreciation that people have towards a business that helps others. Fear, dependence, happiness, and smiles are not things that businesses build, but emotions or states of mind that people may experience.
"
Cats always tickle me with their?,"['purring', 'four paws', 'four legs', 'two eyes', 'whiskers']","Questions: Cats always tickle me with their?, Choices: (A) purring, (B) four paws, (C) four legs, (D) two eyes, (E) whiskers. What is the commonly agreed-upon answer to the question 'Cats always tickle me with their?' with options purring, four paws, four legs, two eyes whiskers? Justify your answer based on general knowledge. 
","5. The commonly agreed-upon answer to the question 'Cats always tickle me with their?' is **(E) whiskers**. This is because whiskers are long, stiff hairs that grow on the face of a cat and are used for sensing their surroundings. When a cat rubs its face against a person, the whiskers may tickle them. Purring, four paws, four legs, and two eyes are not things that tickle, but sounds or body parts that cats have.
"
Changing society using a violent conflict is know as a what?,"['action', 'demonstration', 'understanding', 'vote', 'revolution']","Questions: Changing society using a violent conflict is know as a what?, Choices: (A) action, (B) demonstration, (C) understanding, (D) vote, (E) revolution. What is the commonly agreed-upon answer to the question 'Changing society using a violent conflict is know as a what?' with options action, demonstration, understanding, vote revolution? Justify your answer based on general knowledge. 
","6. The commonly agreed-upon answer to the question 'Changing society using a violent conflict is know as a what?' is **(E) revolution**. This is because a revolution is a sudden and radical change in the political, social, or economic order of a society, often involving violence and resistance to the existing authority. Action, demonstration, understanding, and vote are not terms that describe a violent conflict, but methods or processes that may lead to change or resolution.
"
Dan found a bunch of ball bearings behind a wall when he was doing renovations.  Where might that wall have been?,"['high quality motor', 'skatepark', 'machines', 'church', 'can']","Questions: Dan found a bunch of ball bearings behind a wall when he was doing renovations.  Where might that wall have been?, Choices: (A) high quality motor, (B) skatepark, (C) machines, (D) church, (E) can. What is the commonly agreed-upon answer to the question 'Dan found a bunch of ball bearings behind a wall when he was doing renovations.  Where might that wall have been?' with options high quality motor, skatepark, machines, church can? Justify your answer based on general knowledge. 
","7. The commonly agreed-upon answer to the question 'Dan found a bunch of ball bearings behind a wall when he was doing renovations.  Where might that wall have been?' is **(B) skatepark**. This is because a skatepark is a place where people can skate on ramps, rails, and other obstacles, and ball bearings are small metal balls that are used to reduce friction and noise in the wheels of skateboards. A high quality motor, a machine, and a can may also contain ball bearings, but they are not likely to be behind a wall. A church is not a place where ball bearings are commonly used or found.
"
The aorta is the main artery in what area of the body?,"['neck', 'own brain', 'human body', 'torso', 'heart']","Questions: The aorta is the main artery in what area of the body?, Choices: (A) neck, (B) own brain, (C) human body, (D) torso, (E) heart. What is the commonly agreed-upon answer to the question 'The aorta is the main artery in what area of the body?' with options neck, own brain, human body, torso heart? Justify your answer based on general knowledge. 
","8. The commonly agreed-upon answer to the question 'The aorta is the main artery in what area of the body?' is **(E) heart**. This is because the aorta is the largest and most important artery in the human body, and it originates from the left ventricle of the heart. It carries oxygen-rich blood to all parts of the body through its branches. The neck, the brain, the human body, and the torso are not areas of the body, but parts or regions of the body that contain arteries.
"
What would happen if a salesman didn't do his job right?,"['promotion', 'service account', 'sell products', 'get fired', 'work potential customer']","Questions: What would happen if a salesman didn't do his job right?, Choices: (A) promotion, (B) service account, (C) sell products, (D) get fired, (E) work potential customer. What is the commonly agreed-upon answer to the question 'What would happen if a salesman didn't do his job right?' with options promotion, service account, sell products, get fired work potential customer? Justify your answer based on general knowledge. 
","9. The commonly agreed-upon answer to the question 'What would happen if a salesman didn't do his job right?' is **(D) get fired**. This is because getting fired is a common consequence of poor job performance, especially in sales, where results and targets are important. A salesman who doesn't do his job right may lose customers, revenue, and reputation for the company he works for. Promotion, service account, sell products, and work potential customer are not things that would happen if a salesman didn't do his job right, but goals or tasks that a salesman should achieve or perform.
"
"When they got a divorce, they stopped talking to each other, so what did they have?","['richer', 'depression', 'meloncoly', 'bad feelings', 'emotional distress']","Questions: When they got a divorce, they stopped talking to each other, so what did they have?, Choices: (A) richer, (B) depression, (C) meloncoly, (D) bad feelings, (E) emotional distress. What is the commonly agreed-upon answer to the question 'When they got a divorce, they stopped talking to each other, so what did they have?' with options richer, depression, meloncoly, bad feelings emotional distress? Justify your answer based on general knowledge. 
","10. The commonly agreed-upon answer to the question 'When they got a divorce, they stopped talking to each other, so what did they have?' is **(E) emotional distress**. This is because emotional distress is a term that describes the psychological suffering or trauma that a person may experience due to a stressful or painful event, such as a divorce. When a couple gets a divorce, they may have feelings of anger, sadness, guilt, or regret, and they may stop communicating with each other. Richer, depression, melancholy, and bad feelings are not things that people have, but states or conditions that people may be in."
