premise,hypothesis,prompt,rationale
"A person notices popcorn, cotton candy on the grass, where is he likely?","['soccer game', 'fairgrounds', 'movie theatre', 'countryside', 'state park']","Questions: A person notices popcorn, cotton candy on the grass, where is he likely?, Choices: (A) soccer game, (B) fairgrounds, (C) movie theatre, (D) countryside, (E) state park. For the question 'A person notices popcorn, cotton candy on the grass, where is he likely?', among the choices soccer game, fairgrounds, movie theatre, countryside state park, which is the most likely answer? Highlight what sets your choice apart from the others.
","1. The most likely answer is (B) fairgrounds. Popcorn and cotton candy are common snacks sold at fairgrounds, and they might fall on the grass if people drop them or throw them away. The other choices are less likely because popcorn and cotton candy are not usually associated with soccer games, movie theatres, countryside, or state parks.

"
"A person regrets their actions, what are they likely to have?","['deception', 'bad feelings', 'live in poverty', 'indigestion', 'schizophrenia']","Questions: A person regrets their actions, what are they likely to have?, Choices: (A) deception, (B) bad feelings, (C) live in poverty, (D) indigestion, (E) schizophrenia. For the question 'A person regrets their actions, what are they likely to have?', among the choices deception, bad feelings, live in poverty, indigestion schizophrenia, which is the most likely answer? Highlight what sets your choice apart from the others.
","2. The most likely answer is (B) bad feelings. Regret is a negative emotion that arises when someone thinks they could have done something better or differently. Bad feelings are a general term for any unpleasant or uncomfortable emotions, such as sadness, guilt, or anger. The other choices are less likely because regret does not necessarily cause deception, poverty, indigestion, or schizophrenia.

"
"A rock hit the windshield while he was on the highway, it caused him to nearly crash his what?","['motorboat', 'airplane', 'automobile', 'barrier', 'motor vehicle']","Questions: A rock hit the windshield while he was on the highway, it caused him to nearly crash his what?, Choices: (A) motorboat, (B) airplane, (C) automobile, (D) barrier, (E) motor vehicle. For the question 'A rock hit the windshield while he was on the highway, it caused him to nearly crash his what?', among the choices motorboat, airplane, automobile, barrier motor vehicle, which is the most likely answer? Highlight what sets your choice apart from the others.
","3. The most likely answer is (C) automobile. A windshield is a glass window that protects the driver and passengers of an automobile from wind, rain, and debris. A rock hitting the windshield could cause it to crack or shatter, which could impair the driver's vision and lead to a crash. The other choices are less likely because motorboats, airplanes, barriers, and motor vehicles do not have windshields.

"
"A sailor has to do a lot of prep work before the ship can leave, but what is the first step he must take?","['leave dock', 'coming home', 'row boat', 'sail boat', 'board ship']","Questions: A sailor has to do a lot of prep work before the ship can leave, but what is the first step he must take?, Choices: (A) leave dock, (B) coming home, (C) row boat, (D) sail boat, (E) board ship. For the question 'A sailor has to do a lot of prep work before the ship can leave, but what is the first step he must take?', among the choices leave dock, coming home, row boat, sail boat board ship, which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is (E) board ship. A sailor is a person who works on a ship or boat. Before the ship can leave, the sailor has to do a lot of prep work, such as checking the equipment, loading the supplies, and securing the cargo. But the first step he must take is to board the ship, which means to get on the ship. The other choices are less likely because leaving dock, coming home, row boat, and sail boat are not steps that a sailor must take before the ship can leave.

"
"After taking measurements with an armband, the doctor recommended medicine for what purpose?","['guard against disease', 'lower cholesterol', 'cargo', 'lower blood pressure', 'diabetes']","Questions: After taking measurements with an armband, the doctor recommended medicine for what purpose?, Choices: (A) guard against disease, (B) lower cholesterol, (C) cargo, (D) lower blood pressure, (E) diabetes. For the question 'After taking measurements with an armband, the doctor recommended medicine for what purpose?', among the choices guard against disease, lower cholesterol, cargo, lower blood pressure diabetes, which is the most likely answer? Highlight what sets your choice apart from the others.
","5. The most likely answer is (D) lower blood pressure. An armband is a device that wraps around the upper arm and measures blood pressure, which is the force of blood pushing against the walls of the arteries. High blood pressure can increase the risk of heart disease, stroke, and kidney problems. The doctor may recommend medicine to lower blood pressure and prevent these complications. The other choices are less likely because an armband does not measure disease, cholesterol, cargo, or diabetes.

"
"After the lunch break, what did the men resume doing?","['working', 'fix it', 'accelerate', 'putting together', 'breakdance']","Questions: After the lunch break, what did the men resume doing?, Choices: (A) working, (B) fix it, (C) accelerate, (D) putting together, (E) breakdance. For the question 'After the lunch break, what did the men resume doing?', among the choices working, fix it, accelerate, putting together breakdance, which is the most likely answer? Highlight what sets your choice apart from the others.
","6. The most likely answer is (A) working. Working is the act of performing a task or duty, usually for money or a goal. After the lunch break, the men resume doing their work, which could be anything from construction to office work. The other choices are less likely because fix it, accelerate, putting together, and breakdance are not general terms for what men do after the lunch break, but specific actions that may or may not be related to their work.

"
"After the magic show they returned to their hotel, there was lots to see where?","['touristic area', 'different country', 'las vegas', 'resort', 'city']","Questions: After the magic show they returned to their hotel, there was lots to see where?, Choices: (A) touristic area, (B) different country, (C) las vegas, (D) resort, (E) city. For the question 'After the magic show they returned to their hotel, there was lots to see where?', among the choices touristic area, different country, las vegas, resort city, which is the most likely answer? Highlight what sets your choice apart from the others.
","7. The most likely answer is (C) las vegas. Las Vegas is a city in Nevada, USA, that is famous for its casinos, shows, nightlife, and entertainment. A magic show is a type of performance that involves illusions, tricks, and sleight of hand. After the magic show, they returned to their hotel, which is likely located in Las Vegas, where there are many hotels and magic shows. The other choices are less likely because touristic area, different country, resort, and city are too vague or broad to describe where there are lots of magic shows and hotels.

"
"After the sex she had spent the night at his house, he got up early to make and what?","['love another', 'coffee', 'smoke', 'eat breakfast', 'wait for']","Questions: After the sex she had spent the night at his house, he got up early to make and what?, Choices: (A) love another, (B) coffee, (C) smoke, (D) eat breakfast, (E) wait for. For the question 'After the sex she had spent the night at his house, he got up early to make and what?', among the choices love another, coffee, smoke, eat breakfast wait for, which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is (B) coffee. Coffee is a hot drink made from roasted and ground coffee beans. It is often consumed in the morning to boost energy and alertness. After the sex, she had spent the night at his house, and he got up early to make coffee for himself and her, which is a common and courteous gesture. The other choices are less likely because love another, smoke, eat breakfast, and wait for are not things that he would necessarily do after the sex or make for her.

"
"After the windstorm it needed replacing, he decided to get a heavier tile what?","['roof', 'home', 'fabric', 'floor', 'computer game']","Questions: After the windstorm it needed replacing, he decided to get a heavier tile what?, Choices: (A) roof, (B) home, (C) fabric, (D) floor, (E) computer game. For the question 'After the windstorm it needed replacing, he decided to get a heavier tile what?', among the choices roof, home, fabric, floor computer game, which is the most likely answer? Highlight what sets your choice apart from the others.
","9. The most likely answer is (A) roof. A roof is the top covering of a building that protects it from weather and animals. A tile is a thin piece of material, such as clay or ceramic, that is used to cover roofs, floors, or walls. After the windstorm, it needed replacing, which means that the roof was damaged by the strong wind and had to be repaired or replaced. He decided to get a heavier tile roof, which is more durable and resistant to wind damage. The other choices are less likely because home, fabric, floor, and computer game are not things that need replacing after a windstorm or can be tiled.

"
"After waiting in long lines at the airport he finally got to the ticket checker, he got out his billfold to show his ticket and what?","['wallet', 'mans pocket', 'identification', 'money', 'hip pocket']","Questions: After waiting in long lines at the airport he finally got to the ticket checker, he got out his billfold to show his ticket and what?, Choices: (A) wallet, (B) mans pocket, (C) identification, (D) money, (E) hip pocket. For the question 'After waiting in long lines at the airport he finally got to the ticket checker, he got out his billfold to show his ticket and what?', among the choices wallet, mans pocket, identification, money hip pocket, which is the most likely answer? Highlight what sets your choice apart from the others.
","10. The most likely answer is (C) identification. Identification is a document or card that proves a person's identity, such as a passport, driver's license, or ID card. After waiting in long lines at the airport, he finally got to the ticket checker, who is a person who verifies that the passengers have valid tickets and identification before they board the plane. He got out his billfold, which is a wallet or case that holds money and cards, to show his ticket and identification to the ticket checker. The other choices are less likely because wallet, mans pocket, money, and hip pocket are not things that he would show to the ticket checker or get out of his billfold."
"If people are busy, what do they tend to do?","['make lists', 'trade places', 'talk to each other', 'hurry along', 'say ""hello"" to one another']","Questions: If people are busy, what do they tend to do?, Choices: (A) make lists, (B) trade places, (C) talk to each other, (D) hurry along, (E) say ""hello"" to one another. For the question 'If people are busy, what do they tend to do?', among the choices make lists, trade places, talk to each other, hurry along say ""hello"" to one another, which is the most likely answer? Highlight what sets your choice apart from the others.
","1. The most likely answer is **(A) make lists**. People who are busy often make lists to organize their tasks and prioritize their time. The other choices are not directly related to being busy or are less common behaviors.
"
"If people are competing in dangerous events, what could happen?","['boredom', 'winning or losing', 'rivalry', 'accomplishment', 'death']","Questions: If people are competing in dangerous events, what could happen?, Choices: (A) boredom, (B) winning or losing, (C) rivalry, (D) accomplishment, (E) death. For the question 'If people are competing in dangerous events, what could happen?', among the choices boredom, winning or losing, rivalry, accomplishment death, which is the most likely answer? Highlight what sets your choice apart from the others.
","2. The most likely answer is **(E) death**. People who are competing in dangerous events face the risk of death if something goes wrong or they make a mistake. The other choices are possible outcomes, but not as severe or inevitable as death.
"
"If people are disappointed by something they aren't entitled to, what must they do?","['like ice cream', 'dance well', 'believe in god', 'make a wish', 'lower expectations']","Questions: If people are disappointed by something they aren't entitled to, what must they do?, Choices: (A) like ice cream, (B) dance well, (C) believe in god, (D) make a wish, (E) lower expectations. For the question 'If people are disappointed by something they aren't entitled to, what must they do?', among the choices like ice cream, dance well, believe in god, make a wish lower expectations, which is the most likely answer? Highlight what sets your choice apart from the others.
","3. The most likely answer is **(E) lower expectations**. People who are disappointed by something they aren't entitled to must lower their expectations and accept the reality of the situation. The other choices are irrelevant or unrealistic actions that do not address the problem of disappointment.
"
"If you get your paper back marked with corrections, where are you?","['classroom', 'conference', 'bench', 'cabinet', 'notebook']","Questions: If you get your paper back marked with corrections, where are you?, Choices: (A) classroom, (B) conference, (C) bench, (D) cabinet, (E) notebook. For the question 'If you get your paper back marked with corrections, where are you?', among the choices classroom, conference, bench, cabinet notebook, which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **(A) classroom**. If you get your paper back marked with corrections, you are most likely in a classroom where a teacher or a professor has graded your work. The other choices are places where you would not normally receive a paper with corrections.
"
"If you got a job as an undercover shopper you would buy products, then after doing a review you would what?","['compare prices', 'get money', 'save money', 'pay money', 'eat chicken']","Questions: If you got a job as an undercover shopper you would buy products, then after doing a review you would what?, Choices: (A) compare prices, (B) get money, (C) save money, (D) pay money, (E) eat chicken. For the question 'If you got a job as an undercover shopper you would buy products, then after doing a review you would what?', among the choices compare prices, get money, save money, pay money eat chicken, which is the most likely answer? Highlight what sets your choice apart from the others.
","5. The most likely answer is **(B) get money**. If you got a job as an undercover shopper, you would buy products, then after doing a review you would get money from the company that hired you. The other choices are not related to the job or are incorrect actions.
"
"If you have a lot of money after cashing in your chips at a casino, what would the casino owner feel towards you?","['betrayal', 'resentment', 'get money', 'revenge', 'leave']","Questions: If you have a lot of money after cashing in your chips at a casino, what would the casino owner feel towards you?, Choices: (A) betrayal, (B) resentment, (C) get money, (D) revenge, (E) leave. For the question 'If you have a lot of money after cashing in your chips at a casino, what would the casino owner feel towards you?', among the choices betrayal, resentment, get money, revenge leave, which is the most likely answer? Highlight what sets your choice apart from the others.
","6. The most likely answer is **(B) resentment**. If you have a lot of money after cashing in your chips at a casino, the casino owner would feel resentment towards you because you have taken money from their business. The other choices are not emotions that the casino owner would feel or are irrelevant actions.
"
"If you have a ticket and you are planning to eat popcorn, where would you go?","['movie', 'train station', 'argument online', 'baseball stadium', ""person's hand""]","Questions: If you have a ticket and you are planning to eat popcorn, where would you go?, Choices: (A) movie, (B) train station, (C) argument online, (D) baseball stadium, (E) person's hand. For the question 'If you have a ticket and you are planning to eat popcorn, where would you go?', among the choices movie, train station, argument online, baseball stadium person's hand, which is the most likely answer? Highlight what sets your choice apart from the others.
","7. The most likely answer is **(A) movie**. If you have a ticket and you are planning to eat popcorn, you would most likely go to a movie theater where you can watch a film and enjoy your snack. The other choices are not places where you would typically use a ticket or eat popcorn.
"
"If you have an empty glass and are thirsty, where would you put the glass?","['refrigerator', 'table', 'dishwasher', 'water cooler', 'dining room']","Questions: If you have an empty glass and are thirsty, where would you put the glass?, Choices: (A) refrigerator, (B) table, (C) dishwasher, (D) water cooler, (E) dining room. For the question 'If you have an empty glass and are thirsty, where would you put the glass?', among the choices refrigerator, table, dishwasher, water cooler dining room, which is the most likely answer? Highlight what sets your choice apart from the others.
","8. The most likely answer is **(D) water cooler**. If you have an empty glass and are thirsty, you would put the glass under a water cooler and fill it with water to drink. The other choices are not places where you would find water or are not suitable for putting a glass.
"
