Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,paper_gold_label,voted_label,voted_label_support,voted_label_margin,label_match,word_count,overlap_score,agreement_count,agreement_ratio
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,"Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is training his horse for a competition.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is training his horse for a competition. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","1. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the person is training his horse for a competition, but it is not necessarily the case. There could be other reasons why the person is jumping over a broken down airplane.","1. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the person is training his horse for a competition, but it is not necessarily the case. there could be other reasons why the person is jumping over a broken down airplane.

",{'neutral': 27},neutral,neutral,20.293333,neutral,neutral,neutral,neutral,6.28,6.28,True,50,0.333333,7,1.0
1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is at a diner, ordering an omelette.. What is the correct answer to the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is at a diner, ordering an omelette. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","2. The correct answer is **contradiction**. The premise and the hypothesis are logically incompatible. If the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.","2. the correct answer is **contradiction**. the premise and the hypothesis are logically incompatible. if the person is on a horse jumping over a broken down airplane, then he or she cannot be at a diner ordering an omelette at the same time.

",{'contradiction': 27},contradiction,neutral,20.211765,contradiction,contradiction,contradiction,contradiction,6.42,6.42,True,43,0.411765,7,1.0
2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","Premise: A person on a horse jumps over a broken down airplane., Hypothesis: A person is outdoors, on a horse.. For the premise 'A person on a horse jumps over a broken down airplane.' and hypothesis A person is outdoors, on a horse., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","3. The correct answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise states that the person is on a horse and jumps over a broken down airplane, which implies that the person is outdoors. Therefore, the hypothesis follows logically from the premise.","3. the correct answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that the person is on a horse and jumps over a broken down airplane, which implies that the person is outdoors. therefore, the hypothesis follows logically from the premise.

",{'entailment': 27},entailment,causal,20.394839,entailment,entailment,entailment,entailment,6.4399999999999995,6.4399999999999995,True,49,0.354839,7,1.0
3,Children smiling and waving at camera,They are smiling at their parents,"Premise: Children smiling and waving at camera, Hypothesis: They are smiling at their parents. What is the correct answer to the premise 'Children smiling and waving at camera' and hypothesis They are smiling at their parents with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","4. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the children are smiling at their parents, but it is not necessarily the case. There could be other reasons why the children are smiling and waving at the camera.","4. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the children are smiling at their parents, but it is not necessarily the case. there could be other reasons why the children are smiling and waving at the camera.

",{'neutral': 27},neutral,neutral,20.232727,neutral,neutral,neutral,neutral,6.28,6.28,True,48,0.272727,7,1.0
4,Children smiling and waving at camera,There are children present,"Premise: Children smiling and waving at camera, Hypothesis: There are children present. For the premise 'Children smiling and waving at camera' and hypothesis There are children present, what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","5. The correct answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise shows that there are children smiling and waving at a camera, which implies that there are children present. Therefore, the hypothesis follows logically from the premise.","5. the correct answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise shows that there are children smiling and waving at a camera, which implies that there are children present. therefore, the hypothesis follows logically from the premise.

",{'entailment': 27},entailment,causal,20.34,entailment,entailment,entailment,entailment,6.4399999999999995,6.4399999999999995,True,45,0.3,7,1.0
5,Children smiling and waving at camera,The kids are frowning,"Premise: Children smiling and waving at camera, Hypothesis: The kids are frowning. For the premise 'Children smiling and waving at camera' and hypothesis The kids are frowning, what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","6. The correct answer is **contradiction**. This means that the hypothesis is necessarily false given the premise. The premise shows that the children are smiling and waving at a camera, while the hypothesis states that the kids are frowning. These two expressions are opposite, so they cannot both be true at the same time.","6. the correct answer is **contradiction**. this means that the hypothesis is necessarily false given the premise. the premise shows that the children are smiling and waving at a camera, while the hypothesis states that the kids are frowning. these two expressions are opposite, so they cannot both be true at the same time.

",{'contradiction': 27},contradiction,causal,20.113158,contradiction,contradiction,contradiction,contradiction,6.42,6.42,True,54,0.263158,7,1.0
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy does a skateboarding trick.. For the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy does a skateboarding trick., what is the correct answer among the options ""entailment"", ""neutral"", ""contradiction""? Explain the cause-and-effect relationship between the question and your chosen answer.
","8. The correct answer is **entailment**. This means that the hypothesis is necessarily true given the premise. The premise states that the boy is jumping on a skateboard in the middle of a red bridge, which implies that the boy is doing a skateboarding trick. Therefore, the hypothesis follows logically from the premise.","8. the correct answer is **entailment**. this means that the hypothesis is necessarily true given the premise. the premise states that the boy is jumping on a skateboard in the middle of a red bridge, which implies that the boy is doing a skateboarding trick. therefore, the hypothesis follows logically from the premise.

",{'entailment': 27},entailment,causal,20.464242,entailment,entailment,entailment,entailment,6.4399999999999995,6.4399999999999995,True,53,0.424242,7,1.0
7,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,"Premise: A boy is jumping on skateboard in the middle of a red bridge., Hypothesis: The boy is wearing safety equipment.. What is the correct answer to the premise 'A boy is jumping on skateboard in the middle of a red bridge.' and hypothesis The boy is wearing safety equipment. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","9. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the boy is wearing safety equipment, but it is not necessarily the case. The premise does not provide enough information to determine the boy's attire.","9. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the boy is wearing safety equipment, but it is not necessarily the case. the premise does not provide enough information to determine the boy's attire.

",{'neutral': 27},neutral,neutral,19.986897,neutral,neutral,contradiction,neutral,6.28,6.28,True,45,0.206897,7,1.0
8,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,"Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background., Hypothesis: An older man drinks his juice as he waits for his daughter to get off work.. What is the correct answer to the premise 'An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.' and hypothesis An older man drinks his juice as he waits for his daughter to get off work. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","10. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. It is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. There could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.","10. the correct answer is **neutral**. the premise does not imply or contradict the hypothesis. it is possible that the older man drinks his juice as he waits for his daughter to get off work, but it is not necessarily the case. there could be other reasons why the older man is sitting with his orange juice at a small table in a coffee shop.",{'neutral': 28},neutral,neutral,20.23,neutral,neutral,neutral,neutral,6.28,6.28,True,65,0.5,7,1.0
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,"Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background., Hypothesis: A boy flips a burger.. What is the correct answer to the premise 'An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.' and hypothesis A boy flips a burger. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","1. The correct answer is **neutral**. The premise and the hypothesis are not related to each other. The premise does not imply or contradict the hypothesis. A boy flipping a burger could be happening in the same coffee shop or somewhere else, but it is not relevant to the older man sitting with his orange juice.","1. the correct answer is **neutral**. the premise and the hypothesis are not related to each other. the premise does not imply or contradict the hypothesis. a boy flipping a burger could be happening in the same coffee shop or somewhere else, but it is not relevant to the older man sitting with his orange juice.

",{'neutral': 27},neutral,neutral,19.797073,neutral,neutral,contradiction,neutral,6.28,6.28,True,56,0.317073,7,1.0
