,input,label,llm_label,rationale
0,"A kid is studying new words at home in the kitchen, where could a dictionary be?
Answer Choices:
(a) library
(b) table
(c) bookstore
(d) shelf
(e) classroom",table,library,"The answer must be a place where a dictionary can be found. Of the above choices, only a library and a classroom have dictionaries."
1,"Sarah did all of it.  She was the best saleswoman in the city.  But she was never acknowledge for her what?
Answer Choices:
(a) work hard
(b) sell products
(c) field question
(d) slow down
(e) productivity",work hard,productivity,"The answer must be something that Sarah did that was never acknowledged. Of the above choices, only productivity is something that Sarah did."
2,"Where do you bring your flight bag?
Answer Choices:
(a) aircraft
(b) aeroplane
(c) airplane
(d) airport
(e) on you lap",airport,airport,"The answer must be the place where you bring your flight bag. Of the above choices, only airport is the place where you bring your flight bag."
3,"when im competing in a competition what should i aim for
Answer Choices:
(a) jealousy
(b) wins
(c) enemies
(d) winning or losing
(e) success",wins,wins,"The answer should be the goal of someone competing in a competition. Of the above choices, the closest goal is winning."
4,"The computer stopped working, even though John tried his best. What happened to it?
Answer Choices:
(a) old equipment
(b) process information
(c) crash
(d) become sensible
(e) cast shadow",crash,crash,"The answer must be something that happened to the computer. Of the above choices, only crash is something that can happen to a computer."
5,"In a religious sense where would a lemur be found?
Answer Choices:
(a) heaven
(b) cage
(c) russia
(d) field
(e) tree",heaven,tree,"The answer must be a place where lemurs are found. Of the above choices, only trees are where lemurs are found."
6,"Sally loved the color of fallen leaves in autumn. She often took long walks in September.  Where might she walk?
Answer Choices:
(a) roof
(b) tree
(c) ground
(d) forest
(e) fall season",forest,ground,"The answer must be a place where fallen leaves are found. Of the above choices, only the ground has fallen leaves."
7,"A person tickling someone else knows they are getting close to a very ticklish spot when they start to hear what sound?
Answer Choices:
(a) itchiness
(b) nausea
(c) giggling
(d) laughing
(e) yelling",giggling,giggling or,"The answer must be the sound that a person makes when they are being tickled. Of the above choices, only giggling and laughing are sounds that a person makes when they are being tickled."
8,"The previous hotel was bad, so what did the pleased visitor think of the hotel?
Answer Choices:
(a) badarse
(b) adequate
(c) propitious
(d) first rate
(e) manual",adequate,first rate,"The answer should be a positive word describing the hotel. Of the above choices, only first rate is a positive word."
9,"Bob rested his bottom on a chair in the orchestra pit.  A bottom is also called what?
Answer Choices:
(a) auditorium
(b) chin
(c) butt
(d) opera house
(e) theatre",butt,butt,"The answer must be another word for bottom. Of the above choices, only butt is another word for bottom."
10,"John needed his watched fixed. Where might he take it?
Answer Choices:
(a) jewelery store
(b) guard tower
(c) jewellers
(d) department store
(e) mall",jewellers,jewelery store,"The answer must be a place where watches are fixed. Of the above choices, only a jewelery store fixes watches."
11,"While he was falling into a pile of broken glass, what did he fear?
Answer Choices:
(a) injury
(b) being laughed at
(c) breaking the glass
(d) contact with
(e) lacerations",lacerations,injury,"The answer should be the fear of someone falling into a pile of broken glass. Of the above choices, the closest fear is injury."
12,"A mail service will often drop packages off, but also do what with them?
Answer Choices:
(a) open them
(b) lift up
(c) picking up
(d) catch
(e) pick up",pick up,pick up,"The answer must be something that a mail service does with packages. Of the above choices, only pick up is something that a mail service does with packages."
13,"Where do you go to find people who are active in the same field as you?
Answer Choices:
(a) conference
(b) theater
(c) supermarket
(d) town
(e) cinema",conference,conference,"The answer must be a place where people in the same field gather. Of the above choices, only conferences are places where people in the same field gather."
14,"He moved to check and accidentally said ""king me"", he got an odd look from his opponent since they were playing a what?
Answer Choices:
(a) scrabble
(b) chess game
(c) chess set
(d) deck of cards
(e) castle",chess game,chess game,"The answer must be a game that has a king. Of the above choices, only chess has a king."
15,"Prescriptions being the specialty the store charges higher prices for most other goods, I'd be paying for convenience if I bought a hair dryer where?
Answer Choices:
(a) drug store
(b) high end store
(c) beauty salon
(d) box
(e) bathroom",drug store,beauty salon,"The answer must be a place that sells hair dryers. Of the above choices, only beauty salons sell hair dryers."
16,"The man sat down at the piano and played the A note for others to emulate, who was he with?
Answer Choices:
(a) music room
(b) symphony orchestra
(c) church
(d) athletes
(e) concert hall",symphony orchestra,symphony orchestra,"The answer must be a group of people who would need to emulate the A note. Of the above choices, only symphony orchestra would need to emulate the A note."
