,input,label,llm_label,rationale
0,"A beaver is know for building prowess, their supplies come from where?
Answer Choices:
(a) british columbia
(b) body of water
(c) wooded area
(d) pay debts
(e) zoo",wooded area,wooded area,"The answer must be the place where beavers get their supplies. Of the above choices, only wooded areas have the supplies that beavers need."
1,"A car was hailed to chauffeur someone to the opera house, where was it heading?
Answer Choices:
(a) go downtown
(b) appear suddenly
(c) go fast
(d) bottom out
(e) east",go downtown,go downtown,"The answer must be the place where the opera house is. Of the above choices, only downtown makes sense."
2,"A child wants to play, what would they likely want?
Answer Choices:
(a) fall down
(b) breathe
(c) play tag
(d) be dismembered by a chainsaw
(e) become adult",play tag,play tag,"The answer must be something that a child would want to do while playing. Of the above choices, only play tag is something that a child would want to do while playing."
3,"A farmer sees a weasel in the woods, where is the farmer?
Answer Choices:
(a) chicken coop
(b) beach
(c) fairytale
(d) great outdoors
(e) corn fields",great outdoors,great outdoors,"The answer must be a place where a farmer would be. Of the above choices, only great outdoors is a place where a farmer would be."
4,"A gentleman is carrying equipment for golf, what is he likely to have?
Answer Choices:
(a) club
(b) assembly hall
(c) meditation center
(d) meeting
(e) church",club,club,"The answer must be something that is used for golf. Of the above choices, only clubs are used for golf."
5,"A human wants to submerge himself in water, what should he use?
Answer Choices:
(a) whirlpool bath
(b) coffee cup
(c) cup
(d) soft drink
(e) puddle",whirlpool bath,whirlpool bath,"The answer must be something that can submerge a human. Of the above choices, only whirlpool bath can submerge a human."
6,"A loud machine is irritating, but many are expected where?
Answer Choices:
(a) museum
(b) house
(c) laboratory
(d) library
(e) industrial area",industrial area,industrial area,"The answer must be a place where loud machines are expected. Of the above choices, only industrial areas have loud machines."
7,"A man takes a seat at a museum outside of Barcelona, where is he likely?
Answer Choices:
(a) in cinema
(b) martorell
(c) falling down
(d) show
(e) airplane",martorell,show,"The answer must be a place where a man can take a seat. Of the above choices, only a show is a place where a man can take a seat."
8,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?
Answer Choices:
(a) car
(b) house
(c) offices
(d) park
(e) movie theatre",house,house,"The answer must be a place where a man can watch a game. Of the above choices, only a house is a place where a man can watch a game."
9,"A patriotic guy with a camera is looking for a bald eagle, what is he likely to do with the eagle if he finds one?
Answer Choices:
(a) city
(b) canada
(c) minnesota
(d) thermal
(e) photograph",photograph,photograph,"The answer must be something that can be done with a camera. Of the above choices, only photograph can be done with a camera."
10,"A person with digestion issues eats a meat-filled breakfast, what does he feel?
Answer Choices:
(a) heartburn
(b) overeating
(c) happiness
(d) being satisfied
(e) gain energy",heartburn,heartburn,"The answer should be the feeling of someone with digestion issues who eats a meat-filled breakfast. Of the above choices, the closest feeling is heartburn."
11,"A potato is kept in the cellar, where is likely to be stored?
Answer Choices:
(a) farmer's market
(b) grocery bag
(c) pantry
(d) bushel basket
(e) fridge",bushel basket,pantry,"The answer must be a place where potatoes are stored. Of the above choices, only pantry is a place where potatoes are stored."
12,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?
Answer Choices:
(a) bank
(b) library
(c) department store
(d) mall
(e) new york",bank,bank,"The answer must be a place that needs security. Of the above choices, only banks need security."
13,"A showroom feature washers and refrigerators, where is this showroom located?
Answer Choices:
(a) appliance store
(b) vegas
(c) electronics store
(d) car dealership
(e) kitchen",appliance store,appliance store,"The answer must be a place that sells appliances. Of the above choices, only appliance stores sell appliances."
14,"A thoroughfare meandered through fields and woods, where was it passing though?
Answer Choices:
(a) move about
(b) city
(c) country
(d) town
(e) new york city",country,country,"The answer must be a place that has fields and woods. Of the above choices, only country has fields and woods."
15,"After climbing the mountains, the explored found the cave, what was the general goegraphy of the region he found it in?
Answer Choices:
(a) west virginia
(b) kentucky
(c) desert
(d) sea
(e) rocky hills",rocky hills,rocky hills,"The answer must be the place where the cave was found. Of the above choices, only rocky hills is a place where a cave might be found."
16,"After high tide, where on the coast can you look to find a sea anemone?
Answer Choices:
(a) nursery
(b) museum
(c) gulf of mexico
(d) tide pool
(e) intertidal zone",tide pool,tide pool,"The answer must be a place on the coast. Of the above choices, only tide pools are on the coast."
17,"After killing people, the murderer went to church after feeling what?
Answer Choices:
(a) murder
(b) remorse
(c) religious
(d) retaliation
(e) anguish",remorse,remorse,"The answer should be the feeling of someone who killed people and went to church. Of the above choices, the closest feeling is remorse."
18,"After recovering from the disease, what did the doctor call the patient?
Answer Choices:
(a) healthy
(b) passing around
(c) cure
(d) wellness
(e) healthy",healthy,healthy,"The answer should be the word that describes someone who has recovered from a disease. Of the above choices, only healthy describes someone who has recovered from a disease."
19,"After standing up I had to sit right back down, why would I feel like this?
Answer Choices:
(a) train
(b) effort
(c) balance
(d) feet
(e) muscles",balance,effort,"The answer must be something that would make someone feel like sitting down. Of the above choices, only effort would make someone feel like sitting down."
20,"After the weight cut he was worried about his energy levels, but this was part of participating in a what?
Answer Choices:
(a) work
(b) wrestle
(c) play sports
(d) matter
(e) sleep",wrestle,wrestle,"The answer must be something that requires a weight cut. Of the above choices, only wrestling requires a weight cut."
21,"After working on the car, what did it end up doing?
Answer Choices:
(a) going too fast
(b) last several years
(c) honk the horn
(d) go fast
(e) start running",start running,start running,"The answer must be something that a car does. Of the above choices, only start running is something that a car does."
22,"Alabama is full of different people, but they are all citizens of what?
Answer Choices:
(a) united states
(b) deep south
(c) floribama
(d) gulf states
(e) florabama",united states,united states,"The answer must be the name of the country that Alabama is in. Of the above choices, only the United States is a country."
23,"Although the sun did rise, what did the pessimist warn everyone it would do?
Answer Choices:
(a) lay
(b) go down
(c) fall
(d) below
(e) sundown",go down,go down,"The answer must be something that the sun does after it rises. Of the above choices, only go down is something that the sun does after it rises."
24,"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?
Answer Choices:
(a) share files
(b) do arithmetic
(c) turn on
(d) cost money
(e) multitask",multitask,multitask,"The answer must be something that computers can do now that was a big deal when they could first do it. Of the above choices, only multitasking was a big deal when computers could first do it."
25,"Animals come in all types, some fly thanks to their lightweight hollow what?
Answer Choices:
(a) tails
(b) bones
(c) eyes
(d) heads
(e) bodies",bones,bones,"The answer must be something that helps animals fly. Of the above choices, only bones help animals fly."
26,"Anybody could be hired in the kitchen, what was needed of them?
Answer Choices:
(a) forget
(b) oil squeaky hinge
(c) question authority
(d) wash dishes
(e) oik squeaky hinge",wash dishes,wash dishes,"The answer must be something that is needed in the kitchen. Of the above choices, only washing dishes is needed in the kitchen."
27,"Applying for a job can make someone feel what sort of emotion, even if they get it?
Answer Choices:
(a) working hard
(b) frustration
(c) rejection
(d) defeat
(e) stress",stress,stress,"The answer should be the emotion of someone applying for a job. Of the above choices, the closest emotion is stress."
28,"As a result of dying, what happens to organic material?
Answer Choices:
(a) change of color
(b) stop breathing
(c) wake up
(d) death and decay
(e) getting cold",death and decay,death and decay,"The answer must be something that happens to organic material after dying. Of the above choices, only death and decay happens to organic material after dying."
29,"As he looked out the window, he knew the landing was happening soon, and it made him nervous, but where would he be soon?
Answer Choices:
(a) apartment building
(b) disembark
(c) stairwell
(d) deplane
(e) airport",airport,airport,"The answer must be the place where the landing is happening. Of the above choices, only airports have landings."
30,"At a grocery store they sell individual potatoes, where does the grocery clerk likely put the potato?
Answer Choices:
(a) boiling water
(b) root cellar
(c) rocket ship
(d) paper bag
(e) underground",paper bag,paper bag,"The answer must be a place where potatoes are kept. Of the above choices, only paper bags are used to hold potatoes."
31,"At the end of the day as he began to eat he paused and thanked her, it wasn't often she would what?
Answer Choices:
(a) cook dinner
(b) did chores
(c) make food
(d) stretch out
(e) get food",cook dinner,cook dinner,"The answer must be something that the wife did not do often. Of the above choices, only cook dinner makes sense."
32,"At the new comic store he found himself making friends, it was nice to meet people with what?
Answer Choices:
(a) smiling
(b) smile
(c) open mind
(d) common interests
(e) laughter",common interests,common interests,"The answer must be something that would help him make friends. Of the above choices, only common interests would help him make friends."
