premise,hypothesis,prompt,rationale
What can sex often be?,"['nice', 'good', 'dirty', 'great fun', 'eventful']","Questions: What can sex often be?, Choices: (A) nice, (B) good, (C) dirty, (D) great fun, (E) eventful. What is the commonly agreed-upon answer to the question 'What can sex often be?' with options nice, good, dirty, great fun eventful? Justify your answer based on general knowledge. 
","1. Questions: What can sex often be?, Choices: (A) nice, (B) good, (C) dirty, (D) great fun, (E) eventfu"
"He felt stuffy in the shirt, he began to unfasten the what style of shirt?","['pull up', 'zip up', 'tie up', 'do up', 'button up']","Questions: He felt stuffy in the shirt, he began to unfasten the what style of shirt?, Choices: (A) pull up, (B) zip up, (C) tie up, (D) do up, (E) button up. What is the commonly agreed-upon answer to the question 'He felt stuffy in the shirt, he began to unfasten the what style of shirt?' with options pull up, zip up, tie up, do up button up? Justify your answer based on general knowledge. 
",
"He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?","['hundredweight', 'upper', 'hour', 'quarterlight', 'school year']","Questions: He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?, Choices: (A) hundredweight, (B) upper, (C) hour, (D) quarterlight, (E) school year. What is the commonly agreed-upon answer to the question 'He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?' with options hundredweight, upper, hour, quarterlight school year? Justify your answer based on general knowledge. 
",
The drum is a key part of which kind of musical organization?,"['vessel', 'rock band', 'marching band', 'music store', 'symphony orchestra']","Questions: The drum is a key part of which kind of musical organization?, Choices: (A) vessel, (B) rock band, (C) marching band, (D) music store, (E) symphony orchestra. What is the commonly agreed-upon answer to the question 'The drum is a key part of which kind of musical organization?' with options vessel, rock band, marching band, music store symphony orchestra? Justify your answer based on general knowledge. 
",
The little girl smiled and pointed out the big what?,"['cry', 'rainbow', 'happy', 'make others happy too', 'frown']","Questions: The little girl smiled and pointed out the big what?, Choices: (A) cry, (B) rainbow, (C) happy, (D) make others happy too, (E) frown. What is the commonly agreed-upon answer to the question 'The little girl smiled and pointed out the big what?' with options cry, rainbow, happy, make others happy too frown? Justify your answer based on general knowledge. 
",
Where is confetti thrown from the rooftops?,"['big cities', ""new year's eve"", 'air', 'shredder', 'streets']","Questions: Where is confetti thrown from the rooftops?, Choices: (A) big cities, (B) new year's eve, (C) air, (D) shredder, (E) streets. What is the commonly agreed-upon answer to the question 'Where is confetti thrown from the rooftops?' with options big cities, new year's eve, air, shredder streets? Justify your answer based on general knowledge. 
",
Where is gruber exacavation from?,"['quarry', 'park', 'egypt', 'work area', 'montana']","Questions: Where is gruber exacavation from?, Choices: (A) quarry, (B) park, (C) egypt, (D) work area, (E) montana. What is the commonly agreed-upon answer to the question 'Where is gruber exacavation from?' with options quarry, park, egypt, work area montana? Justify your answer based on general knowledge. 
",
"The family was playing cards, what would be a reason for this?","['amusement', 'losing money', 'charmed', 'having fun', 'win money']","Questions: The family was playing cards, what would be a reason for this?, Choices: (A) amusement, (B) losing money, (C) charmed, (D) having fun, (E) win money. What is the commonly agreed-upon answer to the question 'The family was playing cards, what would be a reason for this?' with options amusement, losing money, charmed, having fun win money? Justify your answer based on general knowledge. 
",
What is the purpose of the cabin in an airplane?,"['crash', 'living', 'slow down', 'carry people', 'speed up']","Questions: What is the purpose of the cabin in an airplane?, Choices: (A) crash, (B) living, (C) slow down, (D) carry people, (E) speed up. What is the commonly agreed-upon answer to the question 'What is the purpose of the cabin in an airplane?' with options crash, living, slow down, carry people speed up? Justify your answer based on general knowledge. 
",
Where do people keep a rubber for sex?,"['bedside table', 'drug store', 'classroom', 'closet', 'trash']","Questions: Where do people keep a rubber for sex?, Choices: (A) bedside table, (B) drug store, (C) classroom, (D) closet, (E) trash. What is the commonly agreed-upon answer to the question 'Where do people keep a rubber for sex?' with options bedside table, drug store, classroom, closet trash? Justify your answer based on general knowledge. 
",l
"They began to copulate, someone used spit to what?","['lubricate', 'mark territory', 'kiss', 'procreation', 'release tension']","Questions: They began to copulate, someone used spit to what?, Choices: (A) lubricate, (B) mark territory, (C) kiss, (D) procreation, (E) release tension. What is the commonly agreed-upon answer to the question 'They began to copulate, someone used spit to what?' with options lubricate, mark territory, kiss, procreation release tension? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'They began to copulate, someone used spit to what?' is **(A) lubricate**. This is because lubrication is a natural and common function of saliva that helps reduce friction and increase pleasure during sexual intercourse. The other options are not directly related to the act of copulatio"
While doing housework you came across a dusty corner which caused you to start doing what?,"['sneezing', 'tired', 'boredom', 'fatigue', 'anxiety']","Questions: While doing housework you came across a dusty corner which caused you to start doing what?, Choices: (A) sneezing, (B) tired, (C) boredom, (D) fatigue, (E) anxiety. What is the commonly agreed-upon answer to the question 'While doing housework you came across a dusty corner which caused you to start doing what?' with options sneezing, tired, boredom, fatigue anxiety? Justify your answer based on general knowledge. 
",
"The dime store was full of old donated goods, it reminded the customer of the what?","['strip mall', 'past', 'shopping center', 'old movie', 'india']","Questions: The dime store was full of old donated goods, it reminded the customer of the what?, Choices: (A) strip mall, (B) past, (C) shopping center, (D) old movie, (E) india. What is the commonly agreed-upon answer to the question 'The dime store was full of old donated goods, it reminded the customer of the what?' with options strip mall, past, shopping center, old movie india? Justify your answer based on general knowledge. 
",
"The drought was dangerous for the trees, they were more likely to what?","['wall in', 'grow tall', 'fire', 'covered in snow', 'burn']","Questions: The drought was dangerous for the trees, they were more likely to what?, Choices: (A) wall in, (B) grow tall, (C) fire, (D) covered in snow, (E) burn. What is the commonly agreed-upon answer to the question 'The drought was dangerous for the trees, they were more likely to what?' with options wall in, grow tall, fire, covered in snow burn? Justify your answer based on general knowledge. 
",
"The electronics store benefited from people walking from the food kiosks, where was it located?","['strip mall', 'buy battery', 'building', 'zoo', 'shopping mall']","Questions: The electronics store benefited from people walking from the food kiosks, where was it located?, Choices: (A) strip mall, (B) buy battery, (C) building, (D) zoo, (E) shopping mall. What is the commonly agreed-upon answer to the question 'The electronics store benefited from people walking from the food kiosks, where was it located?' with options strip mall, buy battery, building, zoo shopping mall? Justify your answer based on general knowledge. 
",
What could happen if you are fishing but do not catch any fish?,"['getting food', 'eating fish', 'go home', 'getting drunk', 'anger']","Questions: What could happen if you are fishing but do not catch any fish?, Choices: (A) getting food, (B) eating fish, (C) go home, (D) getting drunk, (E) anger. What is the commonly agreed-upon answer to the question 'What could happen if you are fishing but do not catch any fish?' with options getting food, eating fish, go home, getting drunk anger? Justify your answer based on general knowledge. 
",
What area is likely to use a ring road to connect cities?,"['european city', 'town', 'freeway system', 'cars', 'freeway']","Questions: What area is likely to use a ring road to connect cities?, Choices: (A) european city, (B) town, (C) freeway system, (D) cars, (E) freeway. What is the commonly agreed-upon answer to the question 'What area is likely to use a ring road to connect cities?' with options european city, town, freeway system, cars freeway? Justify your answer based on general knowledge. 
",
What might someone be trying to achieve by getting wet?,"['could', 'get cold', 'shrinking', 'cool off', 'shower']","Questions: What might someone be trying to achieve by getting wet?, Choices: (A) could, (B) get cold, (C) shrinking, (D) cool off, (E) shower. What is the commonly agreed-upon answer to the question 'What might someone be trying to achieve by getting wet?' with options could, get cold, shrinking, cool off shower? Justify your answer based on general knowledge. 
",
James is a customer at a restaurant.  The restaurant is very busy and James is frustrated.  What might he be doing?,"['raise hand', 'wait in line', 'take number', 'pay bills', 'order dinner']","Questions: James is a customer at a restaurant.  The restaurant is very busy and James is frustrated.  What might he be doing?, Choices: (A) raise hand, (B) wait in line, (C) take number, (D) pay bills, (E) order dinner. What is the commonly agreed-upon answer to the question 'James is a customer at a restaurant.  The restaurant is very busy and James is frustrated.  What might he be doing?' with options raise hand, wait in line, take number, pay bills order dinner? Justify your answer based on general knowledge. 
",
"John tried to gain money, but all of his attempts to improve himself only did what to his income?","['reduce', 'loss', 'waste', 'lost', 'lose weight']","Questions: John tried to gain money, but all of his attempts to improve himself only did what to his income?, Choices: (A) reduce, (B) loss, (C) waste, (D) lost, (E) lose weight. What is the commonly agreed-upon answer to the question 'John tried to gain money, but all of his attempts to improve himself only did what to his income?' with options reduce, loss, waste, lost lose weight? Justify your answer based on general knowledge. 
",n
"Lilly was getting warm and John's hands ran down her hips and rubbed her butt.  She wasn't quite there yet, but she was beginning to experience what?","['get hot', 'hyperthermia', 'feeling comfortable', 'euphoria', 'pleasure']","Questions: Lilly was getting warm and John's hands ran down her hips and rubbed her butt.  She wasn't quite there yet, but she was beginning to experience what?, Choices: (A) get hot, (B) hyperthermia, (C) feeling comfortable, (D) euphoria, (E) pleasure. What is the commonly agreed-upon answer to the question 'Lilly was getting warm and John's hands ran down her hips and rubbed her butt.  She wasn't quite there yet, but she was beginning to experience what?' with options get hot, hyperthermia, feeling comfortable, euphoria pleasure? Justify your answer based on general knowledge. 
","1. The commonly agreed-upon answer to the question 'Lilly was getting warm and John's hands ran down her hips and rubbed her butt. She wasn't quite there yet, but she was beginning to experience what?' with options get hot, hyperthermia, feeling comfortable, euphoria, pleasure is **(E) pleasure**. This is because pleasure is the most likely sensation that Lilly would feel in response to John's touch, especially if they are in a romantic or sexual situatio"
"They made a mess eating on the sofa bed, they dripped a tangy what sauce all over it?","['basement', 'guest room', 'horseradish', 'bathroom', 'living room']","Questions: They made a mess eating on the sofa bed, they dripped a tangy what sauce all over it?, Choices: (A) basement, (B) guest room, (C) horseradish, (D) bathroom, (E) living room. What is the commonly agreed-upon answer to the question 'They made a mess eating on the sofa bed, they dripped a tangy what sauce all over it?' with options basement, guest room, horseradish, bathroom living room? Justify your answer based on general knowledge. 
",
"They may be out of bed, but for some they don't what until they eat breakfast?","['set an alarm', 'open mouth', 'prepare breakfast', 'wake up', 'buy food']","Questions: They may be out of bed, but for some they don't what until they eat breakfast?, Choices: (A) set an alarm, (B) open mouth, (C) prepare breakfast, (D) wake up, (E) buy food. What is the commonly agreed-upon answer to the question 'They may be out of bed, but for some they don't what until they eat breakfast?' with options set an alarm, open mouth, prepare breakfast, wake up buy food? Justify your answer based on general knowledge. 
",
"They medics were frantic and screaming that the patient was losing consciousness, it seemed what was inevitable?","['ambulance', 'injury', 'peace', 'falling down', 'death']","Questions: They medics were frantic and screaming that the patient was losing consciousness, it seemed what was inevitable?, Choices: (A) ambulance, (B) injury, (C) peace, (D) falling down, (E) death. What is the commonly agreed-upon answer to the question 'They medics were frantic and screaming that the patient was losing consciousness, it seemed what was inevitable?' with options ambulance, injury, peace, falling down death? Justify your answer based on general knowledge. 
",
What do most people hope to achieve when having sex?,"['unwanted pregnancy', 'bliss', 'aids', 'getting pregnant', 'orgasm']","Questions: What do most people hope to achieve when having sex?, Choices: (A) unwanted pregnancy, (B) bliss, (C) aids, (D) getting pregnant, (E) orgasm. What is the commonly agreed-upon answer to the question 'What do most people hope to achieve when having sex?' with options unwanted pregnancy, bliss, aids, getting pregnant orgasm? Justify your answer based on general knowledge. 
",
"The narrator explained the behaviors of the gazelle, sitting on the couch he was enjoying the what?","['window', 'television program', 'open plain', 'great outdoors', 'eastern hemisphere']","Questions: The narrator explained the behaviors of the gazelle, sitting on the couch he was enjoying the what?, Choices: (A) window, (B) television program, (C) open plain, (D) great outdoors, (E) eastern hemisphere. What is the commonly agreed-upon answer to the question 'The narrator explained the behaviors of the gazelle, sitting on the couch he was enjoying the what?' with options window, television program, open plain, great outdoors eastern hemisphere? Justify your answer based on general knowledge. 
",
What would you do to numbers that are positive integers to get a smaller result?,"['written down', 'added up', 'start number game', 'divided', 'multiplied']","Questions: What would you do to numbers that are positive integers to get a smaller result?, Choices: (A) written down, (B) added up, (C) start number game, (D) divided, (E) multiplied. What is the commonly agreed-upon answer to the question 'What would you do to numbers that are positive integers to get a smaller result?' with options written down, added up, start number game, divided multiplied? Justify your answer based on general knowledge. 
",
"The bald eagle has been a protected species, this is in part due to a dwindling what?","['nest', 'everglades', 'high places', 'in washington', 'natural habitat']","Questions: The bald eagle has been a protected species, this is in part due to a dwindling what?, Choices: (A) nest, (B) everglades, (C) high places, (D) in washington, (E) natural habitat. What is the commonly agreed-upon answer to the question 'The bald eagle has been a protected species, this is in part due to a dwindling what?' with options nest, everglades, high places, in washington natural habitat? Justify your answer based on general knowledge. 
",
What do you need to be to learn hard concepts?,"['copy', 'intelligent', 'improved performance', 'empowering', 'have more knowledge']","Questions: What do you need to be to learn hard concepts?, Choices: (A) copy, (B) intelligent, (C) improved performance, (D) empowering, (E) have more knowledge. What is the commonly agreed-upon answer to the question 'What do you need to be to learn hard concepts?' with options copy, intelligent, improved performance, empowering have more knowledge? Justify your answer based on general knowledge. 
",
Early humans would do what on the walls of caves?,"['lay eggs', 'draw pictures', 'make tools', 'compete with each other', 'eat fruit']","Questions: Early humans would do what on the walls of caves?, Choices: (A) lay eggs, (B) draw pictures, (C) make tools, (D) compete with each other, (E) eat fruit. What is the commonly agreed-upon answer to the question 'Early humans would do what on the walls of caves?' with options lay eggs, draw pictures, make tools, compete with each other eat fruit? Justify your answer based on general knowledge. 
",n
"The terrace overlooked a section of the Grand River, where was the terrace located?","['architecture', 'southern europe', 'house', 'michigan', 'state']","Questions: The terrace overlooked a section of the Grand River, where was the terrace located?, Choices: (A) architecture, (B) southern europe, (C) house, (D) michigan, (E) state. What is the commonly agreed-upon answer to the question 'The terrace overlooked a section of the Grand River, where was the terrace located?' with options architecture, southern europe, house, michigan state? Justify your answer based on general knowledge. 
","1. The terrace overlooked a section of the Grand River, where was the terrace located?

The commonly agreed-upon answer to this question is **(D) Michigan**. The Grand River is the longest river in the state of Michigan, flowing through several cities including Grand Rapids and Lansing. A terrace is a raised platform or balcony that can be attached to a house or a building. Therefore, it is reasonable to assume that the terrace was located in Michigan, where the Grand River flows.

"
After new coke was discontinued what formula was used?,"['original', 'old', 'coke clear', 'former', 'familiar']","Questions: After new coke was discontinued what formula was used?, Choices: (A) original, (B) old, (C) coke clear, (D) former, (E) familiar. What is the commonly agreed-upon answer to the question 'After new coke was discontinued what formula was used?' with options original, old, coke clear, former familiar? Justify your answer based on general knowledge. 
","2. After new coke was discontinued what formula was used?

The commonly agreed-upon answer to this question is **(A) original**. New Coke was a reformulated version of Coca-Cola that was introduced in 1985, but faced a backlash from consumers who preferred the taste of the original Coke. After less than three months, Coca-Cola announced that it would resume production of the original formula, which was renamed Coca-Cola Classic.

"
Artie Shaw became famous playing a clarinet in what outfit?,"['orchestra', 'jazz band', 'rock band', 'music store', 'music studio']","Questions: Artie Shaw became famous playing a clarinet in what outfit?, Choices: (A) orchestra, (B) jazz band, (C) rock band, (D) music store, (E) music studio. What is the commonly agreed-upon answer to the question 'Artie Shaw became famous playing a clarinet in what outfit?' with options orchestra, jazz band, rock band, music store music studio? Justify your answer based on general knowledge. 
","3. Artie Shaw became famous playing a clarinet in what outfit?

The commonly agreed-upon answer to this question is **(B) jazz band**. Artie Shaw was an American clarinetist, composer, and bandleader who was one of the most popular and influential jazz musicians of the 1930s and 19"
