premise,hypothesis,input,label,split,pair_key,available_rationale_count,rationale_1,rationale_type_1,rationale_score_1,rationale_keep_1,rationale_selection_source_1
A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,A person on a horse jumps over a broken down airplane.</s>A person is training his horse for a competition.,neutral,test,a person on a horse jumps over a broken down airplane.</s>a person is training his horse for a competition.,7,"1. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. A possible conditional statement is: If a person is training his horse for a competition, then he or she may jump over a broken down airplane, but it is not necessary or sufficient.",condition,5.0,True,heuristic
A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","A person on a horse jumps over a broken down airplane.</s>A person is at a diner, ordering an omelette.",contradiction,test,"a person on a horse jumps over a broken down airplane.</s>a person is at a diner, ordering an omelette.",7,"2. The correct answer is **contradiction**. The premise and the hypothesis cannot be true at the same time. A possible conditional statement is: If a person is at a diner, ordering an omelette, then he or she is not on a horse jumping over a broken down airplane.",condition,5.0,True,heuristic
A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","A person on a horse jumps over a broken down airplane.</s>A person is outdoors, on a horse.",entailment,train,"a person on a horse jumps over a broken down airplane.</s>a person is outdoors, on a horse.",7,"3. The correct answer is **entailment**. The premise implies the hypothesis. A possible conditional statement is: If a person is on a horse jumping over a broken down airplane, then he or she is outdoors, on a horse.",condition,5.0,True,heuristic
Children smiling and waving at camera,They are smiling at their parents,Children smiling and waving at camera</s>They are smiling at their parents,neutral,train,children smiling and waving at camera</s>they are smiling at their parents,7,"4. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. A possible conditional statement is: If the children are smiling and waving at their parents, then they are smiling and waving at the camera, but it is not necessary or sufficient.",condition,5.0,True,heuristic
Children smiling and waving at camera,There are children present,Children smiling and waving at camera</s>There are children present,entailment,train,children smiling and waving at camera</s>there are children present,7,"5. The correct answer is **entailment**. The premise implies the hypothesis. A possible conditional statement is: If there are children smiling and waving at the camera, then there are children present.",condition,5.0,True,heuristic
Children smiling and waving at camera,The kids are frowning,Children smiling and waving at camera</s>The kids are frowning,contradiction,train,children smiling and waving at camera</s>the kids are frowning,7,"6. The correct answer is **contradiction**. The premise and the hypothesis cannot be true at the same time. A possible conditional statement is: If the kids are frowning, then they are not smiling and waving at the camera.",condition,5.0,True,heuristic
A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,A boy is jumping on skateboard in the middle of a red bridge.</s>The boy skates down the sidewalk.,contradiction,valid,a boy is jumping on skateboard in the middle of a red bridge.</s>the boy skates down the sidewalk.,7,"7. The correct answer is **contradiction**. The premise and the hypothesis cannot be true at the same time. A possible conditional statement is: If the boy is jumping on skateboard in the middle of a red bridge, then he is not skating down the sidewalk.",condition,5.0,True,heuristic
A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,A boy is jumping on skateboard in the middle of a red bridge.</s>The boy does a skateboarding trick.,entailment,train,a boy is jumping on skateboard in the middle of a red bridge.</s>the boy does a skateboarding trick.,7,"8. The correct answer is **entailment**. The premise implies the hypothesis. A possible conditional statement is: If the boy is jumping on skateboard in the middle of a red bridge, then he is doing a skateboarding trick.",condition,5.0,True,heuristic
A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,A boy is jumping on skateboard in the middle of a red bridge.</s>The boy is wearing safety equipment.,neutral,train,a boy is jumping on skateboard in the middle of a red bridge.</s>the boy is wearing safety equipment.,7,"9. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. A possible conditional statement is: If the boy is wearing safety equipment, then he may be jumping on skateboard in the middle of a red bridge, but it is not necessary or sufficient.",condition,5.0,True,heuristic
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.</s>An older man drinks his juice as he waits for his daughter to get off work.,neutral,train,an older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.</s>an older man drinks his juice as he waits for his daughter to get off work.,7,"10. The correct answer is **neutral**. The premise does not imply or contradict the hypothesis. A possible conditional statement is: If an older man drinks his juice as he waits for his daughter to get off work, then he may be sitting at a small table in a coffee shop while employees smile in the background, but it is not necessary or sufficient. I hope this helps you understand the concept of natural language inference. If you have any more questions, feel free to ask. 😊",condition,5.0,True,heuristic
Two blond women are hugging one another.,Some women are hugging on vacation.,Two blond women are hugging one another.</s>Some women are hugging on vacation.,neutral,train,two blond women are hugging one another.</s>some women are hugging on vacation.,7,"3. The correct answer is **neutral**. The hypothesis is neither entailed nor contradicted by the premise. A conditional statement that explains the reasoning is: If some women are hugging on vacation, then it does not imply that two blond women are hugging one another, and vice versa.",condition,5.0,True,heuristic
Two blond women are hugging one another.,The women are sleeping.,Two blond women are hugging one another.</s>The women are sleeping.,contradiction,valid,two blond women are hugging one another.</s>the women are sleeping.,7,"4. The correct answer is **contradiction**. The hypothesis is contradicted by the premise. A conditional statement that explains the reasoning is: If two blond women are hugging one another, then it implies that they are not sleeping.",condition,5.0,True,heuristic
Two blond women are hugging one another.,There are women showing affection.,Two blond women are hugging one another.</s>There are women showing affection.,entailment,train,two blond women are hugging one another.</s>there are women showing affection.,7,"5. The correct answer is **entailment**. The hypothesis is entailed by the premise. A conditional statement that explains the reasoning is: If two blond women are hugging one another, then it implies that there are women showing affection.",condition,5.0,True,heuristic
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,"A few people in a restaurant setting, one of them is drinking orange juice.</s>The people are eating omelettes.",neutral,test,"a few people in a restaurant setting, one of them is drinking orange juice.</s>the people are eating omelettes.",7,"6. The correct answer is **neutral**. The hypothesis is neither entailed nor contradicted by the premise. A conditional statement that explains the reasoning is: If the people are eating omelettes, then it does not imply that a few people are in a restaurant setting, one of them is drinking orange juice, and vice versa.",condition,5.0,True,heuristic
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,"A few people in a restaurant setting, one of them is drinking orange juice.</s>The people are sitting at desks in school.",contradiction,valid,"a few people in a restaurant setting, one of them is drinking orange juice.</s>the people are sitting at desks in school.",7,"7. The correct answer is **contradiction**. The hypothesis is contradicted by the premise. A conditional statement that explains the reasoning is: If a few people are in a restaurant setting, one of them is drinking orange juice, then it implies that they are not sitting at desks in school.",condition,5.0,True,heuristic
